eigen_rank,eigenvalue_real,eigenvalue_imag,eigenvalue_abs,implied_timescale_sec
1,1.000000000000005,0.0,1.000000000000005,inf
2,0.8564307275942583,0.0,0.8564307275942583,0.6452368748089752
3,0.7981182537937633,0.0,0.7981182537937633,0.4434619204632316
4,0.6956746291876892,0.0,0.6956746291876892,0.2755783450923982
5,0.6573466728702207,0.0,0.6573466728702207,0.23835417058422897
6,0.5936486948733877,0.0,0.5936486948733877,0.1917664840129062
7,0.5529657030116814,0.0,0.5529657030116814,0.16878796590078288
8,0.5265936161433349,0.0,0.5265936161433349,0.15592690124281494
9,0.5201264435635989,0.0,0.5201264435635989,0.1529792706223674
10,0.47127305030330285,0.0,0.47127305030330285,0.1329225798220562
11,0.45161744524241937,0.0,0.45161744524241937,0.1257988513887773
12,0.44363349112540756,0.0,0.44363349112540756,0.1230380766811798
13,0.41814178654627326,0.017199674924928573,0.4184953792739322,0.11479877556134369
14,0.41814178654627326,-0.017199674924928573,0.4184953792739322,0.11479877556134369
15,0.39430415555735804,0.0,0.39430415555735804,0.10745377859490479
16,0.37739618000712466,0.0,0.37739618000712466,0.10262096321192062
17,0.3649364843767056,0.0,0.3649364843767056,0.09920320423365821
18,0.3515751351585865,0.0,0.3515751351585865,0.09566340244505701
19,0.3198235661403549,0.0,0.3198235661403549,0.08772039159163117
20,0.31199069520915484,0.0,0.31199069520915484,0.08585298135296421
