partition_id,ulam_cell,spectral_set,eigenvector_value,stationary_mass
eig2,0,low,-0.14945403018330305,5.9828942372347566e-05
eig2,1,low,-0.1122137128842282,9.279402229978705e-05
eig2,2,low,-0.10479949350215288,4.490730063231745e-05
eig2,3,low,-0.14500317210418937,0.000264090509340777
eig2,6,low,-0.02898794898110222,0.0013218160887065614
eig2,7,low,-0.014975091163295476,0.0014264112508402269
eig2,16,low,-0.14273071483194105,0.0011214091463925924
eig2,17,low,-0.14503202365078646,0.0011911736250499632
eig2,18,low,-0.11945177046713792,0.001205604384792794
eig2,19,low,-0.13559559688274467,0.002737026259580325
eig2,20,low,-0.032210527762613336,0.012312585869738553
eig2,21,low,-0.03123286599506881,0.012967057032202363
eig2,22,low,-0.0271610888392588,0.012960937046675827
eig2,23,low,-0.02150501841448456,0.014488849668951476
eig2,32,low,-0.1708506594251134,0.008926489217757218
eig2,33,low,-0.1648724137563872,0.010011675493634551
eig2,34,low,-0.15371336110833436,0.011158378272628253
eig2,35,low,-0.13880999618526008,0.015491125173233828
eig2,36,low,-0.08019077943684183,0.03301706777031497
eig2,37,low,-0.08484038424107686,0.03623597847684739
eig2,38,low,-0.06759348478464293,0.036562669660320166
eig2,39,low,-0.057649537124278505,0.03773417992494946
eig2,48,low,-0.2444674802795844,0.036694007350708074
eig2,49,low,-0.2374318022291549,0.04413042237914341
eig2,50,low,-0.2233166470076502,0.05373473154749058
eig2,51,low,-0.20320129110013085,0.06341144436331773
eig2,52,low,-0.13591201677546033,0.011073085690855527
eig2,53,low,-0.13919793354820073,0.01255620946763303
eig2,54,low,-0.12004069272690168,0.01426262496217549
eig2,55,low,-0.11174715431121673,0.011185875553104296
eig2,56,low,-0.018516319920876764,0.0008463992173820203
eig2,57,low,-0.010164036007986337,0.001050119732678011
eig2,4,high,0.0067236428922779245,0.0007846576568644643
eig2,5,high,0.006932036420541241,0.0012641223111345685
eig2,8,high,0.11794796765937945,0.011073471488972513
eig2,9,high,0.11764842262431899,0.010398455083881236
eig2,10,high,0.11177063312772118,0.011100764292794017
eig2,11,high,0.10645415072468029,0.011583966862284424
eig2,12,high,0.221250654120548,0.060200244695915325
eig2,13,high,0.22408919400038263,0.05449408107948037
eig2,14,high,0.22144552188066838,0.04562463736233713
eig2,15,high,0.22071418284442604,0.039841115847940416
eig2,24,high,0.0739920493301765,0.041366941671050796
eig2,25,high,0.07673480174027658,0.03591210465849574
eig2,26,high,0.07951608374830842,0.03502851305695262
eig2,27,high,0.08373583249689566,0.03186085083397442
eig2,28,high,0.1594690987534102,0.014349380789152147
eig2,29,high,0.16385168370152434,0.01328447316677275
eig2,30,high,0.17307147260842165,0.011202365875419779
eig2,31,high,0.17553140119372268,0.00798195125399624
