ulam_cell,frame_count,occupancy_fraction,r_rms_bin,r_rms_median,r_rms_z_median,density_rms_bin,density_rms_median,density_rms_z_median,anisotropy_bin,anisotropy_median,anisotropy_z_median
0,20,5.9783226022442624e-05,0,172.45168817641326,-0.8367157972085404,0,5.63840515846189e-07,-0.7676211404449895,0,1.9044540072761957,-0.8307800411039894
1,31,9.266400033478606e-05,0,175.12691296113974,-0.7880596242826857,0,5.894307314720895e-07,-0.8385751193149035,1,2.2972700650942017,-0.3307400660788547
2,15,4.483741951683197e-05,0,172.52884052275436,-0.7689792716088211,0,8.193688959892192e-07,-0.7695088686230889,2,2.4930353690622864,0.33606390925897406
3,88,0.0002630461944987475,0,218.2745557249317,-0.8631152661610473,0,1.056989788887187e-06,-1.0208122936254407,3,2.676091704499152,1.539506525421936
4,265,0.0007921277447973647,0,183.43303269028164,-0.7747007564691547,1,1.0099552993494848e-06,-0.10583018579379705,0,1.8527885493271692,-0.8674749785451246
5,424,0.0012674043916757836,0,180.58998817609705,-0.9011208828918607,1,8.829312348189882e-07,-0.17545502727486392,1,2.2850199606354877,-0.2977221632700078
6,442,0.001321209295095982,0,180.65858373716645,-0.8222674884793182,1,1.046671061061501e-06,-0.14607387052605292,2,2.6624852699227084,0.3323431263841802
7,476,0.0014228407793341344,0,183.415412152458,-0.8348485847329536,1,1.036459465913483e-06,-0.1574677548156446,3,3.533235946134182,1.513752600866047
8,3715,0.011104734233668718,0,183.7042208322015,-0.8323589454475705,2,1.212254441096416e-06,0.5143114287670537,0,1.8596896001570595,-0.861272993240067
9,3492,0.010438151263518483,0,179.71565782061356,-0.8608086409335652,2,1.1756168875261815e-06,0.49708375362056123,1,2.4772684323311776,-0.29289037950292585
10,3714,0.011101745072367596,0,180.61825530488252,-0.8704569748262113,2,1.1815444627107675e-06,0.505329741309057,2,2.9794660516820892,0.33382721742152477
11,3874,0.011580010880547137,0,178.03446035905088,-0.8886869235105713,2,1.1606507889042404e-06,0.4688140571789965,3,4.107897400966145,1.5128079368995753
12,20185,0.060336220863150214,0,172.46539842412216,-1.2130898838241222,3,1.5050533040465163e-06,1.4610716037214297,0,1.9146170541925989,-0.9029919336159696
13,18284,0.05465382522971705,0,169.1551223802923,-1.2129393419303962,3,1.5306515934845595e-06,1.5239044783989508,1,2.602161119638423,-0.2985285989356965
14,15283,0.04568335216504953,0,170.17872625998615,-1.211754023407687,3,1.495327712884671e-06,1.4627675679882588,2,3.157965214751298,0.325471178506749
15,13328,0.03983954182135577,0,167.15134639705877,-1.2570673786899562,3,1.433087872356745e-06,1.40262696768899,3,4.382139672914525,1.3945521737442723
16,375,0.0011209354879207992,1,190.60202446703272,-0.14567549258340384,0,9.571799911239708e-07,-0.7377231535783575,0,1.7723066899950577,-0.9615368221913095
17,398,0.0011896861978466081,1,191.75528871181433,-0.14473681472756045,0,9.29459229974002e-07,-0.777016318120648,1,2.240967601585256,-0.29466502802134287
18,402,0.0012016428430510968,1,192.54021607722646,-0.1665944500039372,0,9.20402974771162e-07,-0.7596245797738997,2,2.6910528460453214,0.39958976237632376
19,912,0.0027261151066233836,1,198.63316060260013,-0.21867202202963465,0,8.794262906789867e-07,-0.8458447345570781,3,4.174030973392442,1.9298714682630362
20,4122,0.012321322883225424,1,192.5313688883088,-0.1798815789408184,1,1.0447742434080873e-06,-0.17208704125921256,0,1.9031000672936864,-0.8458179530176544
21,4336,0.01296100340166556,1,190.3059768180902,-0.19210323196222806,1,1.0195495505562047e-06,-0.1914309365758111,1,2.484449419183527,-0.2875785291935856
22,4334,0.012955025079063317,1,188.47967197532844,-0.1790955103534333,1,1.034569878201346e-06,-0.18485890287324885,2,3.134282501005395,0.3348431747138343
23,4840,0.014467540697431116,1,190.41417688673164,-0.17753969176477546,1,1.0483937588841715e-06,-0.2018326193537895,3,4.229896740272997,1.5051160836810993
24,13849,0.0413968948592404,1,185.8747976913193,-0.2983048719137413,2,1.2321284659181916e-06,0.3672097940465748,0,1.9345683028869745,-0.8819449851684791
25,12010,0.0358998272264768,1,184.1020965925045,-0.29813807915853885,2,1.263098132376046e-06,0.34651422202209226,1,2.6327528063645524,-0.28247277859043096
26,11710,0.03500307883614016,1,186.39926774473378,-0.3150187839670001,2,1.2473354743278425e-06,0.34276277580077674,2,3.2517894634797493,0.34386208687470166
27,10667,0.031885383599069776,1,183.8986679596292,-0.3272270378881668,2,1.267614179026749e-06,0.3195391835829509,3,4.415486086633113,1.4713539383188459
28,4809,0.014374876697096329,1,186.73974943706105,-0.48204877066531787,3,1.296317091313353e-06,0.923176832903914,0,1.881443489244879,-0.8912189009448538
29,4449,0.013298778628692361,1,184.2916411804176,-0.47234904958337953,3,1.298697559073755e-06,0.9438887090872827,1,2.544889430327004,-0.2845060876958227
30,3753,0.011218322363111358,1,186.55213700925665,-0.48757732421614564,3,1.342576028612206e-06,0.9399805090980126,2,3.0601711335527764,0.33164150866346254
31,2669,0.007978071512694968,1,196.3606916494374,-0.4803213641813808,3,1.3318241042594298e-06,0.9335758019220357,3,3.7920403322025686,1.372578557300241
32,2991,0.008940581451656293,2,203.72643783043588,0.4641225031626019,0,9.096234682588208e-07,-0.7846166965044039,0,1.8407554511751312,-0.8796766011234919
33,3351,0.010016679520060261,2,198.6201429736197,0.471360806874937,0,9.005561681141678e-07,-0.7842025146025713,1,2.4149251687304067,-0.28752596865894725
34,3727,0.011140604169282182,2,204.07450073727517,0.46953801889661756,0,9.177751478703778e-07,-0.7678286457144576,2,2.9618850502371283,0.33209626781311546
35,5172,0.015459942249403662,2,202.99058247707563,0.4503569031815856,0,8.383318935008496e-07,-0.8073091748852729,3,4.242609828897217,1.5929966337303882
36,11048,0.0330242540547973,2,196.9805418988264,0.3395767819708198,1,1.0518516829976724e-06,-0.2857716983977858,0,1.9685330948245592,-0.8696874315838263
37,12111,0.03620173251789013,2,196.8587676021741,0.3331483033563317,1,1.0382196652169304e-06,-0.294000279472751,1,2.626508271164377,-0.2953291144601198
38,12215,0.03651260529320683,2,197.3106297086452,0.3364597903673121,1,1.0652243456779771e-06,-0.30244773589799634,2,3.2745521322906743,0.3407153139785054
39,12606,0.037681367361945585,2,197.41668227511974,0.3462374374420128,1,1.0496740123602923e-06,-0.32662452827606936,3,4.467222221799624,1.4269103922699706
40,5746,0.017175720836247764,2,195.1098126010122,0.17973560761386675,2,1.1349154917641327e-06,0.195035248807111,0,1.9023092537503064,-0.864691685098038
41,5153,0.015403148184682343,2,196.3794068222122,0.2032372942573983,2,1.127724456688546e-06,0.19545035684240947,1,2.46046834627356,-0.3025084541795376
42,4857,0.014518356439550191,2,199.1111720455934,0.219008281783839,2,1.1367249602482969e-06,0.18202618543905483,2,3.036353986012995,0.32086969990912856
43,3782,0.0113050080408439,2,200.4918403333118,0.1613178977680603,2,1.1535943202279696e-06,0.17474378839098167,3,3.868630934665303,1.3390190548489864
44,259,0.0007741927769906319,2,199.77045181019992,0.11566592260308237,3,1.2527552659021347e-06,0.845957574698149,0,1.8502984261314268,-0.8295921312445481
45,279,0.0008339760030130745,2,195.21686847713775,0.1396525250589981,3,1.342142317231666e-06,0.830404156399812,1,2.18680386950158,-0.31144162870567327
46,194,0.0005798972924176935,2,208.9489020119758,0.1346907100054245,3,1.5159330863484682e-06,0.8399272287047244,2,2.445341110691049,0.3502065377556917
47,144,0.0004304392273615869,2,188.9351342183119,0.12855732104781062,3,9.241584258574505e-07,0.7997612676145549,3,4.295400019658896,1.2856125063686887
48,12267,0.03666804168086518,3,216.1970367543354,1.2933121089750927,0,8.815063532873275e-07,-1.0035605776098981,0,1.935881152387111,-0.8664086754905589
49,14764,0.04413197744976714,3,215.8697170172004,1.30120186984528,0,8.53451822093268e-07,-1.063210282066383,1,2.572215007961262,-0.26741773409365976
50,17947,0.053646477871238885,3,217.1584752683524,1.341038709775237,0,8.401089922762506e-07,-1.0662381440718656,2,3.204634112969054,0.3513423185937056
51,21176,0.06329847971256225,3,215.4740051854336,1.3111241182408873,0,8.367872706879915e-07,-1.1076930995798522,3,4.510674453006943,1.5370556312742911
52,3702,0.01106587513675413,3,208.4499354426942,0.8439185398982811,1,9.894013688502873e-07,-0.4411295363665557,0,1.8939877952223094,-0.8733494724883606
53,4196,0.012542520819508463,3,210.62164372471847,0.8910328246749805,1,9.609798972010117e-07,-0.43968543466568477,1,2.481532692338937,-0.27189728681525194
