variable,ob,dataset,delta_high_minus_low_z,abs_delta_high_minus_low_z
n,1,Ob1.txt,0.524611111111111,0.524611111111111
n,2,Ob2.txt,0.6745,0.6745
n,3,Ob3.txt,0.33725,0.33725
n,4,Ob4.txt,0.0,0.0
n,5,Ob5.txt,-0.4496666666666666,0.4496666666666666
n,6,Ob6.txt,0.0,0.0
n,7,Ob7.txt,0.2698,0.2698
n,8,Ob8.txt,0.0,0.0
n,9,Ob9.txt,0.9635714285714286,0.9635714285714286
n,10,Ob10.txt,0.2248333333333333,0.2248333333333333
n,11,Ob11.txt,0.0,0.0
n,12,Ob12.txt,0.6745,0.6745
n,13,Ob13.txt,0.4496666666666666,0.4496666666666666
n,14,Ob14.txt,0.8993333333333332,0.8993333333333332
n,15,Ob15.txt,0.0,0.0
n,16,Ob16.txt,0.0,0.0
n,17,Ob17.txt,0.0,0.0
n,18,Ob18.txt,0.5396,0.5396
n,19,Ob19.txt,0.0,0.0
center_speed,1,Ob1.txt,-0.0956011393090695,0.0956011393090695
center_speed,2,Ob2.txt,-0.15072612645874622,0.15072612645874622
center_speed,3,Ob3.txt,0.007110847384587353,0.007110847384587353
center_speed,4,Ob4.txt,0.07139504018272363,0.07139504018272363
center_speed,5,Ob5.txt,-0.015290719893878198,0.015290719893878198
center_speed,6,Ob6.txt,-0.09736733408682122,0.09736733408682122
center_speed,7,Ob7.txt,-0.03383708575798274,0.03383708575798274
center_speed,8,Ob8.txt,-0.09345659751814828,0.09345659751814828
center_speed,9,Ob9.txt,-0.00619442228041084,0.00619442228041084
center_speed,10,Ob10.txt,-0.01268364325332396,0.01268364325332396
center_speed,11,Ob11.txt,0.01616766130266563,0.01616766130266563
center_speed,12,Ob12.txt,-0.10588973614444933,0.10588973614444933
center_speed,13,Ob13.txt,0.02707918491145863,0.02707918491145863
center_speed,14,Ob14.txt,-0.0011812478866849504,0.0011812478866849504
center_speed,15,Ob15.txt,-0.07848230180424035,0.07848230180424035
center_speed,16,Ob16.txt,0.00023440870537897262,0.00023440870537897262
center_speed,17,Ob17.txt,-0.01977186295022421,0.01977186295022421
center_speed,18,Ob18.txt,-0.11756401970814322,0.11756401970814322
center_speed,19,Ob19.txt,-0.04933672213032519,0.04933672213032519
radial_velocity_mean,1,Ob1.txt,-0.03467540465807005,0.03467540465807005
radial_velocity_mean,2,Ob2.txt,-0.029296264844425754,0.029296264844425754
radial_velocity_mean,3,Ob3.txt,-0.15340329231989802,0.15340329231989802
radial_velocity_mean,4,Ob4.txt,-0.01718239976671646,0.01718239976671646
radial_velocity_mean,5,Ob5.txt,-0.1613174136470772,0.1613174136470772
radial_velocity_mean,6,Ob6.txt,-0.032329961137804356,0.032329961137804356
radial_velocity_mean,7,Ob7.txt,-0.0944400683125386,0.0944400683125386
radial_velocity_mean,8,Ob8.txt,-0.08301440144966309,0.08301440144966309
radial_velocity_mean,9,Ob9.txt,-0.05204034447489197,0.05204034447489197
radial_velocity_mean,10,Ob10.txt,-0.020872672042569353,0.020872672042569353
radial_velocity_mean,11,Ob11.txt,0.021805394590965126,0.021805394590965126
radial_velocity_mean,12,Ob12.txt,0.02210905520527326,0.02210905520527326
radial_velocity_mean,13,Ob13.txt,-0.0127507085343199,0.0127507085343199
radial_velocity_mean,14,Ob14.txt,0.0955572214835183,0.0955572214835183
radial_velocity_mean,15,Ob15.txt,-0.028886368753748982,0.028886368753748982
radial_velocity_mean,16,Ob16.txt,-0.08260348023869035,0.08260348023869035
radial_velocity_mean,17,Ob17.txt,0.0014997021261815933,0.0014997021261815933
radial_velocity_mean,18,Ob18.txt,-0.05078116110296524,0.05078116110296524
radial_velocity_mean,19,Ob19.txt,0.040026708615550396,0.040026708615550396
frac_outward,1,Ob1.txt,-0.09826366384619085,0.09826366384619085
frac_outward,2,Ob2.txt,0.0,0.0
frac_outward,3,Ob3.txt,-0.14548039215686207,0.14548039215686207
frac_outward,4,Ob4.txt,0.0,0.0
frac_outward,5,Ob5.txt,0.0,0.0
frac_outward,6,Ob6.txt,0.0,0.0
frac_outward,7,Ob7.txt,-0.13376811594202928,0.13376811594202928
frac_outward,8,Ob8.txt,-0.17696776611694193,0.17696776611694193
frac_outward,9,Ob9.txt,-0.007082661782661789,0.007082661782661789
frac_outward,10,Ob10.txt,0.0,0.0
frac_outward,11,Ob11.txt,0.0,0.0
frac_outward,12,Ob12.txt,-0.20936860670194024,0.20936860670194024
frac_outward,13,Ob13.txt,0.0,0.0
frac_outward,14,Ob14.txt,0.0,0.0
frac_outward,15,Ob15.txt,0.0,0.0
frac_outward,16,Ob16.txt,-0.167499332443257,0.167499332443257
frac_outward,17,Ob17.txt,0.0,0.0
frac_outward,18,Ob18.txt,0.0,0.0
frac_outward,19,Ob19.txt,0.0,0.0
r_rms,1,Ob1.txt,-1.3081861826160557,1.3081861826160557
r_rms,2,Ob2.txt,-1.312687776022301,1.312687776022301
r_rms,3,Ob3.txt,-1.3457954117059199,1.3457954117059199
r_rms,4,Ob4.txt,-1.3490146231224704,1.3490146231224704
r_rms,5,Ob5.txt,-1.3490238769264775,1.3490238769264775
r_rms,6,Ob6.txt,-1.3489094242835298,1.3489094242835298
r_rms,7,Ob7.txt,-1.3458081558752517,1.3458081558752517
r_rms,8,Ob8.txt,-1.3463695333831187,1.3463695333831187
r_rms,9,Ob9.txt,-1.278548693921115,1.278548693921115
r_rms,10,Ob10.txt,-1.3331006722999525,1.3331006722999525
r_rms,11,Ob11.txt,-1.3478034556775513,1.3478034556775513
r_rms,12,Ob12.txt,-1.2706218990039821,1.2706218990039821
r_rms,13,Ob13.txt,-1.3111623423432222,1.3111623423432222
r_rms,14,Ob14.txt,-1.3245195414407664,1.3245195414407664
r_rms,15,Ob15.txt,-1.3367385453295721,1.3367385453295721
r_rms,16,Ob16.txt,-1.3490856477271091,1.3490856477271091
