variable,role,low_median_raw,high_median_raw,low_median_z,high_median_z,delta_high_minus_low_z,abs_delta_high_minus_low_z,median_ob_delta_z,q25_ob_delta_z,q75_ob_delta_z,frac_ob_same_sign,frac_ob_abs_delta_ge_0p5
density_rms,3032_state_space,9.311483227594681e-07,1.3241428192766068e-06,-0.6148487597958205,0.7262568648827434,1.341105624678564,1.341105624678564,1.349103217033457,1.3486399752682587,1.3493614042531614,1.0,1.0
r_rms,3032_state_space,205.65323982621646,182.28336005279715,0.6749015004785586,-0.6530711048454885,-1.327972605324047,1.327972605324047,-1.345028869558844,-1.348087241749644,-1.3167376684543566,1.0,1.0
anisotropy,3032_state_space,2.8343023868539534,2.5907630057609934,0.1429037742142919,-0.12411914213995578,-0.2670229163542477,0.2670229163542477,-0.3231969761470894,-0.34747067917451624,-0.18150840713869737,1.0,0.05263157894736842
polarization,external_emission,0.1820999273717158,0.18009584559988345,0.014459624420492603,-0.013916828961885301,-0.028376453382377903,0.028376453382377903,-0.025390925668618475,-0.07019592712411613,0.043456137288794376,0.631578947368421,0.0
radial_velocity_mean,external_emission,0.7019309651611401,-0.15909558317285816,0.014110046982023259,-0.013322954225627006,-0.027433001207650264,0.027433001207650264,-0.029296264844425754,-0.06732191235679116,-0.0056255032040691535,0.7368421052631579,0.0
milling,external_emission,0.14141713223139765,0.1390633917136745,0.012872826426710457,-0.012748662768778025,-0.025621489195488484,0.025621489195488484,-0.02180838560578393,-0.04676103259884901,0.007095369957162977,0.6842105263157895,0.0
center_speed,external_emission,59.46552210196458,57.854670402608484,0.012635396348621132,-0.010843183648685823,-0.023478579997306955,0.023478579997306955,-0.01977186295022421,-0.09452886841360889,-0.00047341959065298886,0.7368421052631579,0.0
speed_mean,external_emission,259.4609179191202,259.9498214864499,-0.0029610712675461857,0.0031762232974134074,0.006137294564959593,0.006137294564959593,0.011347707016596684,-0.06734148348992354,0.10218139371623786,0.5263157894736842,0.0
kinetic_energy,external_emission,78456.7702685702,78521.84057074672,0.0026004916231367834,-0.0025388951152515928,-0.005139386738388376,0.005139386738388376,0.024679734754057648,-0.04966171100024568,0.09411493639287519,0.47368421052631576,0.0
n,external_emission,27.0,28.0,0.0,0.0,0.0,0.0,0.2248333333333333,0.0,0.5321055555555555,0.42105263157894735,0.3157894736842105
frac_outward,external_emission,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.11601588989411007,0.0,0.631578947368421,0.0
p_inner,external_emission,0.5185185185185185,0.5161290322580645,0.0,0.0,0.0,0.0,0.11021721014492769,-0.24444621903410682,0.29619503505933137,0.0,0.05263157894736842
