lag_sec,ob,dataset,spectral_set,mass,origin_count,retained_count,retention,retention_lift
0.05,1,Ob1.txt,low,0.4993174993174993,5487,5011,0.9132494988153819,0.41393199949788256
0.05,1,Ob1.txt,high,0.5006825006825006,5497,5021,0.9134073130798618,0.41272481239736114
0.05,2,Ob2.txt,low,0.502725620835857,7466,6763,0.9058398071256362,0.40311418628977913
0.05,2,Ob2.txt,high,0.49727437916414297,7388,6686,0.904981050351922,0.40770667118777904
0.05,3,Ob3.txt,low,0.4999332888592395,7489,6583,0.8790225664307652,0.37908927757152566
0.05,3,Ob3.txt,high,0.5000667111407605,7496,6590,0.8791355389541089,0.3790688278133484
0.05,4,Ob4.txt,low,0.5,7471,6922,0.9265158613304778,0.4265158613304778
0.05,4,Ob4.txt,high,0.5,7476,6922,0.9258962011771,0.42589620117710003
0.05,5,Ob5.txt,low,0.4999665708363977,7477,6939,0.9280460077571219,0.4280794369207242
0.05,5,Ob5.txt,high,0.5000334291636023,7475,6936,0.9278929765886288,0.4278595474250265
0.05,6,Ob6.txt,low,0.5,9990,9384,0.9393393393393393,0.43933933933933933
0.05,6,Ob6.txt,high,0.5,9995,9384,0.9388694347173587,0.43886943471735873
0.05,7,Ob7.txt,low,0.501251126013412,5003,4477,0.8948630821507095,0.3936119561372975
0.05,7,Ob7.txt,high,0.4987488739865879,4983,4457,0.894441099739113,0.3956922257525251
0.05,8,Ob8.txt,low,0.4990784138185265,9477,8684,0.9163237311385459,0.4172453173200194
0.05,8,Ob8.txt,high,0.5009215861814735,9507,8714,0.9165877774271589,0.4156661912456854
0.05,9,Ob9.txt,low,0.49496576721707614,4911,4519,0.9201791895744248,0.42521342235734866
0.05,9,Ob9.txt,high,0.5050342327829239,5016,4624,0.9218500797448166,0.41681584696189267
0.05,10,Ob10.txt,low,0.5002001334222815,7493,6828,0.9112505004671027,0.4110503670448211
0.05,10,Ob10.txt,high,0.49979986657771847,7492,6827,0.9112386545648692,0.4114387879871507
0.05,11,Ob11.txt,low,0.4994747110911001,9979,9349,0.9368674215853292,0.4373927104942291
0.05,11,Ob11.txt,high,0.5005252889088999,10005,9375,0.9370314842578711,0.43650619534897117
0.05,12,Ob12.txt,low,0.5049777377557657,10094,9379,0.929165841093719,0.4241881033379533
0.05,12,Ob12.txt,high,0.49502226224423435,9890,9175,0.9277047522750252,0.4326824900307909
0.05,13,Ob13.txt,low,0.49997498624243336,9989,9251,0.926118730603664,0.42614374436123065
0.05,13,Ob13.txt,high,0.5000250137575667,9995,9257,0.9261630815407704,0.42613806778320373
0.05,14,Ob14.txt,low,0.4986242433338336,9962,9076,0.911062035735796,0.41243779240196243
0.05,14,Ob14.txt,high,0.5013757566661664,10022,9131,0.9110955897026541,0.40971983303648774
0.05,15,Ob15.txt,low,0.4972735004252339,9935,9239,0.9299446401610468,0.43267113973581295
0.05,15,Ob15.txt,high,0.5027264995747661,10049,9353,0.930739377052443,0.4280128774776769
0.05,16,Ob16.txt,low,0.49997498624243336,9994,9042,0.9047428457074245,0.4047678594649911
0.05,16,Ob16.txt,high,0.5000250137575667,9990,9043,0.9052052052052052,0.4051801914476385
0.05,17,Ob17.txt,low,0.5001000500250125,9992,9441,0.9448558847077662,0.4447558346827537
0.05,17,Ob17.txt,high,0.4998999499749875,9993,9442,0.9448614029820874,0.44496145300709994
0.05,18,Ob18.txt,low,0.49907449097003354,9976,9318,0.9340417000801925,0.43496720911015896
0.05,18,Ob18.txt,high,0.5009255090299665,10008,9350,0.9342525979216627,0.43332708889169624
0.05,19,Ob19.txt,low,0.49899966655551853,14965,13827,0.9239558970932175,0.42495623053769893
0.05,19,Ob19.txt,high,0.5010003334444815,15020,13884,0.9243675099866844,0.4233671765422029
0.1,1,Ob1.txt,low,0.4993174993174993,5487,4818,0.8780754510661564,0.37875795174865706
0.1,1,Ob1.txt,high,0.5006825006825006,5492,4823,0.8781864530225783,0.3775039523400776
0.1,2,Ob2.txt,low,0.502725620835857,7461,6454,0.8650314971183487,0.36230587628249167
0.1,2,Ob2.txt,high,0.49727437916414297,7388,6382,0.8638332430969139,0.36655886393277093
0.1,3,Ob3.txt,low,0.4999332888592395,7484,6217,0.8307055050774986,0.33077221621825914
0.1,3,Ob3.txt,high,0.5000667111407605,7496,6226,0.8305763073639274,0.3305095962231669
0.1,4,Ob4.txt,low,0.5,7466,6554,0.8778462362710956,0.3778462362710956
0.1,4,Ob4.txt,high,0.5,7476,6554,0.8766720171214554,0.37667201712145537
0.1,5,Ob5.txt,low,0.4999665708363977,7477,6522,0.872274976594891,0.3723084057584933
0.1,5,Ob5.txt,high,0.5000334291636023,7470,6514,0.8720214190093708,0.37198798984576853
0.1,6,Ob6.txt,low,0.5,9985,8903,0.8916374561842764,0.39163745618427637
0.1,6,Ob6.txt,high,0.5,9995,8903,0.8907453726863431,0.39074537268634313
0.1,7,Ob7.txt,low,0.501251126013412,4998,4252,0.8507402961184474,0.34948917010503533
0.1,7,Ob7.txt,high,0.4987488739865879,4983,4237,0.8502909893638371,0.35154211537724916
0.1,8,Ob8.txt,low,0.4990784138185265,9477,8231,0.8685237944497204,0.36944538063119386
0.1,8,Ob8.txt,high,0.5009215861814735,9502,8258,0.8690801936434435,0.36815860746196993
0.1,9,Ob9.txt,low,0.49496576721707614,4906,4317,0.8799429270281288,0.3849771598110527
0.1,9,Ob9.txt,high,0.5050342327829239,5016,4427,0.8825757575757576,0.37754152479283365
0.1,10,Ob10.txt,low,0.5002001334222815,7488,6537,0.8729967948717948,0.3727966614495133
0.1,10,Ob10.txt,high,0.49979986657771847,7492,6536,0.8723972237052856,0.37259735712756714
0.1,11,Ob11.txt,low,0.4994747110911001,9974,8831,0.8854020453178264,0.3859273342267263
0.1,11,Ob11.txt,high,0.5005252889088999,10005,8862,0.8857571214392803,0.3852318325303804
0.1,12,Ob12.txt,low,0.5049777377557657,10093,8946,0.8863568810066382,0.3813791432508725
0.1,12,Ob12.txt,high,0.49502226224423435,9886,8738,0.8838761885494639,0.3888539263052296
0.1,13,Ob13.txt,low,0.49997498624243336,9985,8763,0.8776164246369554,0.3776414383945221
0.1,13,Ob13.txt,high,0.5000250137575667,9994,8773,0.8778266960176105,0.37780168226004385
0.1,14,Ob14.txt,low,0.4986242433338336,9957,8688,0.8725519734859898,0.3739277301521562
0.1,14,Ob14.txt,high,0.5013757566661664,10022,8743,0.8723807623228896,0.37100500565672323
0.1,15,Ob15.txt,low,0.4972735004252339,9930,8758,0.8819738167170191,0.38470031629178525
0.1,15,Ob15.txt,high,0.5027264995747661,10049,8877,0.8833714797492288,0.3806449801744627
0.1,16,Ob16.txt,low,0.49997498624243336,9994,8514,0.8519111466880128,0.35193616044557946
