ob,dataset,spectral_set,start_index,end_index_exclusive,run_frames,run_duration_sec
1,Ob1.txt,high,0,198,198,1.9799999999999407
1,Ob1.txt,low,198,199,1,0.0099999999999997
1,Ob1.txt,high,199,208,9,0.0899999999999973
1,Ob1.txt,low,208,277,69,0.6899999999999793
1,Ob1.txt,high,277,279,2,0.0199999999999994
1,Ob1.txt,low,279,329,50,0.499999999999985
1,Ob1.txt,high,329,364,35,0.3499999999999895
1,Ob1.txt,low,364,368,4,0.0399999999999988
1,Ob1.txt,high,368,386,18,0.1799999999999946
1,Ob1.txt,low,386,391,5,0.049999999999998504
1,Ob1.txt,high,391,392,1,0.0099999999999997
1,Ob1.txt,low,392,400,8,0.0799999999999976
1,Ob1.txt,high,400,401,1,0.0099999999999997
1,Ob1.txt,low,401,409,8,0.0799999999999976
1,Ob1.txt,high,409,412,3,0.0299999999999991
1,Ob1.txt,low,412,414,2,0.0199999999999994
1,Ob1.txt,high,414,514,100,0.99999999999997
1,Ob1.txt,low,514,517,3,0.0299999999999991
1,Ob1.txt,high,517,518,1,0.0099999999999997
1,Ob1.txt,low,518,527,9,0.0899999999999973
1,Ob1.txt,high,527,529,2,0.0199999999999994
1,Ob1.txt,low,529,532,3,0.0299999999999991
1,Ob1.txt,high,532,573,41,0.4099999999999877
1,Ob1.txt,low,573,603,30,0.299999999999991
1,Ob1.txt,high,603,630,27,0.2699999999999919
1,Ob1.txt,low,630,631,1,0.0099999999999997
1,Ob1.txt,high,631,637,6,0.0599999999999982
1,Ob1.txt,low,637,643,6,0.0599999999999982
1,Ob1.txt,high,643,658,15,0.1499999999999955
1,Ob1.txt,low,658,659,1,0.0099999999999997
1,Ob1.txt,high,659,661,2,0.0199999999999994
1,Ob1.txt,low,661,667,6,0.0599999999999982
1,Ob1.txt,high,667,668,1,0.0099999999999997
1,Ob1.txt,low,668,669,1,0.0099999999999997
1,Ob1.txt,high,669,680,11,0.1099999999999967
1,Ob1.txt,low,680,682,2,0.0199999999999994
1,Ob1.txt,high,682,685,3,0.0299999999999991
1,Ob1.txt,low,685,688,3,0.0299999999999991
1,Ob1.txt,high,688,690,2,0.0199999999999994
1,Ob1.txt,low,690,774,84,0.8399999999999748
1,Ob1.txt,high,774,776,2,0.0199999999999994
1,Ob1.txt,low,776,778,2,0.0199999999999994
1,Ob1.txt,high,778,782,4,0.0399999999999988
1,Ob1.txt,low,782,787,5,0.049999999999998504
1,Ob1.txt,high,787,1026,239,2.389999999999928
1,Ob1.txt,low,1026,1027,1,0.0099999999999997
1,Ob1.txt,high,1027,1035,8,0.0799999999999976
1,Ob1.txt,low,1035,1036,1,0.0099999999999997
1,Ob1.txt,high,1036,1038,2,0.0199999999999994
1,Ob1.txt,low,1038,1040,2,0.0199999999999994
1,Ob1.txt,high,1040,1060,20,0.19999999999999402
1,Ob1.txt,low,1060,1103,43,0.4299999999999871
1,Ob1.txt,high,1103,1106,3,0.0299999999999991
1,Ob1.txt,low,1106,1111,5,0.049999999999998504
1,Ob1.txt,high,1111,1112,1,0.0099999999999997
1,Ob1.txt,low,1112,1120,8,0.0799999999999976
1,Ob1.txt,high,1120,1121,1,0.0099999999999997
1,Ob1.txt,low,1121,1170,49,0.4899999999999853
1,Ob1.txt,high,1170,1171,1,0.0099999999999997
1,Ob1.txt,low,1171,1177,6,0.0599999999999982
1,Ob1.txt,high,1177,1182,5,0.049999999999998504
1,Ob1.txt,low,1182,1184,2,0.0199999999999994
1,Ob1.txt,high,1184,1191,7,0.0699999999999979
1,Ob1.txt,low,1191,1200,9,0.0899999999999973
1,Ob1.txt,high,1200,1202,2,0.0199999999999994
1,Ob1.txt,low,1202,1203,1,0.0099999999999997
1,Ob1.txt,high,1203,1204,1,0.0099999999999997
1,Ob1.txt,low,1204,1206,2,0.0199999999999994
1,Ob1.txt,high,1206,1283,77,0.7699999999999769
1,Ob1.txt,low,1283,1290,7,0.0699999999999979
1,Ob1.txt,high,1290,1291,1,0.0099999999999997
1,Ob1.txt,low,1291,1295,4,0.0399999999999988
1,Ob1.txt,high,1295,1299,4,0.0399999999999988
1,Ob1.txt,low,1299,1301,2,0.0199999999999994
1,Ob1.txt,high,1301,1474,173,1.729999999999948
1,Ob1.txt,low,1474,1519,45,0.4499999999999865
1,Ob1.txt,high,1519,1520,1,0.0099999999999997
1,Ob1.txt,low,1520,1740,220,2.199999999999934
1,Ob1.txt,high,1740,1743,3,0.0299999999999991
1,Ob1.txt,low,1743,1744,1,0.0099999999999997
1,Ob1.txt,high,1744,1745,1,0.0099999999999997
1,Ob1.txt,low,1745,1777,32,0.3199999999999904
1,Ob1.txt,high,1777,1778,1,0.0099999999999997
1,Ob1.txt,low,1778,1779,1,0.0099999999999997
1,Ob1.txt,high,1779,1817,38,0.3799999999999886
1,Ob1.txt,low,1817,1822,5,0.049999999999998504
1,Ob1.txt,high,1822,2041,219,2.189999999999934
1,Ob1.txt,low,2041,2120,79,0.7899999999999763
1,Ob1.txt,high,2120,2122,2,0.0199999999999994
1,Ob1.txt,low,2122,2129,7,0.0699999999999979
1,Ob1.txt,high,2129,2130,1,0.0099999999999997
1,Ob1.txt,low,2130,2132,2,0.0199999999999994
1,Ob1.txt,high,2132,2243,111,1.1099999999999668
1,Ob1.txt,low,2243,2289,46,0.4599999999999862
1,Ob1.txt,high,2289,2291,2,0.0199999999999994
1,Ob1.txt,low,2291,2297,6,0.0599999999999982
1,Ob1.txt,high,2297,2299,2,0.0199999999999994
1,Ob1.txt,low,2299,2588,289,2.8899999999999135
1,Ob1.txt,high,2588,2607,19,0.1899999999999943
1,Ob1.txt,low,2607,2617,10,0.09999999999999701
1,Ob1.txt,high,2617,2627,10,0.09999999999999701
1,Ob1.txt,low,2627,2663,36,0.3599999999999892
1,Ob1.txt,high,2663,2669,6,0.0599999999999982
1,Ob1.txt,low,2669,2674,5,0.049999999999998504
1,Ob1.txt,high,2674,2675,1,0.0099999999999997
1,Ob1.txt,low,2675,2683,8,0.0799999999999976
1,Ob1.txt,high,2683,2685,2,0.0199999999999994
1,Ob1.txt,low,2685,2699,14,0.1399999999999958
1,Ob1.txt,high,2699,2701,2,0.0199999999999994
1,Ob1.txt,low,2701,2726,25,0.2499999999999925
1,Ob1.txt,high,2726,2812,86,0.8599999999999742
1,Ob1.txt,low,2812,2816,4,0.0399999999999988
1,Ob1.txt,high,2816,2818,2,0.0199999999999994
1,Ob1.txt,low,2818,3339,521,5.209999999999844
1,Ob1.txt,high,3339,3353,14,0.1399999999999958
1,Ob1.txt,low,3353,3356,3,0.0299999999999991
1,Ob1.txt,high,3356,3359,3,0.0299999999999991
1,Ob1.txt,low,3359,3425,66,0.6599999999999802
1,Ob1.txt,high,3425,3428,3,0.0299999999999991
1,Ob1.txt,low,3428,3502,74,0.7399999999999778
1,Ob1.txt,high,3502,3507,5,0.049999999999998504
1,Ob1.txt,low,3507,3514,7,0.0699999999999979
1,Ob1.txt,high,3514,3515,1,0.0099999999999997
1,Ob1.txt,low,3515,3516,1,0.0099999999999997
1,Ob1.txt,high,3516,3519,3,0.0299999999999991
1,Ob1.txt,low,3519,3522,3,0.0299999999999991
1,Ob1.txt,high,3522,3530,8,0.0799999999999976
1,Ob1.txt,low,3530,3532,2,0.0199999999999994
1,Ob1.txt,high,3532,3653,121,1.2099999999999638
1,Ob1.txt,low,3653,4005,352,3.5199999999998943
1,Ob1.txt,high,4005,4007,2,0.0199999999999994
1,Ob1.txt,low,4007,4014,7,0.0699999999999979
1,Ob1.txt,high,4014,4117,103,1.0299999999999692
1,Ob1.txt,low,4117,4134,17,0.1699999999999949
1,Ob1.txt,high,4134,4142,8,0.0799999999999976
1,Ob1.txt,low,4142,4182,40,0.39999999999998803
1,Ob1.txt,high,4182,4184,2,0.0199999999999994
1,Ob1.txt,low,4184,4197,13,0.1299999999999961
1,Ob1.txt,high,4197,4264,67,0.66999999999998
1,Ob1.txt,low,4264,4368,104,1.0399999999999687
1,Ob1.txt,high,4368,4370,2,0.0199999999999994
