lag_sec,from_set,to_set,count,origin_count,transition_probability
0.05,low,low,154032,167150,0.9215195931797786
0.05,low,high,13118,167150,0.07848040682022135
0.05,high,low,13126,167297,0.0784592670520093
0.05,high,high,154171,167297,0.9215407329479907
0.1,low,low,146250,167090,0.8752767969357831
0.1,low,high,20840,167090,0.12472320306421689
0.1,high,low,20864,167262,0.12473843431263526
0.1,high,high,146398,167262,0.8752615656873647
0.2,low,low,135408,166972,0.8109623170351915
0.2,low,high,31564,166972,0.18903768296480847
0.2,high,low,31620,167190,0.18912614390812849
0.2,high,high,135570,167190,0.8108738560918716
0.5,low,low,114458,166622,0.686932097802211
0.5,low,high,52164,166622,0.313067902197789
0.5,high,low,52265,166970,0.3130203030484518
0.5,high,high,114705,166970,0.6869796969515481
1.0,low,low,98939,166049,0.5958421911604406
1.0,low,high,67110,166049,0.40415780883955943
1.0,high,low,67404,166593,0.40460283445282813
1.0,high,high,99189,166593,0.5953971655471718
