metric,surrogate_type,real_value,null_n,null_median,null_q75,null_q95,null_max,real_minus_null_median,p_null_ge_real
long_lag_q25_lift_median_sets,coupled_phase_rank,0.17190991861797122,24,0.15678948723741948,0.1604057222953237,0.16217694443652986,0.16614002212049117,0.015120431380551747,0.04
long_lag_q25_lift_median_sets,independent_phase_rank,0.17190991861797122,24,0.1362915743905322,0.13957313018057135,0.14245456421948172,0.1438265582585412,0.035618344227439036,0.04
long_lag_q25_lift_median_sets,label_shuffle,0.17190991861797122,24,-0.0020288885731948175,-0.001300935005043545,-0.0003817469654735128,0.0007261471207928305,0.17393880719116606,0.04
long_lag_q25_retention_median_sets,coupled_phase_rank,0.672134061723948,24,0.6561191574964635,0.6603201648887221,0.6621326404211078,0.6664321436071503,0.016014904227484417,0.04
long_lag_q25_retention_median_sets,independent_phase_rank,0.672134061723948,24,0.6354717905514302,0.6385648373935503,0.6430805045000455,0.6440701742896001,0.036662271172517746,0.04
long_lag_q25_retention_median_sets,label_shuffle,0.672134061723948,24,0.4977021914501597,0.4987772622859602,0.4997572751737756,0.5003551047383299,0.17443187027378826,0.04
lag0p1_q25_lift_median_sets,coupled_phase_rank,0.3702293498770951,24,0.3451198699606739,0.3479346882018732,0.3516023953240743,0.3522741534986001,0.025109479916421207,0.04
lag0p1_q25_lift_median_sets,independent_phase_rank,0.3702293498770951,24,0.32127044677751887,0.32320256602447717,0.33009639316397316,0.3312481796472654,0.048958903099576234,0.04
lag0p1_q25_lift_median_sets,label_shuffle,0.3702293498770951,24,-0.0025466897120881085,-0.0014931464002472493,-0.00045358915965063886,0.0007007282720839503,0.3727760395891832,0.04
lag1p0_q25_lift_median_sets,coupled_phase_rank,0.07404516772709954,24,0.06387681091163633,0.06866085775172623,0.07142244813286248,0.07499507241223417,0.010168356815463214,0.08
lag1p0_q25_lift_median_sets,independent_phase_rank,0.07404516772709954,24,0.05301247909866487,0.056919678337601726,0.06014644921719251,0.06149197806998723,0.021032688628434673,0.04
lag1p0_q25_lift_median_sets,label_shuffle,0.07404516772709954,24,-0.0022639895790707368,-0.0016788937392970167,-0.0005580006115162867,-0.00020070779529485216,0.07630915730617027,0.04
median_residence_all,coupled_phase_rank,0.1299999999999961,24,0.039999999999992,0.039999999999992,0.039999999999992,0.039999999999992,0.09000000000000409,0.04
median_residence_all,independent_phase_rank,0.1299999999999961,24,0.0299999999999991,0.0299999999999991,0.0299999999999991,0.0299999999999991,0.099999999999997,0.04
median_residence_all,label_shuffle,0.1299999999999961,24,0.01499999999999785,0.019999999999996,0.019999999999996,0.019999999999996,0.11499999999999824,0.04
q75_residence_all,coupled_phase_rank,0.539999999999892,24,0.159999999999968,0.159999999999968,0.15999999999999112,0.1599999999999952,0.379999999999924,0.04
q75_residence_all,independent_phase_rank,0.539999999999892,24,0.1199999999999964,0.129999999999974,0.129999999999974,0.129999999999974,0.4199999999998956,0.04
q75_residence_all,label_shuffle,0.539999999999892,24,0.0199999999999994,0.02249999999999805,0.029999999999994,0.029999999999994,0.5199999999998927,0.04
q90_residence_all,coupled_phase_rank,1.309999999999738,24,0.669999999999866,0.679999999999864,0.6899999999999618,0.69999999999986,0.639999999999872,0.04
q90_residence_all,independent_phase_rank,1.309999999999738,24,0.48999999999994365,0.4999999999999,0.5169999999999093,0.5199999999999844,0.8199999999997944,0.04
q90_residence_all,label_shuffle,1.309999999999738,24,0.039999999999992,0.039999999999992,0.039999999999992,0.039999999999992,1.269999999999746,0.04
