lag_sec,spectral_set,median_retention,q25_retention,q75_retention,median_retention_lift,q25_retention_lift,frac_ob_lift_positive,median_mass,median_origin_count,surrogate_type,replicate
0.05,high,0.9243675099866844,0.9111671221337616,0.9293161768205359,0.4233671765422029,0.41057931051181923,1.0,0.5000334291636023,9890.0,real,0
0.05,low,0.9239558970932175,0.9111562681014493,0.9295552406273829,0.42495623053769893,0.4117440797233918,1.0,0.4999665708363977,9935.0,real,0
0.1,high,0.8771228771228772,0.8705508063264071,0.8836238341493463,0.37667201712145537,0.3695818065593466,1.0,0.5000334291636023,9886.0,real,0
0.1,low,0.8776164246369554,0.8703993855223057,0.8836879310174228,0.3776414383945221,0.37087689319484357,1.0,0.4999665708363977,9930.0,real,0
0.2,high,0.8142452448401457,0.8035683463548422,0.8211054864713231,0.31533774362056366,0.30434133137995634,1.0,0.5000334291636023,9884.0,real,0
0.2,low,0.8162671748069401,0.803763217849313,0.8204713841902999,0.3138621234242045,0.3028612005221213,1.0,0.4999665708363977,9920.0,real,0
0.5,high,0.6942860002001401,0.6729205977999673,0.6967986040246295,0.19381343875959145,0.17195963798698982,1.0,0.5000334291636023,9882.0,real,0
0.5,low,0.6928722227807379,0.6713475256479285,0.6998381284325608,0.19263416396575694,0.1718601992489526,1.0,0.4999665708363977,9909.0,real,0
1.0,high,0.5863567458312279,0.5739971669425261,0.6244615236199933,0.08633173207366118,0.07346364464990507,1.0,0.5000334291636023,9882.0,real,0
1.0,low,0.5900778013539456,0.574153390834774,0.6183989895860458,0.08810710285580614,0.07462669080429402,1.0,0.4999665708363977,9867.0,real,0
