lag_sec,spectral_set,median_retention,q25_retention,q75_retention,median_retention_lift,q25_retention_lift,frac_ob_lift_positive,median_mass,median_origin_count,surrogate_type,replicate
0.05,high,0.5,0.496558026136258,0.5030825578125193,-0.0004671382630242471,-0.0027328380548184428,0.3684210526315789,0.5000334291636023,9892.0,label_shuffle,1
0.05,low,0.49979981315894834,0.49532507528100633,0.502270642061822,-0.0005631618842855679,-0.0026296945825956264,0.42105263157894735,0.4999665708363977,9939.0,label_shuffle,1
0.1,high,0.49966564129998664,0.49583032644374603,0.5025219944086996,-0.0007734593872487094,-0.0039422351250931464,0.42105263157894735,0.5000334291636023,9890.0,label_shuffle,1
0.1,low,0.4985406785844582,0.49476062101992296,0.5016693559787753,-0.0007768207330410837,-0.004233067163796123,0.42105263157894735,0.4999665708363977,9939.0,label_shuffle,1
0.2,high,0.5022972433080304,0.4986301481433296,0.503474447046893,0.0009214866418639778,-0.0012716374848231737,0.5789473684210527,0.5000334291636023,9885.0,label_shuffle,1
0.2,low,0.5002006420545746,0.49849627024008414,0.5036046560499076,0.0008233814527486838,-0.0009702074672948702,0.5263157894736842,0.4999665708363977,9935.0,label_shuffle,1
0.5,high,0.49818913480885313,0.4962534120875347,0.502627540277045,-0.002257449583625948,-0.0033200611924840973,0.3157894736842105,0.5000334291636023,9870.0,label_shuffle,1
0.5,low,0.49869451697127937,0.49491581883136415,0.5018198197989872,-0.0020282032457352717,-0.0035304057432059,0.3157894736842105,0.4999665708363977,9919.0,label_shuffle,1
1.0,high,0.5012087026591459,0.4991462635227182,0.5042681568290799,0.001342146051597659,-0.001939559788522477,0.5263157894736842,0.5000334291636023,9843.0,label_shuffle,1
1.0,low,0.5004548670777317,0.49860522359668813,0.5042230709435938,0.0020392770734110055,-0.0014745681306737035,0.5789473684210527,0.4999665708363977,9893.0,label_shuffle,1
0.05,high,0.8726802555521752,0.8585495186867018,0.8839938226733304,0.399690435308674,0.3929620026976654,1.0,0.4693535144397244,8467.0,independent_phase_rank,1
0.05,low,0.8873485868102288,0.8770026627980203,0.8973109723981039,0.35621598618305506,0.34513412995511583,1.0,0.5306464855602756,9708.0,independent_phase_rank,1
0.1,high,0.8274357159707478,0.8099928384636883,0.8371855152028087,0.3561712802058491,0.3419087910279683,1.0,0.4693535144397244,8462.0,independent_phase_rank,1
0.1,low,0.8466874434502866,0.8323713658798272,0.8562483721315172,0.3149273952879237,0.30109717996180585,1.0,0.5306464855602756,9707.0,independent_phase_rank,1
0.2,high,0.7559687786960514,0.7439489322758857,0.7691397565495126,0.28985802393872834,0.27797119108351614,1.0,0.4693535144397244,8452.0,independent_phase_rank,1
0.2,low,0.7874023734658687,0.7759588854737056,0.7948699048292498,0.2534084696458069,0.24124333626619948,1.0,0.5306464855602756,9707.0,independent_phase_rank,1
0.5,high,0.6342023659124842,0.617238337862051,0.6596391142807441,0.16483430030708146,0.142936080429354,1.0,0.4693535144397244,8435.0,independent_phase_rank,1
0.5,low,0.677785962327686,0.6607943966112648,0.6972944268413327,0.1447927459796453,0.1288809272948776,1.0,0.5306464855602756,9705.0,independent_phase_rank,1
1.0,high,0.5390266299357208,0.5260154770121783,0.5847627497367337,0.07291587517839776,0.0520512143671068,1.0,0.4693535144397244,8409.0,independent_phase_rank,1
1.0,low,0.5917496443812233,0.5821761159518621,0.6390890411088797,0.061471059891603064,0.047887720097840314,1.0,0.5306464855602756,9700.0,independent_phase_rank,1
0.05,high,0.9012221999599279,0.8936636076996466,0.9070904214443926,0.40335376639725273,0.3972215152574896,1.0,0.49909954977488746,9849.0,coupled_phase_rank,1
0.05,low,0.9014197160567886,0.8968352597808714,0.9072700912281122,0.40104450969328864,0.3885731723572586,1.0,0.5009004502251125,9959.0,coupled_phase_rank,1
0.1,high,0.8617406463725359,0.849481016409652,0.866314979752602,0.3604761044716781,0.35330403409797506,1.0,0.49909954977488746,9844.0,coupled_phase_rank,1
0.1,low,0.8619380619380619,0.8531799330881871,0.8662033444033506,0.36103761171294935,0.34538030278762805,1.0,0.5009004502251125,9959.0,coupled_phase_rank,1
0.2,high,0.7966417910447762,0.784636444329063,0.8001689995948621,0.29788840203234146,0.2853923628284119,1.0,0.49909954977488746,9834.0,coupled_phase_rank,1
0.2,low,0.7977460253572147,0.7859889371310639,0.8022341102176185,0.29550314617848383,0.2848235462573077,1.0,0.5009004502251125,9958.0,coupled_phase_rank,1
0.5,high,0.6686384599959896,0.666028530112504,0.6836167325889213,0.1703517708973109,0.16681568986165107,1.0,0.49909954977488746,9804.0,coupled_phase_rank,1
0.5,low,0.6731648292551762,0.6668357571017965,0.6863846214037925,0.16986638497883305,0.16546435437933127,1.0,0.5009004502251125,9930.0,coupled_phase_rank,1
1.0,high,0.5689701532670073,0.5631189419005194,0.6082958446393856,0.07042640786928078,0.0634920969918571,1.0,0.49909954977488746,9766.0,coupled_phase_rank,1
1.0,low,0.5701103309929789,0.5661110768598979,0.6100170034995842,0.06961008086791642,0.06705283378870167,1.0,0.5009004502251125,9899.0,coupled_phase_rank,1
0.05,high,0.5010507355148605,0.4979778985923884,0.502955416171875,0.0009506654658261171,-0.0029284383368891886,0.6842105263157895,0.5000334291636023,9894.0,label_shuffle,2
0.05,low,0.5009508557701932,0.4985734300866944,0.5033779893023471,0.0009007205764611781,-0.002960710640388581,0.6842105263157895,0.4999665708363977,9937.0,label_shuffle,2
0.1,high,0.5008413967185528,0.49868503714921963,0.5030411305603679,0.0005754666267407949,-0.0013256288655367765,0.5789473684210527,0.5000334291636023,9894.0,label_shuffle,2
0.1,low,0.5003503854239664,0.49689509584863734,0.5030781586787789,0.0003754693498366213,-0.0013311008248236555,0.5789473684210527,0.4999665708363977,9935.0,label_shuffle,2
0.2,high,0.5010686615014694,0.49783832675783846,0.5043220754178506,-0.0004351431432487729,-0.0027236417588079598,0.47368421052631576,0.5000334291636023,9890.0,label_shuffle,2
0.2,low,0.4995979630125972,0.4979424863159851,0.5035387226721276,-0.0006778392242462461,-0.0028208539930196785,0.47368421052631576,0.4999665708363977,9932.0,label_shuffle,2
0.5,high,0.502173322466721,0.49758825387164984,0.5033579478408647,0.0004168992876228961,-0.002206460357550094,0.5263157894736842,0.5000334291636023,9876.0,label_shuffle,2
0.5,low,0.49949789114279974,0.49689051092554887,0.5041840880616093,0.00042340017276620845,-0.0020565847049222596,0.5789473684210527,0.4999665708363977,9918.0,label_shuffle,2
1.0,high,0.49926019868949484,0.4976759890206818,0.5013688111669539,-0.0008061727631471505,-0.001563539733656999,0.3684210526315789,0.5000334291636023,9855.0,label_shuffle,2
1.0,low,0.49929506545820745,0.49775129932257023,0.5013280325217055,-0.0009347838195872815,-0.0021047109069929626,0.3157894736842105,0.4999665708363977,9891.0,label_shuffle,2
0.05,high,0.8712811171827566,0.8629968003869455,0.882261732492093,0.40252983872993187,0.3945925624113791,1.0,0.46640067198656027,8409.0,independent_phase_rank,2
0.05,low,0.8866006953730944,0.8819512605325208,0.8957150157874252,0.3523099489199427,0.3474620669960532,1.0,0.5335993280134397,9555.0,independent_phase_rank,2
0.1,high,0.8293460925039873,0.8140684934356691,0.8335457374427182,0.356486912966859,0.34806414995725976,1.0,0.46640067198656027,8409.0,independent_phase_rank,2
0.1,low,0.8476678349959558,0.84070572284858,0.8542218644402262,0.3137395240879618,0.30124732190277154,1.0,0.5335993280134397,9555.0,independent_phase_rank,2
0.2,high,0.7549851019940408,0.742167407061024,0.7651704617713895,0.289258347442226,0.2780493167890301,1.0,0.46640067198656027,8406.0,independent_phase_rank,2
0.2,low,0.7868917576961271,0.7768587241354525,0.7931620284245258,0.2513278660046634,0.24122009704457514,1.0,0.5335993280134397,9555.0,independent_phase_rank,2
