spectral_set,n_runs,median_run_duration_sec,q75_run_duration_sec,q90_run_duration_sec,q95_run_duration_sec,mean_run_duration_sec,frac_runs_ge_0p1s,frac_runs_ge_0p2s,frac_runs_ge_0p5s,frac_runs_ge_1p0s,frac_runs_ge_2p0s,surrogate_type,replicate
high,83723,0.019999999999996,0.0199999999999994,0.039999999999992,0.04999999999999,0.019986383669956344,0.0010749734242681223,0.0,0.0,0.0,0.0,label_shuffle,1
low,83722,0.0099999999999997,0.0199999999999994,0.039999999999992,0.04999999999999,0.019972050357131402,0.0010988748477102793,0.0,0.0,0.0,0.0,label_shuffle,1
all,167445,0.019999999999996,0.0199999999999994,0.039999999999992,0.04999999999999,0.019979217056343937,0.0010869240646182328,0.0,0.0,0.0,0.0,label_shuffle,1
high,8866,0.0299999999999991,0.1099999999999967,0.43499999999994954,0.889999999999822,0.16559327769002935,0.25738777351680575,0.17482517482517482,0.08786374915407173,0.04207083239341304,0.009023234829686443,independent_phase_rank,1
low,8869,0.0299999999999991,0.129999999999974,0.509999999999898,0.989999999999802,0.18855451572891777,0.281767955801105,0.19359567031232383,0.10034953207802458,0.0489344909234412,0.0139812831209832,independent_phase_rank,1
all,17735,0.0299999999999991,0.1199999999999964,0.469999999999906,0.9299999999999721,0.1770758387369367,0.2695799266986186,0.18421201014942204,0.09410769664505216,0.04550324217648717,0.011502678319706795,independent_phase_rank,1
high,7535,0.039999999999992,0.1499999999999955,0.659999999999868,1.1699999999997661,0.2213364299933319,0.3035169210351692,0.21765096217650962,0.12382216323822164,0.06264100862641009,0.01698739216987392,coupled_phase_rank,1
low,7528,0.0299999999999991,0.159999999999968,0.672999999999947,1.1299999999999661,0.22278161530283674,0.29848565356004253,0.21958023379383634,0.13071200850159406,0.06097236981934113,0.017401700318809776,coupled_phase_rank,1
all,15063,0.0299999999999991,0.1499999999999955,0.669999999999866,1.14999999999977,0.22205868684853686,0.30100245634999667,0.21861514970457413,0.12726548496315476,0.06180707694350395,0.017194449976764257,coupled_phase_rank,1
high,83473,0.019999999999996,0.029999999999994,0.039999999999992,0.04999999999999,0.020046242497571132,0.0009224539671510548,0.0,0.0,0.0,0.0,label_shuffle,2
low,83475,0.0099999999999997,0.0199999999999994,0.039999999999992,0.04999999999999,0.020031147050012046,0.0010182689427972447,0.0,0.0,0.0,0.0,label_shuffle,2
all,166948,0.019999999999996,0.0199999999999994,0.039999999999992,0.04999999999999,0.020038694683371532,0.0009703620288952249,0.0,0.0,0.0,0.0,label_shuffle,2
high,8762,0.0299999999999991,0.119999999999976,0.459999999999908,0.8799999999999661,0.1667222095411763,0.2666057977630678,0.1783839306094499,0.0921022597580461,0.04085825154074412,0.008673818762839534,independent_phase_rank,2
low,8761,0.0299999999999991,0.1299999999999961,0.539999999999892,1.029999999999794,0.1912761100330733,0.28307270859490924,0.19689533158315262,0.10683711905033672,0.05284784841913023,0.011528364341970094,independent_phase_rank,2
all,17523,0.0299999999999991,0.1199999999999964,0.4999999999999,0.9499999999999715,0.1789984591679245,0.2748387833133596,0.18763910289334018,0.09946926896079439,0.04685270786965702,0.010101010101010102,independent_phase_rank,2
