component,variable,metric_key,n_ob,n_events,real_median_low_to_high_delta_z,real_median_high_to_low_delta_z,real_median_direction_contrast_z,real_abs_median_direction_contrast_z,real_direction_contrast_sign_consistency
raw,speed_rms,raw__speed_rms,19,1471,0.2260877762019462,-0.43861576588976114,0.873029159244425,0.873029159244425,0.8421052631578947
raw,velocity_cov_trace,raw__velocity_cov_trace,19,1471,0.3017153379544072,-0.4057230414674791,0.6354374581039852,0.6354374581039852,0.8421052631578947
affine_resid,velocity_cov_trace,affine_resid__velocity_cov_trace,19,1471,0.25925883223623536,-0.33146631182737557,0.5790683828287234,0.5790683828287234,0.8947368421052632
affine_resid,speed_rms,affine_resid__speed_rms,19,1471,0.27863779978610304,-0.3205610598423384,0.5521874570287999,0.5521874570287999,0.8947368421052632
raw,mean_speed,raw__mean_speed,19,1471,0.3347360415501261,-0.2913109761813198,0.5391038699428399,0.5391038699428399,0.8947368421052632
affine_resid,mean_speed,affine_resid__mean_speed,19,1471,0.2189479919141991,-0.2600682219790932,0.5388222677043808,0.5388222677043808,0.8947368421052632
affine_pred,velocity_cov_trace,affine_pred__velocity_cov_trace,19,1471,0.17118200227435004,-0.2819248218408663,0.46429405766859566,0.46429405766859566,0.6842105263157895
affine_resid,tangential_speed_mean,affine_resid__tangential_speed_mean,19,1471,0.17921606381646832,-0.20099842305892182,0.42423763470043996,0.42423763470043996,0.9473684210526315
affine_pred,speed_rms,affine_pred__speed_rms,19,1471,0.07811144953208257,-0.18248898050212914,0.4145955738765503,0.4145955738765503,0.631578947368421
raw,tangential_speed_mean,raw__tangential_speed_mean,19,1471,0.17850483679199014,-0.27948028057999685,0.37006582467758103,0.37006582467758103,0.8947368421052632
affine_pred,mean_speed,affine_pred__mean_speed,19,1471,0.0545879030014862,-0.1991830015629982,0.31381854704621615,0.31381854704621615,0.7368421052631579
affine_pred,tangential_speed_mean,affine_pred__tangential_speed_mean,19,1471,0.08095527662825652,-0.14787665836170266,0.22599756774768495,0.22599756774768495,0.631578947368421
