component,variable,metric_key,n_ob,n_events,null_median_low_to_high_delta_z,null_median_high_to_low_delta_z,null_median_direction_contrast_z,null_abs_median_direction_contrast_z,null_direction_contrast_sign_consistency,replicate
affine_pred,tangential_speed_mean,affine_pred__tangential_speed_mean,19,1469,-0.1309883420741135,-0.0019595380607183577,-0.16053785890176597,0.16053785890176597,0.5789473684210527,1
affine_pred,mean_speed,affine_pred__mean_speed,19,1469,-0.06970481530290452,0.005150026159050525,-0.12723573050954476,0.12723573050954476,0.5789473684210527,1
raw,tangential_speed_mean,raw__tangential_speed_mean,19,1469,0.09659476287761501,-0.03910921125312,0.0995869420652411,0.0995869420652411,0.631578947368421,1
raw,velocity_cov_trace,raw__velocity_cov_trace,19,1469,0.03934161906304495,-0.06936057511603294,0.09266956839238016,0.09266956839238016,0.631578947368421,1
affine_resid,mean_speed,affine_resid__mean_speed,19,1469,0.04762714175800717,-0.014149181757147522,0.09083759244991026,0.09083759244991026,0.5789473684210527,1
raw,mean_speed,raw__mean_speed,19,1469,0.10114832247614318,0.03301157615054989,0.06813674632559329,0.06813674632559329,0.5789473684210527,1
affine_resid,tangential_speed_mean,affine_resid__tangential_speed_mean,19,1469,0.00021992409914020628,0.04568741062105325,0.04323783210191939,0.04323783210191939,0.5789473684210527,1
affine_resid,speed_rms,affine_resid__speed_rms,19,1469,0.010987671196716474,0.019871776776884786,0.03446888037048407,0.03446888037048407,0.5789473684210527,1
raw,speed_rms,raw__speed_rms,19,1469,-0.03216007246231975,-0.01565507780761008,-0.011731968374006807,0.011731968374006807,0.5789473684210527,1
affine_pred,velocity_cov_trace,affine_pred__velocity_cov_trace,19,1469,-0.027576423487795994,-0.04614907358723824,-0.010814032252308509,0.010814032252308509,0.5263157894736842,1
affine_pred,speed_rms,affine_pred__speed_rms,19,1469,-0.13477732548087784,0.015151232068034967,-0.008055050951982334,0.008055050951982334,0.5263157894736842,1
affine_resid,velocity_cov_trace,affine_resid__velocity_cov_trace,19,1469,0.0054453367487425075,0.018493437906794183,0.002654826647855879,0.002654826647855879,0.5263157894736842,1
affine_pred,mean_speed,affine_pred__mean_speed,19,1471,0.10282173588210433,-0.0348270159974606,0.16702298693838458,0.16702298693838458,0.5789473684210527,2
raw,speed_rms,raw__speed_rms,19,1471,-0.051455172190264534,0.00825112906787051,-0.12695479294959633,0.12695479294959633,0.5789473684210527,2
affine_pred,speed_rms,affine_pred__speed_rms,19,1471,0.12871798362644138,-0.023252936190906317,0.09162395643072696,0.09162395643072696,0.631578947368421,2
affine_pred,velocity_cov_trace,affine_pred__velocity_cov_trace,19,1471,0.04318510687454946,-0.037622405655672125,0.08195417390107959,0.08195417390107959,0.631578947368421,2
raw,tangential_speed_mean,raw__tangential_speed_mean,19,1471,0.07790479964637193,0.04543319669641602,0.07789781144303945,0.07789781144303945,0.631578947368421,2
affine_pred,tangential_speed_mean,affine_pred__tangential_speed_mean,19,1471,0.11963324887378571,0.0008139385056979975,0.052849100503020906,0.052849100503020906,0.631578947368421,2
affine_resid,velocity_cov_trace,affine_resid__velocity_cov_trace,19,1471,-0.08673739176134077,0.05105740421153271,-0.038287550739898424,0.038287550739898424,0.631578947368421,2
affine_resid,tangential_speed_mean,affine_resid__tangential_speed_mean,19,1471,0.005779013640248132,0.04250800607408431,0.025058850165416147,0.025058850165416147,0.5789473684210527,2
