variable,family,n_ob,n_events,real_median_low_to_high_delta_z,real_median_high_to_low_delta_z,real_median_direction_contrast_z,real_abs_median_direction_contrast_z,direction_contrast_sign_consistency,null_abs_median_direction_contrast_z,real_minus_null_abs_direction_contrast_z,p_null_abs_direction_ge_real,direction_survives_gate
resid_velocity_cov_trace,residual_intensity,19,1471,0.25925883223623536,-0.33146631182737557,0.5790683828287234,0.5790683828287234,0.8947368421052632,0.07020069499664774,0.5088676878320757,0.006211180124223602,True
resid_speed_rms,residual_intensity,19,1471,0.27863779978610304,-0.3205610598423384,0.5521874570287999,0.5521874570287999,0.8947368421052632,0.07343546818460202,0.4787519888441979,0.006211180124223602,True
resid_tangential_speed_mean,tangential_swirl,19,1471,0.17921606381646832,-0.20099842305892182,0.42423763470043996,0.42423763470043996,0.9473684210526315,0.0682845317568345,0.3559531029436055,0.006211180124223602,True
resid_radial_abs_mean,radial,19,1471,0.15100814760258635,-0.08377231198839503,0.25353491385556093,0.25353491385556093,0.7894736842105263,0.05271631023922396,0.20081860361633697,0.018633540372670808,True
radius_resid_speed_corr,edge_core,19,1471,-0.2172179906525925,0.04366488217535415,-0.265240969900851,0.265240969900851,0.6842105263157895,0.07061486940463307,0.19462610049621792,0.006211180124223602,False
edge_minus_core_resid_speed,edge_core,19,1471,-0.10567122519363148,0.05148270837524657,-0.21931037986054489,0.21931037986054489,0.7368421052631579,0.07512695361948964,0.14418342624105523,0.037267080745341616,True
edge_minus_core_resid_tangential,edge_core,19,1471,-0.09635100273800479,0.05860528905799721,-0.20076853076448825,0.20076853076448825,0.7894736842105263,0.07025724242228361,0.13051128834220466,0.049689440993788817,True
resid_inward_fraction,radial,19,1471,0.017042171628785324,-0.08049468011350726,0.08896765499369855,0.08896765499369855,0.5789473684210527,0.05632007774448557,0.03264757724921298,0.3105590062111801,False
resid_radial_velocity_mean,radial,19,1471,0.14814859599272212,-0.046686094856185356,0.08465227196832814,0.08465227196832814,0.631578947368421,0.06402178172504712,0.02063049024328102,0.36024844720496896,False
radius_resid_tangential_corr,edge_core,19,1471,0.0321136040872671,0.02066692001397448,-0.07725644479727736,0.07725644479727736,0.631578947368421,0.06690937790872287,0.010347066888554496,0.4409937888198758,False
resid_tangential_fraction,tangential_swirl,19,1471,-0.08322584294317928,-0.05871682537610823,0.04049912048058646,0.04049912048058646,0.5263157894736842,0.06239160260083792,-0.02189248212025146,0.6645962732919255,False
resid_polarization,residual_order,19,1471,0.0007401097664924139,0.0017831517788016171,-0.010855626490185004,0.010855626490185004,0.5789473684210527,0.06884547582981448,-0.05798984933962948,0.9130434782608695,False
