variable,family,n_ob,n_events,null_median_low_to_high_delta_z,null_median_high_to_low_delta_z,null_median_direction_contrast_z,null_abs_median_direction_contrast_z,null_direction_contrast_sign_consistency,replicate
resid_tangential_fraction,tangential_swirl,19,1470,-0.036778418674213484,0.09660699913422634,-0.20566604207714972,0.20566604207714972,0.631578947368421,1
resid_polarization,residual_order,19,1470,0.010191940388409915,-0.02837562961134893,0.12580475715284709,0.12580475715284709,0.7368421052631579,1
resid_velocity_cov_trace,residual_intensity,19,1470,-0.041381123200433245,-0.04888200520335906,0.12351921083634691,0.12351921083634691,0.5263157894736842,1
resid_radial_abs_mean,radial,19,1470,-0.02250413047559402,-0.07518244054813623,0.10679728463407775,0.10679728463407775,0.631578947368421,1
edge_minus_core_resid_tangential,edge_core,19,1470,-0.0675140386790595,0.010583328274988875,-0.09898286672065067,0.09898286672065067,0.5263157894736842,1
resid_inward_fraction,radial,19,1470,0.09780359132171453,0.0243185112550397,0.08995813816013043,0.08995813816013043,0.5789473684210527,1
resid_speed_rms,residual_intensity,19,1470,-0.03443002287869365,-0.03954786565377169,0.07062643925680623,0.07062643925680623,0.5789473684210527,1
resid_radial_velocity_mean,radial,19,1470,-0.11109110092723792,0.03726617926301042,-0.050679188210987526,0.050679188210987526,0.5263157894736842,1
edge_minus_core_resid_speed,edge_core,19,1470,0.05966865374794711,0.020800254729913925,0.033955943937124644,0.033955943937124644,0.631578947368421,1
radius_resid_tangential_corr,edge_core,19,1470,0.020354495775822212,0.05729779741765624,-0.02524850847040299,0.02524850847040299,0.5263157894736842,1
radius_resid_speed_corr,edge_core,19,1470,0.0678879077596446,0.08777216986126435,0.018822406370208433,0.018822406370208433,0.5789473684210527,1
resid_tangential_speed_mean,tangential_swirl,19,1470,0.01714812866873952,-0.030165112905091405,-0.0026677349598012157,0.0026677349598012157,0.5263157894736842,1
resid_inward_fraction,radial,19,1471,-0.12770139183622886,0.12948811310969546,-0.19096604370629372,0.19096604370629372,0.7368421052631579,2
edge_minus_core_resid_tangential,edge_core,19,1471,-0.07151929931469156,0.03889145198903948,-0.14275635367834927,0.14275635367834927,0.6842105263157895,2
edge_minus_core_resid_speed,edge_core,19,1471,-0.11342350957107186,0.010802677105801933,-0.13341504829685374,0.13341504829685374,0.5789473684210527,2
resid_speed_rms,residual_intensity,19,1471,-0.06885170616924718,-0.006359893405741501,0.08739986290552887,0.08739986290552887,0.5789473684210527,2
resid_radial_velocity_mean,radial,19,1471,-0.01885925813584738,-0.06984946435718276,0.0746237874793545,0.0746237874793545,0.5789473684210527,2
resid_polarization,residual_order,19,1471,0.06230773488651342,-0.005282710311916627,0.07386525098243357,0.07386525098243357,0.5789473684210527,2
radius_resid_speed_corr,edge_core,19,1471,-0.053375203289626305,0.031433448637728935,-0.06091664295174539,0.06091664295174539,0.6842105263157895,2
resid_tangential_fraction,tangential_swirl,19,1471,-0.024527924654830544,0.05684720929323091,-0.059492012160239895,0.059492012160239895,0.7368421052631579,2
radius_resid_tangential_corr,edge_core,19,1471,-0.03454956895086612,0.05614811643751949,-0.0530588278930714,0.0530588278930714,0.631578947368421,2
resid_velocity_cov_trace,residual_intensity,19,1471,-0.0612272329950009,-0.012139616021109675,0.03761044569715244,0.03761044569715244,0.5789473684210527,2
resid_radial_abs_mean,radial,19,1471,-0.06797001841520858,-0.0426535581970176,0.013042317854303598,0.013042317854303598,0.5263157894736842,2
