variable,n_ob,n_events,null_median_pre_minus_baseline_z,null_sign_consistency_pre_minus_baseline_z,null_median_event_minus_baseline_z,null_sign_consistency_event_minus_baseline_z,null_median_post_minus_baseline_z,null_sign_consistency_post_minus_baseline_z,null_median_follow_minus_baseline_z,null_sign_consistency_follow_minus_baseline_z,null_median_post_minus_pre_z,null_sign_consistency_post_minus_pre_z,null_pre_to_post_abs_ratio,replicate
edge_minus_core_resid_speed,19,1466,-0.10409566037931295,0.8421052631578947,-0.020451364096319646,0.5263157894736842,0.02227892388013343,0.5789473684210527,-0.06738523360016102,0.631578947368421,0.09927553061751236,0.6842105263157895,4.672382783808385,1
edge_minus_core_resid_tangential,19,1466,-0.08116400214818709,0.7368421052631579,-0.04801806523795907,0.5789473684210527,-0.009029922647780242,0.631578947368421,-0.022375717165355285,0.5789473684210527,0.02964705348591931,0.6842105263157895,8.988338584288872,1
edge_minus_core_resid_tangential,19,1469,0.027548852485084513,0.5263157894736842,-0.03348594697248619,0.5263157894736842,-0.005238113053300464,0.5263157894736842,-0.0008982068144512412,0.5263157894736842,-0.032843012198449345,0.6842105263157895,5.259308496162823,2
edge_minus_core_resid_speed,19,1469,-0.014971628069996357,0.5263157894736842,-0.10776199421729864,0.631578947368421,-0.09915828376555769,0.6842105263157895,-0.01738701828134001,0.5789473684210527,-0.0013051070802172493,0.5789473684210527,0.1509871641727295,2
edge_minus_core_resid_tangential,19,1466,-0.0003706502742712864,0.5263157894736842,-0.00517538154449676,0.5263157894736842,-0.029064117367801817,0.6842105263157895,-0.0517251806890313,0.631578947368421,-0.03555248645592532,0.5263157894736842,0.01275284811098048,3
edge_minus_core_resid_speed,19,1466,0.0656405698028639,0.631578947368421,-0.030104250044446487,0.631578947368421,-0.030786910986657867,0.5263157894736842,-0.06687090448100991,0.7368421052631579,-0.015702106202240718,0.5263157894736842,2.132093402657726,3
edge_minus_core_resid_speed,19,1466,-0.05460139828752157,0.5789473684210527,0.13286016055172695,0.631578947368421,-0.002426755138865949,0.631578947368421,-0.00898222619735306,0.5789473684210527,0.010845664526490856,0.5263157894736842,22.499755913996925,4
edge_minus_core_resid_tangential,19,1466,-0.0011436752974521777,0.5263157894736842,-0.05059899756245139,0.5789473684210527,-0.06236601033824635,0.5789473684210527,-0.0783121874575074,0.6842105263157895,0.04497576288050433,0.5789473684210527,0.018338118652281524,4
edge_minus_core_resid_speed,19,1465,0.06848724702400386,0.6842105263157895,0.05247182628442093,0.631578947368421,0.00844092133536778,0.5263157894736842,0.01809649293983799,0.5263157894736842,-0.050885169400781194,0.6842105263157895,8.113717010611117,5
edge_minus_core_resid_tangential,19,1465,0.026383047160703305,0.631578947368421,-0.08827201092342779,0.631578947368421,0.001285441406344956,0.5263157894736842,0.007737926018562241,0.5263157894736842,-0.11635081864732627,0.631578947368421,20.524503902298644,5
edge_minus_core_resid_tangential,19,1470,0.047487064633577214,0.5789473684210527,-0.0800830916361599,0.5789473684210527,0.0038937358610455636,0.5263157894736842,-0.004031540836559419,0.5263157894736842,-0.0626398971338539,0.6842105263157895,12.195759118808272,6
edge_minus_core_resid_speed,19,1470,0.050762503418002536,0.6842105263157895,0.029976985626179786,0.6842105263157895,-0.0017479288925871111,0.5263157894736842,-0.02185936119281906,0.631578947368421,-0.08824262269128884,0.6842105263157895,29.04151515160832,6
edge_minus_core_resid_tangential,19,1468,0.05879944419546988,0.6842105263157895,0.011491470241081492,0.5263157894736842,0.022363387622817837,0.5263157894736842,0.047974976163333016,0.631578947368421,-0.048902309669268965,0.631578947368421,2.6292726838699325,7
edge_minus_core_resid_speed,19,1468,0.024580366164187573,0.5789473684210527,0.05286529338880769,0.6842105263157895,0.01909449867258467,0.5789473684210527,0.05463274619014007,0.6842105263157895,-0.05038673879063385,0.5789473684210527,1.2873009438828238,7
edge_minus_core_resid_speed,19,1466,0.009630638834438876,0.5263157894736842,-0.012573996722531205,0.5263157894736842,0.0034423828942347218,0.5263157894736842,-0.056526504837563996,0.631578947368421,-0.08587755212164104,0.631578947368421,2.797666363776151,8
edge_minus_core_resid_tangential,19,1466,0.03132356145842352,0.5263157894736842,0.04754917248859203,0.5789473684210527,0.0021207979875755845,0.5263157894736842,-0.0009957728115402298,0.5263157894736842,-0.05619278229445348,0.631578947368421,14.769705385391951,8
edge_minus_core_resid_tangential,19,1468,0.05142682683340177,0.5789473684210527,-0.0553731538726074,0.5263157894736842,-0.022070624816267204,0.5789473684210527,-0.03068076186363955,0.6842105263157895,-0.04790188705164106,0.631578947368421,2.330102897472006,9
edge_minus_core_resid_speed,19,1468,0.004629316545588347,0.5263157894736842,0.019821923254717627,0.5789473684210527,-0.0495379700599925,0.5263157894736842,0.00826452275544233,0.5263157894736842,0.05030327093073983,0.5789473684210527,0.0934498636093093,9
edge_minus_core_resid_tangential,19,1465,-0.018318720202368965,0.631578947368421,0.03601020226305259,0.631578947368421,-0.0257402506880635,0.5789473684210527,-0.009666703536625472,0.5789473684210527,-0.030616454595371864,0.5789473684210527,0.7116760603603556,10
edge_minus_core_resid_speed,19,1465,-0.00827870496246165,0.5263157894736842,-0.029752813315484156,0.5789473684210527,-0.03309128648226124,0.5263157894736842,-0.02077030514857353,0.5263157894736842,0.042931718004381475,0.5789473684210527,0.250177791271412,10
edge_minus_core_resid_tangential,19,1467,-0.1149658748063302,0.5789473684210527,-0.01726837186695701,0.5789473684210527,-0.006695402656087646,0.5263157894736842,0.0017415255946548521,0.5263157894736842,0.024889613906054684,0.5789473684210527,17.17086793903277,11
edge_minus_core_resid_speed,19,1467,-0.03283353789773227,0.5789473684210527,0.01837258140197559,0.5789473684210527,-0.013647301980206444,0.5263157894736842,0.02820368599467503,0.5789473684210527,-0.004943839368284559,0.5263157894736842,2.4058629277312726,11
edge_minus_core_resid_speed,19,1465,-0.026298175663447693,0.5263157894736842,-0.00681569419214826,0.5263157894736842,0.052274175728609096,0.5263157894736842,0.006149446143814963,0.5263157894736842,-0.04957434479961661,0.5263157894736842,0.5030815942460664,12
edge_minus_core_resid_tangential,19,1465,-0.02907463113712567,0.5263157894736842,-0.02536589423894553,0.5789473684210527,0.006756283024673709,0.5263157894736842,0.03667289211568331,0.6842105263157895,0.04605091015740723,0.631578947368421,4.303347126067119,12
edge_minus_core_resid_tangential,19,1468,0.04492570232424015,0.631578947368421,-0.02826447068788622,0.6842105263157895,0.01936808268279383,0.5263157894736842,-0.060687885134761504,0.631578947368421,0.09332037252244703,0.631578947368421,2.3195740672953207,13
edge_minus_core_resid_speed,19,1468,-0.055125474685062376,0.631578947368421,-0.09847153881124036,0.631578947368421,-0.0015001391807431819,0.5263157894736842,-0.05479116064817324,0.7368421052631579,0.0003034182565521057,0.5263157894736842,36.746906815508105,13
edge_minus_core_resid_speed,19,1469,-0.06157824128974021,0.6842105263157895,0.03653432107206639,0.5789473684210527,0.01023076462218303,0.5263157894736842,-0.0327526673638284,0.6842105263157895,0.06869804443388558,0.631578947368421,6.018928551657042,14
edge_minus_core_resid_tangential,19,1469,-0.048809443320814744,0.631578947368421,0.05493271290576296,0.6842105263157895,-0.06152087028088224,0.5789473684210527,-0.07963751075078063,0.631578947368421,0.039346024670976865,0.5789473684210527,0.79338024800313,14
edge_minus_core_resid_tangential,19,1471,-0.040581333791105026,0.631578947368421,-0.020645237891338902,0.631578947368421,0.04288236996712755,0.631578947368421,-0.024379925950324316,0.6842105263157895,0.08900664736520443,0.6842105263157895,0.9463407414798568,15
edge_minus_core_resid_speed,19,1471,-0.026196808249254258,0.5789473684210527,0.025248955282024685,0.5263157894736842,0.038799600893908166,0.7368421052631579,0.0003306007064689531,0.5263157894736842,0.0866886047768669,0.5789473684210527,0.6751824154296225,15
edge_minus_core_resid_speed,19,1466,0.014629212973035932,0.5263157894736842,0.03305266868320697,0.5263157894736842,0.0019075434549857516,0.5263157894736842,-0.020185278522920264,0.5789473684210527,0.10782996535804287,0.5263157894736842,7.669137463054652,16
edge_minus_core_resid_tangential,19,1466,-0.010520003372123443,0.5263157894736842,0.007627868799718274,0.5789473684210527,-0.002889356369968364,0.5263157894736842,0.04501307893018197,0.631578947368421,-0.02169110827228138,0.631578947368421,3.6409504488498343,16
edge_minus_core_resid_speed,19,1465,-0.056296399683026625,0.7368421052631579,-0.03579229053868238,0.5789473684210527,-0.03393524138858449,0.631578947368421,0.03324619314362259,0.5263157894736842,0.019574278645063108,0.5263157894736842,1.6589361790119528,17
edge_minus_core_resid_tangential,19,1465,-0.019427578019248187,0.631578947368421,0.006200934513357237,0.5263157894736842,-0.07349435964582396,0.631578947368421,-0.006437545135726794,0.5263157894736842,-0.036357248907827655,0.6842105263157895,0.26434107478276514,17
edge_minus_core_resid_speed,19,1468,0.02356002753357439,0.5263157894736842,0.05284529005329455,0.631578947368421,0.061417549732055376,0.5789473684210527,-0.016197856023970503,0.5263157894736842,-0.014882278396905438,0.5263157894736842,0.38360415933815434,18
edge_minus_core_resid_tangential,19,1468,-0.023167527008456222,0.5789473684210527,-0.0018110885167295192,0.5263157894736842,-0.02180280458744671,0.631578947368421,-0.05887314372002439,0.6842105263157895,0.025976030300011776,0.631578947368421,1.0625938931634176,18
