variable,family,n_ob,n_events,real_median_low_to_high_delta_z,real_median_high_to_low_delta_z,real_median_direction_contrast_z,real_abs_median_direction_contrast_z,direction_contrast_sign_consistency,null_abs_median_direction_contrast_z,real_minus_null_abs_direction_contrast_z,p_null_abs_direction_ge_real,direction_survives_gate
knn_resid_alignment_observed,observed_pair,19,1471,-0.11445286955792974,0.018742984981907268,-0.09928235412691742,0.09928235412691742,0.631578947368421,0.0637994583879084,0.03548289573900902,0.2981366459627329,False
knn_resid_radial_cov_expected,one_fish_conditional_baseline,19,1471,-0.046994266785715444,0.14159789893016622,-0.05803104380328357,0.05803104380328357,0.631578947368421,0.05491593853810914,0.003115105265174431,0.4720496894409938,False
knn_resid_speed_cov_expected,one_fish_conditional_baseline,19,1471,-0.046994266785716055,0.14159789893016592,-0.0580310438032835,0.0580310438032835,0.631578947368421,0.054915938538109346,0.0031151052651741534,0.4720496894409938,False
knn_resid_tangential_cov_expected,one_fish_conditional_baseline,19,1471,-0.04699426678571611,0.1415978989301669,-0.05803104380328132,0.05803104380328132,0.631578947368421,0.05491593853810989,0.0031151052651714334,0.4720496894409938,False
knn_resid_radial_cov_cumulant,empirical_cumulant,19,1471,-0.0395519654094488,-0.08582146091887986,0.042947909390992994,0.042947909390992994,0.5789473684210527,0.0653172464412867,-0.022369337050293703,0.639751552795031,False
knn_resid_tangential_cov_observed,observed_pair,19,1471,0.033990849881899474,-0.0026110552389051467,-0.035053134398147376,0.035053134398147376,0.5263157894736842,0.058444800969561235,-0.02339166657141386,0.6832298136645962,False
knn_resid_speed_cov_cumulant,empirical_cumulant,19,1471,0.06756057021374955,0.07854281500160427,0.026957194664973316,0.026957194664973316,0.5263157894736842,0.05699499125345865,-0.030037796588485335,0.7204968944099379,False
knn_resid_radial_cov_observed,observed_pair,19,1471,-0.05541697408187527,-0.05413569947730423,0.026505842473742325,0.026505842473742325,0.5263157894736842,0.057680066948204656,-0.03117422447446233,0.782608695652174,False
knn_resid_alignment_expected,one_fish_conditional_baseline,19,1471,-0.1405787474368116,-0.0070205040736003865,0.007546967017591721,0.007546967017591721,0.5263157894736842,0.056135251147515317,-0.048588284129923595,0.937888198757764,False
knn_resid_speed_cov_observed,observed_pair,19,1471,0.042286604032933925,0.11779331836519885,-0.006387840866708866,0.006387840866708866,0.5789473684210527,0.056475080946646966,-0.0500872400799381,0.9254658385093167,False
knn_resid_alignment_cumulant,empirical_cumulant,19,1471,-0.0375778610521393,0.0175012979179493,-0.004780536232435545,0.004780536232435545,0.5789473684210527,0.059365859687990546,-0.054585323455555,0.9503105590062112,False
knn_resid_tangential_cov_cumulant,empirical_cumulant,19,1471,0.02454009589621141,-0.02148409529428963,-0.004496807128386182,0.004496807128386182,0.5263157894736842,0.06084455945312239,-0.05634775232473621,0.9751552795031055,False
