variable,family,n_ob,n_events,real_median_low_to_high_delta_z,real_median_high_to_low_delta_z,real_median_direction_contrast_z,real_abs_median_direction_contrast_z,real_direction_contrast_sign_consistency
knn_resid_alignment_observed,observed_pair,19,1471,-0.11445286955792974,0.018742984981907268,-0.09928235412691742,0.09928235412691742,0.631578947368421
knn_resid_radial_cov_expected,one_fish_conditional_baseline,19,1471,-0.046994266785715444,0.14159789893016622,-0.05803104380328357,0.05803104380328357,0.631578947368421
knn_resid_speed_cov_expected,one_fish_conditional_baseline,19,1471,-0.046994266785716055,0.14159789893016592,-0.0580310438032835,0.0580310438032835,0.631578947368421
knn_resid_tangential_cov_expected,one_fish_conditional_baseline,19,1471,-0.04699426678571611,0.1415978989301669,-0.05803104380328132,0.05803104380328132,0.631578947368421
knn_resid_radial_cov_cumulant,empirical_cumulant,19,1471,-0.0395519654094488,-0.08582146091887986,0.042947909390992994,0.042947909390992994,0.5789473684210527
knn_resid_tangential_cov_observed,observed_pair,19,1471,0.033990849881899474,-0.0026110552389051467,-0.035053134398147376,0.035053134398147376,0.5263157894736842
knn_resid_speed_cov_cumulant,empirical_cumulant,19,1471,0.06756057021374955,0.07854281500160427,0.026957194664973316,0.026957194664973316,0.5263157894736842
knn_resid_radial_cov_observed,observed_pair,19,1471,-0.05541697408187527,-0.05413569947730423,0.026505842473742325,0.026505842473742325,0.5263157894736842
knn_resid_alignment_expected,one_fish_conditional_baseline,19,1471,-0.1405787474368116,-0.0070205040736003865,0.007546967017591721,0.007546967017591721,0.5263157894736842
knn_resid_speed_cov_observed,observed_pair,19,1471,0.042286604032933925,0.11779331836519885,-0.006387840866708866,0.006387840866708866,0.5789473684210527
knn_resid_alignment_cumulant,empirical_cumulant,19,1471,-0.0375778610521393,0.0175012979179493,-0.004780536232435545,0.004780536232435545,0.5789473684210527
knn_resid_tangential_cov_cumulant,empirical_cumulant,19,1471,0.02454009589621141,-0.02148409529428963,-0.004496807128386182,0.004496807128386182,0.5263157894736842
