variable,family,n_ob,n_events,null_median_low_to_high_delta_z,null_median_high_to_low_delta_z,null_median_direction_contrast_z,null_abs_median_direction_contrast_z,null_direction_contrast_sign_consistency,replicate
knn_resid_speed_cov_observed,observed_pair,19,1470,-0.04200419427635593,-0.02491138280253047,0.1627125881765019,0.1627125881765019,0.5263157894736842,1
knn_resid_radial_cov_observed,observed_pair,19,1470,0.12687025992257384,0.03182465034760715,0.15603216489202776,0.15603216489202776,0.6842105263157895,1
knn_resid_alignment_cumulant,empirical_cumulant,19,1470,0.07846973110508818,-0.0027962671496243006,0.1455932121046647,0.1455932121046647,0.5789473684210527,1
knn_resid_alignment_observed,observed_pair,19,1470,0.03166062690535342,0.008181882398417661,0.12618592294086678,0.12618592294086678,0.7368421052631579,1
knn_resid_radial_cov_cumulant,empirical_cumulant,19,1470,0.058245974523065486,-0.04697656883179774,0.12038971905697113,0.12038971905697113,0.6842105263157895,1
knn_resid_speed_cov_cumulant,empirical_cumulant,19,1470,0.016221754150565343,-0.02338396141144561,0.07815031086758975,0.07815031086758975,0.5263157894736842,1
knn_resid_tangential_cov_observed,observed_pair,19,1470,-0.09806519429249894,-0.01400993733560911,-0.03896345944314965,0.03896345944314965,0.5263157894736842,1
knn_resid_tangential_cov_expected,one_fish_conditional_baseline,19,1470,-0.0452533913983728,-0.001259635216948371,-0.035842754511327804,0.035842754511327804,0.631578947368421,1
knn_resid_radial_cov_expected,one_fish_conditional_baseline,19,1470,-0.04525339139837312,-0.00125963521694894,-0.035842754511327776,0.035842754511327776,0.631578947368421,1
knn_resid_speed_cov_expected,one_fish_conditional_baseline,19,1470,-0.04525339139837329,-0.0012596352169491343,-0.035842754511324904,0.035842754511324904,0.631578947368421,1
knn_resid_tangential_cov_cumulant,empirical_cumulant,19,1470,-0.05850230542031615,0.027939820000521948,-0.03285171137543752,0.03285171137543752,0.5263157894736842,1
knn_resid_alignment_expected,one_fish_conditional_baseline,19,1470,0.01673625647843499,0.03984632303443397,-0.026701235691273834,0.026701235691273834,0.5789473684210527,1
knn_resid_alignment_expected,one_fish_conditional_baseline,19,1471,-0.09509382930417654,0.0439743408370567,-0.10112001733489008,0.10112001733489008,0.6842105263157895,2
knn_resid_speed_cov_cumulant,empirical_cumulant,19,1471,-0.03220963287288092,0.015335594812020126,-0.057637696996471616,0.057637696996471616,0.5789473684210527,2
knn_resid_speed_cov_observed,observed_pair,19,1471,-0.01064462437444448,0.013032186864528394,-0.037798712890790204,0.037798712890790204,0.5789473684210527,2
knn_resid_radial_cov_cumulant,empirical_cumulant,19,1471,0.00466968886796406,0.05999119694288049,0.028219939078272804,0.028219939078272804,0.5263157894736842,2
knn_resid_alignment_observed,observed_pair,19,1471,-0.02131459628051409,-0.02990473210902761,0.022439232891634173,0.022439232891634173,0.5263157894736842,2
knn_resid_tangential_cov_cumulant,empirical_cumulant,19,1471,0.0585924584146459,0.040456556361974844,0.016438346701504153,0.016438346701504153,0.5263157894736842,2
knn_resid_tangential_cov_observed,observed_pair,19,1471,0.05221435134918495,0.034366164186071746,0.013681299142900977,0.013681299142900977,0.5789473684210527,2
knn_resid_alignment_cumulant,empirical_cumulant,19,1471,-0.007590993818775968,0.002487763422718947,0.010639897752454497,0.010639897752454497,0.5263157894736842,2
knn_resid_radial_cov_expected,one_fish_conditional_baseline,19,1471,0.08346455268755415,0.027628370006488743,0.010435587523186657,0.010435587523186657,0.5263157894736842,2
knn_resid_speed_cov_expected,one_fish_conditional_baseline,19,1471,0.08346455268755526,0.027628370006488694,0.010435587523186296,0.010435587523186296,0.5263157894736842,2
knn_resid_tangential_cov_expected,one_fish_conditional_baseline,19,1471,0.0834645526875546,0.027628370006488642,0.010435587523185907,0.010435587523185907,0.5263157894736842,2
knn_resid_radial_cov_observed,observed_pair,19,1471,-0.036585726661524126,0.013477134820929937,-0.001738780196288106,0.001738780196288106,0.5263157894736842,2
knn_resid_alignment_cumulant,empirical_cumulant,19,1469,-0.035240451595490524,0.11827509342057435,-0.11000327696073003,0.11000327696073003,0.631578947368421,3
knn_resid_radial_cov_observed,observed_pair,19,1469,-0.10389056736624822,-0.013122292975336958,-0.07327545356801601,0.07327545356801601,0.631578947368421,3
knn_resid_radial_cov_cumulant,empirical_cumulant,19,1469,-0.09257840682403083,-0.017870667231732917,-0.018734781056791758,0.018734781056791758,0.5789473684210527,3
knn_resid_speed_cov_observed,observed_pair,19,1469,-0.00937103181041088,0.01040027221932363,0.012231217922081816,0.012231217922081816,0.5263157894736842,3
knn_resid_radial_cov_expected,one_fish_conditional_baseline,19,1469,0.027824795843539134,-0.0505426355198558,0.0119141433597508,0.0119141433597508,0.631578947368421,3
knn_resid_tangential_cov_expected,one_fish_conditional_baseline,19,1469,0.027824795843538593,-0.05054263551985497,0.011914143359750218,0.011914143359750218,0.631578947368421,3
knn_resid_speed_cov_expected,one_fish_conditional_baseline,19,1469,0.0278247958435393,-0.050542635519855814,0.01191414335974858,0.01191414335974858,0.631578947368421,3
knn_resid_tangential_cov_cumulant,empirical_cumulant,19,1469,-0.025061644747322545,-0.0430107535237506,-0.00937744850518285,0.00937744850518285,0.5263157894736842,3
knn_resid_speed_cov_cumulant,empirical_cumulant,19,1469,-0.015169181833160128,0.03359839557049482,-0.009018169508904939,0.009018169508904939,0.5263157894736842,3
knn_resid_alignment_expected,one_fish_conditional_baseline,19,1469,0.041627816028195805,-0.007498441045977418,-0.008375322236474789,0.008375322236474789,0.5263157894736842,3
knn_resid_alignment_observed,observed_pair,19,1469,0.0009260388570863642,0.13117946544328646,-0.00685780063977437,0.00685780063977437,0.5263157894736842,3
knn_resid_tangential_cov_observed,observed_pair,19,1469,-0.017247014817390993,-0.057353314612378026,-0.0004272130783886108,0.0004272130783886108,0.5263157894736842,3
knn_resid_radial_cov_observed,observed_pair,19,1471,-0.0423188546001918,0.02051760012440562,-0.10224087739229804,0.10224087739229804,0.5789473684210527,4
knn_resid_tangential_cov_cumulant,empirical_cumulant,19,1471,0.04894618683972362,-0.00043387358527979814,0.08704654407067001,0.08704654407067001,0.5789473684210527,4
knn_resid_radial_cov_cumulant,empirical_cumulant,19,1471,-0.057766466255045786,0.03507071123669914,-0.08460546872995138,0.08460546872995138,0.5789473684210527,4
knn_resid_speed_cov_expected,one_fish_conditional_baseline,19,1471,0.06287110522001493,-0.08707659014387231,0.07568151037734955,0.07568151037734955,0.631578947368421,4
