variable,family,relative_time_sec,median_aligned_resid_z,q25_aligned_resid_z,q75_aligned_resid_z,n_events
top_tangential_radius_mean_z,high_residual_fish_location,-0.5,0.11748667020315152,-0.6415686630651274,0.6953984374608493,28
top_tangential_radius_mean_z,high_residual_fish_location,-0.45,0.34411145852541536,-0.6242550931921836,1.1328900409699643,28
top_tangential_radius_mean_z,high_residual_fish_location,-0.4,-0.0742590587021871,-0.6729800063938769,0.7420297357019259,28
top_tangential_radius_mean_z,high_residual_fish_location,-0.35,-0.10095749381364244,-0.7178530989656926,0.3650453966341376,28
top_tangential_radius_mean_z,high_residual_fish_location,-0.3,-0.05204862343525647,-0.653043943441646,0.4527280108481746,28
top_tangential_radius_mean_z,high_residual_fish_location,-0.25,-0.10580042974092738,-0.8784843736949206,0.6297420897283497,28
top_tangential_radius_mean_z,high_residual_fish_location,-0.2,-0.07771974667139211,-0.7883217456418516,0.6028111613181881,28
top_tangential_radius_mean_z,high_residual_fish_location,-0.15,0.34412711465960966,-0.8845809205130539,0.8978011461371308,28
top_tangential_radius_mean_z,high_residual_fish_location,-0.1,0.11551062752702854,-0.6491670029652123,0.49586064030984084,28
top_tangential_radius_mean_z,high_residual_fish_location,-0.05,0.20132498044972175,-0.49892795827519976,0.7160518599009511,28
top_tangential_radius_mean_z,high_residual_fish_location,-0.0,0.022297900097680467,-0.34760970415369274,0.5313109365519161,28
top_tangential_radius_mean_z,high_residual_fish_location,0.05,-0.46727835766878373,-0.7864082579937173,0.4813763106986209,28
top_tangential_radius_mean_z,high_residual_fish_location,0.1,-0.2729799211903512,-1.2704460900285701,0.5722448144210499,28
top_tangential_radius_mean_z,high_residual_fish_location,0.15,-0.33533937736006114,-0.895708378809537,0.5541485434800966,28
top_tangential_radius_mean_z,high_residual_fish_location,0.2,-0.3669734376111409,-0.7212034014187269,0.4650203681746531,28
top_tangential_radius_mean_z,high_residual_fish_location,0.25,-0.26091393644206806,-0.7526341665667113,0.7138567416278244,28
top_tangential_radius_mean_z,high_residual_fish_location,0.3,-0.2895435476029458,-0.7262598752953385,0.3784125776877347,28
top_tangential_radius_mean_z,high_residual_fish_location,0.35,0.09441311975900182,-0.8340276751100617,0.4790252712540789,28
top_tangential_radius_mean_z,high_residual_fish_location,0.4,0.028908857653991,-0.5813631243921535,0.645384172109865,28
top_tangential_radius_mean_z,high_residual_fish_location,0.45,0.31635755106550867,-0.24831607042258036,0.8130827669470877,28
top_tangential_radius_mean_z,high_residual_fish_location,0.5,0.29673490669909636,-0.4304101642838841,1.0162143254787632,28
edge_minus_core_radial_abs_q75,shell_radial_state,-0.5,0.18304471454820828,-0.9857752679866927,0.8727012052043205,28
edge_minus_core_radial_abs_q75,shell_radial_state,-0.45,-0.09973904002003536,-0.5917168580296455,0.5735561018434964,28
edge_minus_core_radial_abs_q75,shell_radial_state,-0.4,0.2153810932351738,-0.42460896721846153,0.6630314996252346,28
edge_minus_core_radial_abs_q75,shell_radial_state,-0.35,-0.1386149622228785,-1.0753388937450807,0.7306417883687012,28
edge_minus_core_radial_abs_q75,shell_radial_state,-0.3,-0.090020153092674,-0.572032392008187,0.372115535366959,28
edge_minus_core_radial_abs_q75,shell_radial_state,-0.25,-0.05020593660256249,-0.6291841663013923,0.7213303543596832,28
edge_minus_core_radial_abs_q75,shell_radial_state,-0.2,0.08828532107185377,-0.9105686111533093,0.42204658848757426,28
edge_minus_core_radial_abs_q75,shell_radial_state,-0.15,-0.4318825591630201,-0.8818189683390598,0.18623973032787447,28
edge_minus_core_radial_abs_q75,shell_radial_state,-0.1,-0.24766268064798902,-0.9876935045407369,0.20288512900311248,28
edge_minus_core_radial_abs_q75,shell_radial_state,-0.05,-0.009076706739734923,-0.7489828533219687,0.583055954561374,28
edge_minus_core_radial_abs_q75,shell_radial_state,-0.0,0.19707813960603077,-0.14942327730111804,0.6237084433362946,28
edge_minus_core_radial_abs_q75,shell_radial_state,0.05,0.04901836275467455,-0.5474057888948675,1.050977271923735,28
edge_minus_core_radial_abs_q75,shell_radial_state,0.1,0.34658094119919997,-0.43935108797591443,0.8904134625108892,28
edge_minus_core_radial_abs_q75,shell_radial_state,0.15,0.24819752933335323,-0.4124086140651245,0.7799065484466983,28
edge_minus_core_radial_abs_q75,shell_radial_state,0.2,0.3162155248040929,-0.2418726279848309,1.0020809762420413,28
edge_minus_core_radial_abs_q75,shell_radial_state,0.25,0.3703231779226968,-0.1923997183017007,1.0116510809731973,28
edge_minus_core_radial_abs_q75,shell_radial_state,0.3,-0.08848273509798144,-0.556253938979946,0.6266979374711124,28
