variable,family,n_ob,n_events,real_median_low_to_high_delta_z,real_median_high_to_low_delta_z,real_median_direction_contrast_z,real_abs_median_direction_contrast_z,real_median_oriented_delta_z,real_oriented_positive_fraction,null_abs_median_direction_contrast_z,real_minus_null_abs_direction_contrast_z,p_null_abs_direction_ge_real,pilot_survives_gate
top_tangential_radius_mean_z,high_residual_fish_location,1,28,-0.32476561663100306,0.7191956805007012,-1.0439612971317043,1.0439612971317043,-0.4722037782246874,0.35714285714285715,0.2328687758397546,0.8110925212919496,0.06153846153846154,False
edge_minus_core_radial_abs_q75,shell_radial_state,1,28,0.2744541864401157,-0.6226799858173111,0.8971341722574269,0.8971341722574269,0.3918986890577537,0.6785714285714286,0.24410788607557898,0.6530262861818479,0.046153846153846156,True
edge_minus_core_speed_q75,shell_residual_speed,1,28,0.474062117140919,-0.40786918431142494,0.881931301452344,0.881931301452344,0.40786918431142494,0.5714285714285714,0.31776815151478266,0.5641631499375613,0.07692307692307693,True
edge_minus_core_radial_abs_mean,shell_radial_state,1,28,0.18726572513809148,-0.48707215294120065,0.6743378780792921,0.6743378780792921,0.34215505626955867,0.5357142857142857,0.29532089053882793,0.3790169875404642,0.2153846153846154,False
edge_high_speed_fraction_minus_core,high_residual_fish_location,1,28,0.3936716278673064,-0.2642748338817951,0.6579464617491015,0.6579464617491015,0.3365742540485763,0.6071428571428571,0.30255142907584964,0.3553950326732519,0.15384615384615385,False
top_speed_radius_mean_z,high_residual_fish_location,1,28,-0.1590777434868093,0.4572769448984501,-0.6163546883852594,0.6163546883852594,-0.2653248053167555,0.39285714285714285,0.2924631137448935,0.32389157464036594,0.2,False
edge_minus_core_speed_mean,shell_residual_speed,1,28,0.16654242615715464,-0.4333635682598805,0.5999059944170351,0.5999059944170351,0.37214789936358783,0.5714285714285714,0.30021846701700583,0.29968752740002924,0.24615384615384617,False
core_energy_share,residual_energy_distribution,1,28,-0.2957003606842863,0.22411473854370628,-0.5198150992279926,0.5198150992279926,-0.22411473854370628,0.39285714285714285,0.3123067232760678,0.20750837595192484,0.3230769230769231,False
resid_energy_shell_entropy,residual_state_concentration,1,28,0.011033906532307167,-0.26826692224840687,0.27930082878071405,0.27930082878071405,0.23944656247019389,0.5714285714285714,0.21970099565887022,0.05959983312184383,0.4,False
edge_minus_core_energy_share,residual_energy_distribution,1,28,0.07164683966269177,-0.25607655996790174,0.3277233996305935,0.3277233996305935,0.24091171644682366,0.6071428571428571,0.3585937594475519,-0.030870359816958404,0.5538461538461539,False
edge_energy_share,residual_energy_distribution,1,28,-0.11589797213787072,-0.3235374168001183,0.2076394446622476,0.2076394446622476,0.1012398303510132,0.5357142857142857,0.345479600158525,-0.13784015549627743,0.7538461538461538,False
edge_minus_core_radial_signed_mean,shell_radial_state,1,28,0.2676298659786759,0.454724872122044,-0.1870950061433681,0.1870950061433681,-0.28060753004547767,0.39285714285714285,0.35916337612468807,-0.17206836998131997,0.7538461538461538,False
edge_minus_core_tangential_mean,shell_tangential_state,1,28,-0.14608748908471275,0.01440468609458602,-0.16049217517929876,0.16049217517929876,-0.01440468609458602,0.5,0.38120865384114955,-0.2207164786618508,0.7538461538461538,False
resid_speed_gini,residual_state_concentration,1,28,0.22876361515096935,0.1267495529657681,0.10201406218520126,0.10201406218520126,0.012395701409486532,0.5357142857142857,0.33352734071387946,-0.2315132785286782,0.8307692307692308,False
edge_minus_core_tangential_q75,shell_tangential_state,1,28,0.13280514055399367,0.14362474570408487,-0.0108196051500912,0.0108196051500912,-0.006993952890843008,0.5,0.3065779756500947,-0.29575837050000353,0.9692307692307692,False
