variable,family,n_ob,n_events,real_median_low_to_high_delta_z,real_median_high_to_low_delta_z,real_median_direction_contrast_z,real_abs_median_direction_contrast_z,real_median_oriented_delta_z,real_oriented_positive_fraction
top_tangential_radius_mean_z,high_residual_fish_location,1,28,-0.32476561663100306,0.7191956805007012,-1.0439612971317043,1.0439612971317043,-0.4722037782246874,0.35714285714285715
edge_minus_core_radial_abs_q75,shell_radial_state,1,28,0.2744541864401157,-0.6226799858173111,0.8971341722574269,0.8971341722574269,0.3918986890577537,0.6785714285714286
edge_minus_core_speed_q75,shell_residual_speed,1,28,0.474062117140919,-0.40786918431142494,0.881931301452344,0.881931301452344,0.40786918431142494,0.5714285714285714
edge_minus_core_radial_abs_mean,shell_radial_state,1,28,0.18726572513809148,-0.48707215294120065,0.6743378780792921,0.6743378780792921,0.34215505626955867,0.5357142857142857
edge_high_speed_fraction_minus_core,high_residual_fish_location,1,28,0.3936716278673064,-0.2642748338817951,0.6579464617491015,0.6579464617491015,0.3365742540485763,0.6071428571428571
top_speed_radius_mean_z,high_residual_fish_location,1,28,-0.1590777434868093,0.4572769448984501,-0.6163546883852594,0.6163546883852594,-0.2653248053167555,0.39285714285714285
edge_minus_core_speed_mean,shell_residual_speed,1,28,0.16654242615715464,-0.4333635682598805,0.5999059944170351,0.5999059944170351,0.37214789936358783,0.5714285714285714
core_energy_share,residual_energy_distribution,1,28,-0.2957003606842863,0.22411473854370628,-0.5198150992279926,0.5198150992279926,-0.22411473854370628,0.39285714285714285
edge_minus_core_energy_share,residual_energy_distribution,1,28,0.07164683966269177,-0.25607655996790174,0.3277233996305935,0.3277233996305935,0.24091171644682366,0.6071428571428571
resid_energy_shell_entropy,residual_state_concentration,1,28,0.011033906532307167,-0.26826692224840687,0.27930082878071405,0.27930082878071405,0.23944656247019389,0.5714285714285714
edge_energy_share,residual_energy_distribution,1,28,-0.11589797213787072,-0.3235374168001183,0.2076394446622476,0.2076394446622476,0.1012398303510132,0.5357142857142857
edge_minus_core_radial_signed_mean,shell_radial_state,1,28,0.2676298659786759,0.454724872122044,-0.1870950061433681,0.1870950061433681,-0.28060753004547767,0.39285714285714285
edge_minus_core_tangential_mean,shell_tangential_state,1,28,-0.14608748908471275,0.01440468609458602,-0.16049217517929876,0.16049217517929876,-0.01440468609458602,0.5
resid_speed_gini,residual_state_concentration,1,28,0.22876361515096935,0.1267495529657681,0.10201406218520126,0.10201406218520126,0.012395701409486532,0.5357142857142857
edge_minus_core_tangential_q75,shell_tangential_state,1,28,0.13280514055399367,0.14362474570408487,-0.0108196051500912,0.0108196051500912,-0.006993952890843008,0.5
