variable,family,n_ob,n_events,null_median_low_to_high_delta_z,null_median_high_to_low_delta_z,null_median_direction_contrast_z,null_abs_median_direction_contrast_z,null_median_oriented_delta_z,null_oriented_positive_fraction,replicate
top_tangential_radius_mean_z,high_residual_fish_location,1,28,-0.7381838031984173,0.527368970853006,-1.2655527740514234,1.2655527740514234,-0.5610977081657866,0.35714285714285715,1
edge_energy_share,residual_energy_distribution,1,28,-0.9133618366966683,0.274922902594832,-1.1882847392915004,1.1882847392915004,-0.7047567215051743,0.32142857142857145,1
edge_minus_core_speed_mean,shell_residual_speed,1,28,-0.8050854519399097,-0.0638713000849162,-0.7412141518549935,0.7412141518549935,-0.31583271358355813,0.39285714285714285,1
edge_minus_core_energy_share,residual_energy_distribution,1,28,-0.8092062220474268,-0.0945638054448231,-0.7146424166026036,0.7146424166026036,-0.42951549373831116,0.42857142857142855,1
edge_minus_core_tangential_q75,shell_tangential_state,1,28,-0.5483628973483452,-0.08115039632764903,-0.46721250102069617,0.46721250102069617,-0.22018890957506612,0.42857142857142855,1
edge_minus_core_tangential_mean,shell_tangential_state,1,28,-0.5889262985496129,-0.12364709886992026,-0.4652791996796926,0.4652791996796926,-0.0438399092286993,0.42857142857142855,1
edge_minus_core_radial_abs_q75,shell_radial_state,1,28,0.21891874736319203,-0.23983854566623464,0.4587572930294267,0.4587572930294267,0.22083138697526133,0.6428571428571429,1
edge_high_speed_fraction_minus_core,high_residual_fish_location,1,28,-0.33387054037351477,-0.01958578061425824,-0.3142847597592565,0.3142847597592565,-0.05735252619119685,0.4642857142857143,1
top_speed_radius_mean_z,high_residual_fish_location,1,28,-0.24777665504651766,0.00477583034948198,-0.2525524853959996,0.2525524853959996,-0.1703950901750742,0.42857142857142855,1
core_energy_share,residual_energy_distribution,1,28,0.5895855853442616,0.3463925255457416,0.24319305979852002,0.24319305979852002,0.14077135461141146,0.5357142857142857,1
resid_energy_shell_entropy,residual_state_concentration,1,28,-0.10074237454165724,-0.32695237116053644,0.2262099966188792,0.2262099966188792,0.13998240267559298,0.5714285714285714,1
edge_minus_core_radial_abs_mean,shell_radial_state,1,28,-0.5144951445235333,-0.3071188998805037,-0.20737624464302956,0.20737624464302956,0.15758203271882193,0.5714285714285714,1
resid_speed_gini,residual_state_concentration,1,28,-0.1296874580267976,0.028282437199449104,-0.15796989522624671,0.15796989522624671,-0.028282437199449104,0.5,1
edge_minus_core_radial_signed_mean,shell_radial_state,1,28,0.6039598102488921,0.7249869320304108,-0.12102712178151864,0.12102712178151864,-0.19658102857034193,0.4642857142857143,1
edge_minus_core_speed_q75,shell_residual_speed,1,28,-0.11357185185296392,-0.10166925560269291,-0.011902596250271014,0.011902596250271014,0.03690843016649897,0.5357142857142857,1
edge_minus_core_radial_abs_mean,shell_radial_state,1,28,-0.5739634406371271,0.3197844269557607,-0.8937478675928878,0.8937478675928878,-0.5739634406371271,0.35714285714285715,2
edge_minus_core_speed_q75,shell_residual_speed,1,28,-0.8301896932577375,-0.22827579669087109,-0.6019138965668664,0.6019138965668664,-0.3458481757004343,0.39285714285714285,2
top_tangential_radius_mean_z,high_residual_fish_location,1,28,0.07014086779682827,-0.5284961582418088,0.5986370260386371,0.5986370260386371,0.4416028090624144,0.6428571428571429,2
edge_minus_core_speed_mean,shell_residual_speed,1,28,-0.566886276065928,-0.009215863320057985,-0.55767041274587,0.55767041274587,-0.3626572230923495,0.35714285714285715,2
edge_high_speed_fraction_minus_core,high_residual_fish_location,1,28,-0.763752912629973,-0.2070769226819581,-0.5566759899480149,0.5566759899480149,-0.47893285191500057,0.39285714285714285,2
top_speed_radius_mean_z,high_residual_fish_location,1,28,-0.5779476895227837,-0.1032438916309078,-0.47470379789187594,0.47470379789187594,-0.29112114277480927,0.42857142857142855,2
edge_minus_core_radial_abs_q75,shell_radial_state,1,28,-0.3194213155033081,0.07198171733200928,-0.3914030328353174,0.3914030328353174,-0.19158049157000812,0.35714285714285715,2
core_energy_share,residual_energy_distribution,1,28,0.48809329679224095,0.12892508505116315,0.3591682117410778,0.3591682117410778,0.20942062942719675,0.5714285714285714,2
edge_minus_core_energy_share,residual_energy_distribution,1,28,-0.3148649376155134,0.03770916585495561,-0.35257410347046897,0.35257410347046897,-0.14131738539481697,0.35714285714285715,2
edge_energy_share,residual_energy_distribution,1,28,-0.37545994806691907,-0.09940834470825263,-0.2760516033586664,0.2760516033586664,-0.13413169728187588,0.42857142857142855,2
resid_speed_gini,residual_state_concentration,1,28,0.10913231832467524,-0.13561922241284957,0.2447515407375248,0.2447515407375248,0.13561922241284957,0.5714285714285714,2
edge_minus_core_tangential_q75,shell_tangential_state,1,28,-0.4366102959144149,-0.26441769950254074,-0.17219259641187418,0.17219259641187418,-0.05869271505437523,0.39285714285714285,2
edge_minus_core_tangential_mean,shell_tangential_state,1,28,-0.2742714164783991,-0.10706994124874983,-0.16720147522964926,0.16720147522964926,-0.10146285753106388,0.42857142857142855,2
edge_minus_core_radial_signed_mean,shell_radial_state,1,28,0.19347455854174261,0.32501994488055963,-0.13154538633881702,0.13154538633881702,-0.09370345313516933,0.5,2
resid_energy_shell_entropy,residual_state_concentration,1,28,0.009927636054256513,0.0942189106324993,-0.08429127457824279,0.08429127457824279,-0.007817024302584526,0.4642857142857143,2
edge_minus_core_radial_abs_q75,shell_radial_state,1,28,0.7856239068028225,0.23926920968003368,0.5463546971227888,0.5463546971227888,0.12285723300991584,0.5357142857142857,3
core_energy_share,residual_energy_distribution,1,28,-0.6641106949358953,-0.12023451006631516,-0.5438761848695801,0.5438761848695801,-0.18074350711210357,0.4642857142857143,3
edge_minus_core_radial_abs_mean,shell_radial_state,1,28,0.42315022702234306,-0.11217575835360852,0.5353259853759516,0.5353259853759516,0.2682788942079504,0.6428571428571429,3
edge_minus_core_radial_signed_mean,shell_radial_state,1,28,0.1493886443186178,-0.3599537169751037,0.5093423612937216,0.5093423612937216,0.3513628118395448,0.6428571428571429,3
edge_high_speed_fraction_minus_core,high_residual_fish_location,1,28,0.4007822895529175,-0.052807931199758185,0.4535902207526757,0.4535902207526757,0.2244250179821707,0.6785714285714286,3
edge_minus_core_speed_q75,shell_residual_speed,1,28,0.27153275396506693,-0.09334446528661555,0.3648772192516825,0.3648772192516825,0.15538426268828043,0.6428571428571429,3
top_tangential_radius_mean_z,high_residual_fish_location,1,28,-0.021013712126687872,0.31642057933482315,-0.33743429146151105,0.33743429146151105,-0.21101558875449125,0.4642857142857143,3
top_speed_radius_mean_z,high_residual_fish_location,1,28,0.30762478459068127,0.021790250433512737,0.28583453415716853,0.28583453415716853,0.12553376321796816,0.5714285714285714,3
edge_minus_core_tangential_q75,shell_tangential_state,1,28,0.3909557980693661,0.16364262965430282,0.22731316841506327,0.22731316841506327,0.19629545927761258,0.6071428571428571,3
edge_energy_share,residual_energy_distribution,1,28,0.4894407882746143,0.2797249422343777,0.20971584604023658,0.20971584604023658,0.10377259937475555,0.5357142857142857,3
edge_minus_core_speed_mean,shell_residual_speed,1,28,0.3216798686719739,0.19992373139790376,0.12175613727407014,0.12175613727407014,0.0471665507092588,0.5357142857142857,3
edge_minus_core_tangential_mean,shell_tangential_state,1,28,0.5027702713954665,0.40209709499224666,0.10067317640321982,0.10067317640321982,0.06653790819532195,0.5357142857142857,3
edge_minus_core_energy_share,residual_energy_distribution,1,28,0.390515797993194,0.3591133726966056,0.03140242529658843,0.03140242529658843,0.08679084520933442,0.5357142857142857,3
resid_energy_shell_entropy,residual_state_concentration,1,28,-0.05883478177594503,-0.04025244334117088,-0.01858233843477415,0.01858233843477415,-0.05883478177594503,0.4642857142857143,3
resid_speed_gini,residual_state_concentration,1,28,0.11491464021159688,0.12643976267847856,-0.011525122466881685,0.011525122466881685,-0.036607441384142056,0.5,3
resid_speed_gini,residual_state_concentration,1,28,-0.3030457192648067,0.5035320991336752,-0.806577818398482,0.806577818398482,-0.3567863610185309,0.32142857142857145,4
core_energy_share,residual_energy_distribution,1,28,-0.3542429634018217,0.3831266981955115,-0.7373696615973332,0.7373696615973332,-0.3831266981955115,0.39285714285714285,4
resid_energy_shell_entropy,residual_state_concentration,1,28,0.2171494075698249,-0.3347734055842235,0.5519228131540485,0.5519228131540485,0.27990480194184114,0.7142857142857143,4
edge_minus_core_tangential_q75,shell_tangential_state,1,28,-0.11127095431092934,0.3847019579321272,-0.4959729122430565,0.4959729122430565,-0.24308430937884468,0.39285714285714285,4
edge_minus_core_radial_signed_mean,shell_radial_state,1,28,-0.007464812528161016,-0.4335734103177498,0.4261085977895888,0.4261085977895888,0.17012709027583167,0.5357142857142857,4
edge_energy_share,residual_energy_distribution,1,28,0.331555905498085,0.7211475924977915,-0.3895916869997065,0.3895916869997065,-0.028612840047230546,0.5,4
edge_minus_core_radial_abs_mean,shell_radial_state,1,28,-0.24975372177487618,-0.005028955499587595,-0.24472476627528858,0.24472476627528858,-0.12208756121397127,0.42857142857142855,4
edge_high_speed_fraction_minus_core,high_residual_fish_location,1,28,-0.22979293815066681,-0.03469043914643605,-0.19510249900423077,0.19510249900423077,-0.13002998924237727,0.4642857142857143,4
edge_minus_core_speed_q75,shell_residual_speed,1,28,-0.37790114789753787,-0.19992712849058603,-0.17797401940695184,0.17797401940695184,0.04260694228049339,0.5357142857142857,4
edge_minus_core_radial_abs_q75,shell_radial_state,1,28,-0.004791133139356413,0.1578269312740991,-0.16261806441345553,0.16261806441345553,-0.08869196232403467,0.42857142857142855,4
edge_minus_core_tangential_mean,shell_tangential_state,1,28,0.41835483994890565,0.5647160200495309,-0.14636118010062527,0.14636118010062527,-0.03431642063231691,0.5,4
edge_minus_core_speed_mean,shell_residual_speed,1,28,0.013790163323955551,0.13116019482863445,-0.1173700315046789,0.1173700315046789,-0.13116019482863445,0.4642857142857143,4
top_speed_radius_mean_z,high_residual_fish_location,1,28,0.03264848573771678,0.09267189925837002,-0.06002341352065324,0.06002341352065324,0.00940321456603005,0.5,4
top_tangential_radius_mean_z,high_residual_fish_location,1,28,0.24599054745647372,0.29595832329640914,-0.04996777583993542,0.04996777583993542,0.08628739901246549,0.5357142857142857,4
edge_minus_core_energy_share,residual_energy_distribution,1,28,0.16350087899931207,0.15119725550067858,0.012303623498633481,0.012303623498633481,-0.08633609152282598,0.42857142857142855,4
edge_minus_core_radial_abs_mean,shell_radial_state,1,28,-0.14123470633360968,0.9152296038080666,-1.0564643101416764,1.0564643101416764,-0.4026572424349537,0.2857142857142857,5
edge_minus_core_radial_abs_q75,shell_radial_state,1,28,-0.23339841820061652,0.5863676865089447,-0.8197661047095612,0.8197661047095612,-0.39429825978033783,0.32142857142857145,5
edge_minus_core_energy_share,residual_energy_distribution,1,28,-0.03980009791754352,0.6531265419835104,-0.6929266399010539,0.6929266399010539,-0.4612008370853454,0.39285714285714285,5
edge_energy_share,residual_energy_distribution,1,28,-0.06822421370385656,0.4542875452763504,-0.522511758980207,0.522511758980207,-0.26051673449622403,0.32142857142857145,5
edge_high_speed_fraction_minus_core,high_residual_fish_location,1,28,0.7135976830614407,0.2077454854165022,0.5058521976449385,0.5058521976449385,0.07951112217071779,0.5357142857142857,5
edge_minus_core_radial_signed_mean,shell_radial_state,1,28,-0.1958274631206078,0.1934845492517152,-0.38931201237232305,0.38931201237232305,-0.1934845492517152,0.35714285714285715,5
edge_minus_core_speed_mean,shell_residual_speed,1,28,0.11645101257988294,0.46379556457541615,-0.3473445519955332,0.3473445519955332,-0.3272909832411509,0.39285714285714285,5
edge_minus_core_speed_q75,shell_residual_speed,1,28,0.38805944894231037,0.0638458484219345,0.32421360052037584,0.32421360052037584,0.055030716103536714,0.5357142857142857,5
top_tangential_radius_mean_z,high_residual_fish_location,1,28,0.22236933750163201,-0.05644452149352165,0.27881385899515365,0.27881385899515365,0.14411714395554953,0.5357142857142857,5
core_energy_share,residual_energy_distribution,1,28,-0.3573616633855747,-0.6329327947056327,0.275571131320058,0.275571131320058,0.5344915251365225,0.6071428571428571,5
top_speed_radius_mean_z,high_residual_fish_location,1,28,0.3630986106804289,0.11176737611373447,0.2513312345666945,0.2513312345666945,-0.023590116674572698,0.5,5
edge_minus_core_tangential_q75,shell_tangential_state,1,28,0.24091889834941002,0.06648801937478371,0.1744308789746263,0.1744308789746263,-0.03816884971057777,0.4642857142857143,5
resid_speed_gini,residual_state_concentration,1,28,-0.02504766669675694,-0.19206160670157912,0.16701394000482217,0.16701394000482217,0.16816837786247352,0.5357142857142857,5
resid_energy_shell_entropy,residual_state_concentration,1,28,0.174036385884235,0.2599370989427141,-0.0859007130584791,0.0859007130584791,-0.1644388602866684,0.4642857142857143,5
edge_minus_core_tangential_mean,shell_tangential_state,1,28,-0.018303599890437963,-0.02215302605435042,0.003849426163912456,0.003849426163912456,0.02215302605435042,0.5,5
resid_speed_gini,residual_state_concentration,1,28,-0.4650279248525505,0.38882169773523834,-0.8538496225877888,0.8538496225877888,-0.4650279248525505,0.42857142857142855,6
edge_high_speed_fraction_minus_core,high_residual_fish_location,1,28,0.1312495011622641,-0.5376916135451147,0.6689411147073788,0.6689411147073788,0.292739854152034,0.6071428571428571,6
edge_minus_core_radial_signed_mean,shell_radial_state,1,28,-0.6124659417207501,-0.03740530730019543,-0.5750606344205547,0.5750606344205547,-0.2281421198342844,0.4642857142857143,6
edge_minus_core_speed_q75,shell_residual_speed,1,28,-0.08241237645336977,-0.6210495051190318,0.538637128665662,0.538637128665662,0.1456907803723621,0.5357142857142857,6
resid_energy_shell_entropy,residual_state_concentration,1,28,-0.0704756082172911,-0.4382490827368435,0.3677734745195524,0.3677734745195524,0.185708258839698,0.5714285714285714,6
edge_minus_core_energy_share,residual_energy_distribution,1,28,0.2738317940277374,-0.09078162139689744,0.3646134154246348,0.3646134154246348,0.17029339987147918,0.5714285714285714,6
edge_minus_core_tangential_mean,shell_tangential_state,1,28,0.018926982325258433,-0.33731588257369804,0.35624286489895646,0.35624286489895646,0.17515257765786751,0.5714285714285714,6
edge_energy_share,residual_energy_distribution,1,28,0.27303609190849903,-0.00749577152449557,0.28053186343299463,0.28053186343299463,0.04463876557282487,0.5357142857142857,6
edge_minus_core_radial_abs_q75,shell_radial_state,1,28,-0.0736160676854401,-0.3486580832494487,0.2750420155640086,0.2750420155640086,0.19469451213621308,0.5714285714285714,6
core_energy_share,residual_energy_distribution,1,28,0.0470881008931362,0.3076817701358631,-0.2605936692427269,0.2605936692427269,0.0470881008931362,0.5,6
top_speed_radius_mean_z,high_residual_fish_location,1,28,0.16115768560402755,-0.08592246106143325,0.2470801466654608,0.2470801466654608,0.16115768560402755,0.5714285714285714,6
edge_minus_core_tangential_q75,shell_tangential_state,1,28,-0.14841491646601196,-0.25138948176958914,0.10297456530357718,0.10297456530357718,0.2234960528529098,0.5714285714285714,6
edge_minus_core_radial_abs_mean,shell_radial_state,1,28,-0.22370540127127883,-0.31635352416198714,0.09264812289070831,0.09264812289070831,0.11096906218465027,0.5,6
edge_minus_core_speed_mean,shell_residual_speed,1,28,0.02183387406868323,0.11092217334318336,-0.08908829927450013,0.08908829927450013,-0.015315426015989786,0.5,6
top_tangential_radius_mean_z,high_residual_fish_location,1,28,-0.10229941923246738,-0.09489574027541908,-0.007403678957048299,0.007403678957048299,0.07562414055291161,0.5357142857142857,6
edge_energy_share,residual_energy_distribution,1,28,1.143920193593938,-0.5125979652928805,1.6565181588868185,1.6565181588868185,0.5816662862161996,0.75,7
edge_minus_core_speed_mean,shell_residual_speed,1,28,1.390257109780308,0.15407412028409123,1.2361829894962169,1.2361829894962169,0.47229888491166294,0.5714285714285714,7
edge_high_speed_fraction_minus_core,high_residual_fish_location,1,28,1.0457273729591,0.04214732061980152,1.0035800523392984,1.0035800523392984,0.15680371669848556,0.5357142857142857,7
edge_minus_core_speed_q75,shell_residual_speed,1,28,0.9474932820156039,-0.04065318936060591,0.9881464713762098,0.9881464713762098,0.16191164353993054,0.6428571428571429,7
