n_low_bin_high,n_low_bin_low,n_high_bin_high,n_high_bin_low,p_up_given_resid_high,p_up_given_resid_low,p_down_given_resid_high,p_down_given_resid_low,up_gap,down_gap,dominant_transition,dominant_gap,abs_transition_modulation,min_cell_count,variable,n_frames,lag_sec,lag_steps,residual_bin_median,null_abs_transition_modulation,real_minus_null_abs_transition_modulation,p_null_abs_transition_ge_real,pilot_survives_gate
3846,3628,3639,3857,0.2373894955798232,0.20424476295479604,0.213520197856554,0.22945294270158154,0.03314473262502715,-0.015932744845027547,low_to_high,0.03314473262502715,0.03314473262502715,3628,edge_minus_core_radial_abs_mean,14970,0.2,20,0.00021053041821205,0.020499369946842733,0.012645362678184419,0.2153846153846154,False
3864,3610,3621,3875,0.23550724637681159,0.20609418282548475,0.21900027616680476,0.22425806451612904,0.029413063551326835,-0.005257788349324277,low_to_high,0.029413063551326835,0.029413063551326835,3610,edge_energy_share,14970,0.2,20,-0.00016055676446307142,0.020899693211510445,0.00851337033981639,0.36923076923076925,False
3769,3705,3716,3780,0.20827805784027595,0.23454790823211877,0.2322389666307858,0.21137566137566138,-0.02626985039184282,0.02086330525512442,low_to_high,-0.02626985039184282,0.02626985039184282,3705,resid_energy_shell_entropy,14970,0.2,20,0.00030818161375504997,0.01931560849018303,0.006954241901659788,0.2923076923076923,False
3717,3757,3768,3728,0.20742534301856336,0.23502794783071598,0.2274416135881104,0.21593347639484978,-0.027602604812152626,0.011508137193260631,low_to_high,-0.027602604812152626,0.027602604812152626,3717,edge_minus_core_tangential_mean,14970,0.2,20,-0.00165410818086575,0.024129727400011083,0.0034728774121415423,0.4,False
3751,3723,3734,3762,0.2079445481205012,0.23475691646521624,0.23486877343331547,0.2086656034024455,-0.026812368344715037,0.02620317003086997,low_to_high,-0.026812368344715037,0.026812368344715037,3723,edge_minus_core_tangential_q75,14970,0.2,20,-0.00011431915007595,0.024892537273648305,0.0019198310710667327,0.38461538461538464,False
3772,3702,3713,3783,0.21129374337221632,0.23149648838465695,0.22677080527875035,0.2167591858313508,-0.020202745012440626,0.010011619447399561,low_to_high,-0.020202745012440626,0.020202745012440626,3702,top_tangential_radius_mean_z,14970,0.2,20,-0.0005306659337122,0.022780091219457316,-0.0025773462070166897,0.6153846153846154,False
3869,3605,3616,3880,0.22874127681571466,0.21331484049930652,0.21460176991150443,0.22835051546391752,0.015426436316408138,-0.013748745552413094,low_to_high,0.015426436316408138,0.015426436316408138,3605,edge_minus_core_radial_abs_q75,14970,0.2,20,-0.00038576463198825,0.01802117464405882,-0.0025947383276506836,0.6461538461538462,False
3689,3785,3796,3700,0.23014367037137434,0.21268163804491413,0.21496311907270813,0.22864864864864864,0.01746203232646021,-0.01368552957594052,low_to_high,0.01746203232646021,0.01746203232646021,3689,core_energy_share,14970,0.2,20,-0.00029629443709925,0.020982658911582464,-0.003520626585122255,0.6153846153846154,False
3804,3670,3681,3815,0.21451104100946372,0.22833787465940056,0.22901385493072535,0.21467889908256882,-0.013826833649936837,0.014334955848156528,high_to_low,0.014334955848156528,0.014334955848156528,3670,resid_speed_gini,14970,0.2,20,0.0,0.025239112344708353,-0.010904156496551826,0.8461538461538461,False
3725,3749,3760,3736,0.22496644295302012,0.21765804214457188,0.22313829787234044,0.22028907922912205,0.0073084008084482455,0.002849218643218382,low_to_high,0.0073084008084482455,0.0073084008084482455,3725,edge_high_speed_fraction_minus_core,14970,0.2,20,0.0,0.019093694291686072,-0.011785293483237827,0.9230769230769231,False
3793,3681,3692,3804,0.2264698128130767,0.21597392013039934,0.21587215601300108,0.22739221871713985,0.010495892682677366,-0.011520062704138773,high_to_low,-0.011520062704138773,0.011520062704138773,3681,top_speed_radius_mean_z,14970,0.2,20,0.00033083535803645,0.023347345915136028,-0.011827283210997255,0.8153846153846154,False
3774,3700,3711,3785,0.22257551669316375,0.22,0.2260846133117758,0.21743725231175692,0.0025755166931637485,0.008647361000018866,high_to_low,0.008647361000018866,0.008647361000018866,3700,edge_minus_core_speed_q75,14970,0.2,20,0.0001591941025598,0.021872569551994278,-0.013225208551975412,0.9076923076923077,False
3824,3650,3661,3835,0.2170502092050209,0.22575342465753426,0.22343621961212784,0.2200782268578879,-0.008703215452513346,0.0033579927542399524,low_to_high,-0.008703215452513346,0.008703215452513346,3650,edge_minus_core_speed_mean,14970,0.2,20,-0.0005568364884595001,0.022349436774070197,-0.01364622132155685,0.9076923076923077,False
3786,3688,3699,3797,0.22398309561542526,0.2185466377440347,0.22681805893484724,0.2167500658414538,0.005436457871390549,0.010067993093393457,high_to_low,0.010067993093393457,0.010067993093393457,3688,edge_minus_core_radial_signed_mean,14970,0.2,20,-0.00066850645276285,0.027915764802968965,-0.017847771709575508,0.9538461538461539,False
3819,3655,3666,3830,0.22152395915161036,0.2210670314637483,0.22176759410801963,0.2216710182767624,0.0004569276878620687,9.657583125724511e-05,low_to_high,0.0004569276878620687,0.0004569276878620687,3655,edge_minus_core_energy_share,14970,0.2,20,0.0,0.020987759788468077,-0.02053083210060601,1.0,False
