ob,variable,taxonomy_class,family,n_events,real_low_to_high_delta_z,real_high_to_low_delta_z,real_direction_contrast_z,real_abs_direction_contrast_z,null_abs_median_direction_contrast_z,real_minus_null_abs_direction_contrast_z,p_null_abs_direction_ge_real,effect_gt_null
1,resid_velocity_cov_trace,V_covariance_anisotropy,residual_intensity,28,-0.4773297300110923,0.5382489637056932,-1.0155786937167854,1.0155786937167854,0.37293088802316726,0.6426478056936182,0.05,True
1,resid_speed_rms,I_magnitude_energy,residual_intensity,28,-0.46870047419774674,0.5021642271553175,-0.9708647013530642,0.9708647013530642,0.37447185839893105,0.5963928429541332,0.0625,True
1,resid_tangential_speed_mean,III_tangential,tangential_swirl,28,-0.6984287975691686,0.012535624188096256,-0.7109644217572649,0.7109644217572649,0.40691847451658647,0.30404594724067846,0.2,True
1,resid_radial_abs_mean,II_radial,radial,28,0.41839820488720164,0.1648632910316407,0.25353491385556093,0.25353491385556093,0.3292574139362386,-0.07572250008067766,0.6,False
1,edge_minus_core_resid_speed,VII_core_edge_contrast,edge_core,28,0.12827367986056884,-0.4590540134281678,0.5873276932887367,0.5873276932887367,0.44984574386402143,0.13748194942471526,0.3,True
1,edge_minus_core_resid_tangential,VII_core_edge_contrast,edge_core,28,-0.09635100273800479,-0.04157307842312328,-0.05477792431488151,0.05477792431488151,0.32909551963160394,-0.27431759531672245,0.925,False
2,resid_velocity_cov_trace,V_covariance_anisotropy,residual_intensity,43,0.14819367708623074,-0.19310472552812286,0.3412984026143536,0.3412984026143536,0.32735423143427167,0.013944171180081955,0.45,True
2,resid_speed_rms,I_magnitude_energy,residual_intensity,43,0.14765547790313296,-0.19578782682404477,0.34344330472717777,0.34344330472717777,0.3101100493057697,0.03333325542140808,0.4625,True
2,resid_tangential_speed_mean,III_tangential,tangential_swirl,43,0.22050698198816054,-0.39294341270107935,0.6134503946892399,0.6134503946892399,0.24192914773850283,0.37152124695073707,0.1875,True
2,resid_radial_abs_mean,II_radial,radial,43,0.0013200957664883939,-0.08377231198839503,0.08509240775488343,0.08509240775488343,0.2758342491406447,-0.19074184138576128,0.8625,False
2,edge_minus_core_resid_speed,VII_core_edge_contrast,edge_core,43,0.34918925000223056,0.05148270837524657,0.29770654162698396,0.29770654162698396,0.3065487813701749,-0.008842239743190927,0.525,False
2,edge_minus_core_resid_tangential,VII_core_edge_contrast,edge_core,43,0.47272952930466594,-0.0892197542015116,0.5619492835061776,0.5619492835061776,0.3169115186491791,0.24503776485699846,0.1875,True
3,resid_velocity_cov_trace,V_covariance_anisotropy,residual_intensity,40,0.3869898869985929,0.17487240416706917,0.2121174828315237,0.2121174828315237,0.3135034009716732,-0.10138591814014947,0.625,False
3,resid_speed_rms,I_magnitude_energy,residual_intensity,40,0.40266032626418213,0.13356261361461497,0.26909771264956717,0.26909771264956717,0.2884463519992428,-0.019348639349675623,0.5125,False
3,resid_tangential_speed_mean,III_tangential,tangential_swirl,40,0.2471295316937736,-0.05313639961138428,0.3002659313051579,0.3002659313051579,0.2709881205975882,0.029277810707569685,0.45,True
3,resid_radial_abs_mean,II_radial,radial,40,0.36377966636831166,0.5269755377433005,-0.16319587137498887,0.16319587137498887,0.3178065353235226,-0.15461066394853373,0.75,False
3,edge_minus_core_resid_speed,VII_core_edge_contrast,edge_core,40,-0.2957012881642255,-0.08422051632479544,-0.21148077183943004,0.21148077183943004,0.23971508843577727,-0.02823431659634723,0.5625,False
3,edge_minus_core_resid_tangential,VII_core_edge_contrast,edge_core,40,0.23781516740114972,-0.16576940056348677,0.4035845679646365,0.4035845679646365,0.31785859948025186,0.08572596848438463,0.3125,True
