variable,family,taxonomy_class,role,primary_rank,n_ob,n_events,real_abs_median_direction_contrast_z,direction_contrast_sign_consistency,null_abs_median_direction_contrast_z,real_minus_null_abs_direction_contrast_z,p_null_abs_direction_ge_real,direction_survives_gate,reason
resid_velocity_cov_trace,residual_intensity,V_covariance_anisotropy,primary_target,1,19,1471,0.5790683828287234,0.8947368421052632,0.07020069499664774,0.5088676878320757,0.006211180124223602,True,Strongest affine-residual velocity dispersion/covariance survivor; bridges 4001 velocity_cov_trace and 408x residual-energy tests.
resid_speed_rms,residual_intensity,I_magnitude_energy,primary_target,2,19,1471,0.5521874570287999,0.8947368421052632,0.07343546818460202,0.4787519888441979,0.006211180124223602,True,Direct residual speed magnitude/energy target; interpretable for local-affine residual energy ladders.
resid_tangential_speed_mean,tangential_swirl,III_tangential,primary_target,3,19,1471,0.42423763470043996,0.9473684210526315,0.0682845317568345,0.3559531029436055,0.006211180124223602,True,Strong tangential residual survivor with highest sign consistency among main kinematic metrics.
resid_radial_abs_mean,radial,II_radial,primary_target,4,19,1471,0.25353491385556093,0.7894736842105263,0.05271631023922396,0.20081860361633697,0.018633540372670808,True,Radial residual magnitude survivor; keeps inward/outward geometry distinct from tangential motion.
edge_minus_core_resid_speed,edge_core,VII_core_edge_contrast,primary_target,5,19,1471,0.21931037986054489,0.7368421052631579,0.07512695361948964,0.14418342624105523,0.037267080745341616,True,Primary core-edge residual speed contrast; interpretable spatial redistribution metric.
edge_minus_core_resid_tangential,edge_core,VII_core_edge_contrast,primary_target,6,19,1471,0.20076853076448825,0.7894736842105263,0.07025724242228361,0.13051128834220466,0.049689440993788817,True,Core-edge tangential residual contrast; complements speed contrast without adding a new family.
radius_resid_speed_corr,edge_core,VI_spatial_heterogeneity,secondary_diagnostic,,19,1471,0.265240969900851,0.6842105263157895,0.07061486940463307,0.19462610049621792,0.006211180124223602,False,"Spatial-gradient diagnostic. It has notable effect size but did not satisfy the full survivor gate, so it remains secondary."
resid_inward_fraction,radial,II_radial,secondary_diagnostic,,19,1471,0.08896765499369855,0.5789473684210527,0.05632007774448557,0.03264757724921298,0.3105590062111801,False,Directional radial fraction diagnostic; lower gate support than radial absolute magnitude.
resid_radial_velocity_mean,radial,II_radial,secondary_diagnostic,,19,1471,0.08465227196832814,0.631578947368421,0.06402178172504712,0.02063049024328102,0.36024844720496896,False,Signed radial residual diagnostic; kept secondary because sign can be sensitive to event definition.
radius_resid_tangential_corr,edge_core,VI_spatial_heterogeneity,secondary_diagnostic,,19,1471,0.07725644479727736,0.631578947368421,0.06690937790872287,0.010347066888554496,0.4409937888198758,False,Tangential spatial-gradient diagnostic retained only for sensitivity/context.
resid_tangential_fraction,tangential_swirl,III_tangential,secondary_diagnostic,,19,1471,0.04049912048058646,0.5263157894736842,0.06239160260083792,-0.02189248212025146,0.6645962732919255,False,Tangential direction fraction diagnostic; lower support than tangential speed mean.
resid_polarization,residual_order,IV_directional_alignment,retired_or_negative_control,,19,1471,0.010855626490185004,0.5789473684210527,0.06884547582981448,-0.05798984933962948,0.9130434782608695,False,Residual order/alignment did not survive 4002A; global residual alignment should not drive the next route.
