ob,variable,taxonomy_class,family,is_4071_stable_core,n_events,real_direction_abs_contrast_z,non_event_direction_abs_median_z,direction_real_minus_non_event_z,p_non_event_direction_ge_real,direction_gt_non_event,real_abs_activity_delta_z,non_event_abs_activity_median_z,activity_real_minus_non_event_z,p_non_event_activity_ge_real,activity_gt_non_event
1,resid_velocity_cov_trace,V_covariance_anisotropy,residual_intensity,True,28,1.0155786937167854,0.2771359628189677,0.7384427308978178,0.0,True,0.7282782786688993,0.7365336361582437,-0.008255357489344473,0.5375,False
1,resid_speed_rms,I_magnitude_energy,residual_intensity,True,28,0.9708647013530642,0.27673967216995043,0.6941250291831138,0.0,True,0.7180983149783327,0.7312042689257702,-0.01310595394743752,0.5875,False
1,resid_tangential_speed_mean,III_tangential,tangential_swirl,True,28,0.7109644217572649,0.26334373492492996,0.44762068683233497,0.125,True,0.7759404827510877,0.742456177081052,0.033484305670035686,0.425,True
1,resid_radial_abs_mean,II_radial,radial,False,28,0.25353491385556093,0.273843022211772,-0.020308108356211052,0.525,False,0.7707344081323315,0.738688749848214,0.03204565828411754,0.4125,True
1,edge_minus_core_resid_speed,VII_core_edge_contrast,edge_core,False,28,0.5873276932887367,0.3796977046221003,0.2076299886666364,0.3125,True,1.0591529484915498,0.7504390792709718,0.3087138692205781,0.05,True
1,edge_minus_core_resid_tangential,VII_core_edge_contrast,edge_core,True,28,0.05477792431488151,0.3048964153189775,-0.250118491004096,0.95,False,0.529949733943162,0.7684140019565123,-0.2384642680133503,0.925,False
2,resid_velocity_cov_trace,V_covariance_anisotropy,residual_intensity,True,43,0.3412984026143536,0.2717546179749091,0.06954378463944455,0.4375,True,0.9295807101158056,0.7135542104527242,0.2160264996630814,0.025,True
2,resid_speed_rms,I_magnitude_energy,residual_intensity,True,43,0.34344330472717777,0.2780939420662337,0.06534936266094404,0.4125,True,0.9364322942592804,0.7310883262941426,0.20534396796513787,0.025,True
2,resid_tangential_speed_mean,III_tangential,tangential_swirl,True,43,0.6134503946892399,0.2705523188721093,0.3428980758171306,0.1625,True,0.8307124110897909,0.7456772605988781,0.08503515049091281,0.3625,True
2,resid_radial_abs_mean,II_radial,radial,False,43,0.08509240775488343,0.31571019845763354,-0.23061779070275013,0.8875,False,0.7106702070793404,0.7653307515202128,-0.05466054444087243,0.6875,False
2,edge_minus_core_resid_speed,VII_core_edge_contrast,edge_core,False,43,0.29770654162698396,0.30904333299710723,-0.011336791370123278,0.5125,False,0.5953180197818577,0.7712680342634197,-0.175950014481562,0.95,False
2,edge_minus_core_resid_tangential,VII_core_edge_contrast,edge_core,True,43,0.5619492835061776,0.2997218134349775,0.26222747007120006,0.225,True,0.57517584540988,0.7264657902378556,-0.15128994482797564,0.9625,False
3,resid_velocity_cov_trace,V_covariance_anisotropy,residual_intensity,True,40,0.2121174828315237,0.2779375507914895,-0.06582006795996581,0.6125,False,0.9050365719745381,0.7559329001433026,0.14910367183123552,0.1125,True
3,resid_speed_rms,I_magnitude_energy,residual_intensity,True,40,0.26909771264956717,0.2520453110268681,0.017052401622699054,0.475,True,0.8857263124099939,0.7601797977087446,0.12554651470124933,0.15,True
3,resid_tangential_speed_mean,III_tangential,tangential_swirl,True,40,0.3002659313051579,0.27983067513324666,0.02043525617191122,0.475,True,0.7494746676803619,0.7448090373864056,0.00466563029395628,0.4875,True
3,resid_radial_abs_mean,II_radial,radial,False,40,0.16319587137498887,0.3656073085669612,-0.20241143719197235,0.775,False,0.8833914017814102,0.7539629290782783,0.12942847270313185,0.1375,True
3,edge_minus_core_resid_speed,VII_core_edge_contrast,edge_core,False,40,0.21148077183943004,0.30274670580905644,-0.0912659339696264,0.5625,False,0.9222099385177276,0.7577776530201039,0.16443228549762368,0.1125,True
3,edge_minus_core_resid_tangential,VII_core_edge_contrast,edge_core,True,40,0.4035845679646365,0.36136980666399593,0.04221476130064056,0.45,True,0.8868667243712363,0.7749781353577183,0.11188858901351795,0.225,True
