ob,target_id,role,b3_metric,local_metric,k,lag_sec,n_events,b3_event_direction_abs_z,b3_non_event_direction_abs_median_z,b3_event_minus_non_event_direction_z,local_event_direction_abs_z,local_non_event_direction_abs_median_z,local_event_minus_non_event_direction_z,p_non_event_direction_ge_event,local_to_b3_direction_ratio,event_conditioned_local_gate,geometry_ladder_reading
1,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,8,0.1,28,0.7109644217572649,0.2632595489427267,0.44770487281453825,0.2645630210041784,0.22276058192459508,0.04180243907958331,0.425,0.3721185096017429,False,inconclusive
1,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,8,0.1,28,0.05477792431488151,0.38510233528740845,-0.33032441097252696,0.15495304419411976,0.2021733373104098,-0.04722029311629003,0.75,2.8287498318373427,False,local_nonaffine_not_event_conditioned
1,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,8,0.1,28,0.9708647013530642,0.30085551663590604,0.6700091847171582,0.17860877830544092,0.31354792164354695,-0.13493914333810603,0.7,0.1839687631618694,False,local_affine_largely_absorbs_b3_signal
1,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,8,0.1,28,1.0155786937167854,0.3095474798806668,0.7060312138361187,0.110390064479988,0.30598287501624816,-0.19559281053626015,0.775,0.10869671170038596,False,local_affine_largely_absorbs_b3_signal
1,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,10,0.1,28,0.7109644217572649,0.2632595489427267,0.44770487281453825,0.17358155047954574,0.2531896139131211,-0.07960806343357538,0.575,0.24414941896882902,False,local_affine_largely_absorbs_b3_signal
1,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,10,0.1,28,0.05477792431488151,0.38510233528740845,-0.33032441097252696,0.009987415905955498,0.21029031603100184,-0.20030290012504634,0.95,0.18232556327882285,False,local_affine_largely_absorbs_b3_signal
1,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,10,0.1,28,0.9708647013530642,0.30085551663590604,0.6700091847171582,0.03737925356615579,0.34669145288994746,-0.30931219932379167,0.925,0.038500991450262305,False,local_affine_largely_absorbs_b3_signal
1,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,10,0.1,28,1.0155786937167854,0.3095474798806668,0.7060312138361187,0.08518263932614033,0.3446479484524999,-0.25946530912635957,0.875,0.08387596141308497,False,local_affine_largely_absorbs_b3_signal
2,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,8,0.1,43,0.6134503946892399,0.29366605546977853,0.31978433921946137,0.49352071723111685,0.18614985326603417,0.3073708639650827,0.1,0.8044997957514124,True,local_nonaffine_signal_survives_pilot
2,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,8,0.1,43,0.5619492835061776,0.27027159083038543,0.29167769267579213,0.0068749877502137235,0.18120497241555056,-0.17432998466533683,1.0,0.012234178336020862,False,local_affine_largely_absorbs_b3_signal
2,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,8,0.1,43,0.34344330472717777,0.2470765050995135,0.09636679962766426,0.3741625828858196,0.21862612241200677,0.15553646047381284,0.25,1.0894449760289968,True,local_nonaffine_signal_survives_pilot
2,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,8,0.1,43,0.3412984026143536,0.235202477276945,0.10609592533740864,0.3616219521415486,0.2071668754581644,0.15445507668338418,0.225,1.0595477428886748,True,local_nonaffine_signal_survives_pilot
