ob,dataset,ob_group,n_events,event_rate_per_sec,median_prev_duration_sec,median_next_duration_sec,t1_gate_k_values,t1_median_local_to_b3_ratio,t1_median_local_event_minus_non_event_z,t1_k8_local_event_direction_abs_z,t1_k8_local_non_event_direction_abs_median_z,t1_k10_local_event_direction_abs_z,t1_k10_local_non_event_direction_abs_median_z,t2_gate_count,ob_route_a_class
1,Ob1.txt,not_event_conditioned,28,0.26674287891778603,0.6899999999999853,0.7449999999999841,nan,0.3081339642852859,-0.018902812176996,0.2645630210041784,0.222760581924595,0.1735815504795457,0.2531896139131211,0,t1_not_event_conditioned_after_local_affine
2,Ob2.txt,survive,43,0.3075822603719599,0.5399999999999885,0.6299999999999866,"8,10",0.890504380495587,0.3595533481787678,0.4935207172311168,0.1861498532660341,0.5990398101439129,0.18730397775146,4,t1_local_nonaffine_survives_both_k
3,Ob3.txt,not_event_conditioned,40,0.27314941272876264,0.5599999999999881,0.5499999999999883,nan,0.4611895505491381,-0.1775016418704972,0.1207086288909481,0.3603277713240423,0.1562503909167402,0.2716345322246405,2,t1_not_event_conditioned_after_local_affine
4,Ob4.txt,survive,58,0.4017176894306691,0.564999999999988,0.7099999999999849,10,0.5666515091459132,0.0384929074301147,0.1147288053716282,0.1925726363856453,0.3341233654534401,0.1792937195791936,4,t1_local_nonaffine_survives_one_k
5,Ob5.txt,survive,93,0.6322229775662814,0.7299999999999844,0.6399999999999864,"8,10",0.8399072463582962,0.1828365509568869,0.375322831761817,0.1930015359821522,0.3373176953637895,0.1539658892296805,4,t1_local_nonaffine_survives_both_k
6,Ob6.txt,not_event_conditioned,112,0.5697136171727961,0.6449999999998717,0.6449999999998717,nan,37.25323411707858,-0.1298789351925797,0.069478103789623,0.1946819167116118,0.030275464385519,0.1648295218486896,0,t1_not_event_conditioned_after_local_affine
7,Ob7.txt,survive,33,0.35889070146818924,0.7599999999999838,0.5899999999999874,"8,10",1.096657561758254,0.1723070072627825,0.4794063903158786,0.2588334074692326,0.4617550222884095,0.3377139906094903,0,t1_local_nonaffine_survives_both_k
8,Ob8.txt,not_event_conditioned,84,0.45378423639997834,0.7449999999998518,0.7599999999998488,nan,1.605223127920028,-0.0912807042528876,0.290681233323688,0.2870773683621533,0.0109538175682767,0.1971190910355867,2,t1_not_event_conditioned_after_local_affine
9,Ob9.txt,survive,36,0.3826123923902646,0.5999999999999872,0.6699999999999857,"8,10",2.1000030105476,0.4660869183335864,0.7680434118240885,0.2829075632809885,0.7157256691822503,0.2686876810581775,4,t1_local_nonaffine_survives_both_k
10,Ob10.txt,survive,36,0.25599089810140085,0.8099999999999827,0.7449999999999841,"8,10",1.2016592501472534,0.3630220071523223,0.5742532985740864,0.3264204250985867,0.8041247935044742,0.3259136526753292,4,t1_local_nonaffine_survives_both_k
11,Ob11.txt,survive,119,0.6048284625158831,0.7199999999998568,0.7199999999998568,"8,10",1.7236640449872536,0.6009139099098415,0.8262699018720059,0.2045583841272539,0.7712036853834454,0.1910873833085145,4,t1_local_nonaffine_survives_both_k
12,Ob12.txt,survive,91,0.48533333333333334,0.7099999999998587,0.7199999999998568,"8,10",2.8147048513187034,0.3150058626963127,0.4498523670189291,0.1983993541383966,0.6176621810680468,0.2391034685559539,4,t1_local_nonaffine_survives_both_k
13,Ob13.txt,survive,102,0.529595015576324,0.6949999999998617,0.6399999999998727,"8,10",1.506262646370737,0.5170077474316798,0.5795725879581811,0.1490722943203286,0.8098358048006362,0.2063206035751291,4,t1_local_nonaffine_survives_both_k
14,Ob14.txt,survive,47,0.2527833055450976,0.6699999999998667,0.7199999999998568,"8,10",0.98397196375796,0.3732196081556981,0.6836548282868479,0.21238200662155,0.5047386955291653,0.2295723008830669,4,t1_local_nonaffine_survives_both_k
15,Ob15.txt,survive,96,0.48602673147023084,0.8049999999998398,0.6349999999998737,"8,10",1.5299957823112518,0.6945112791469481,1.0626864350026124,0.2419641014181535,0.7406178664252892,0.1723176417158518,4,t1_local_nonaffine_survives_both_k
16,Ob16.txt,survive,84,0.4355716878402904,0.5949999999998816,0.5949999999998816,"8,10",2.276689877044048,0.5399288387509131,0.513717177730975,0.1991922980962526,0.9728155726934072,0.2074827748263034,4,t1_local_nonaffine_survives_both_k
17,Ob17.txt,survive,122,0.6214027402842153,0.7799999999998448,0.6899999999998627,"8,10",2.002995583746951,0.2287331111724613,0.354554620622092,0.1516936532388404,0.4375162260335332,0.182910971071862,4,t1_local_nonaffine_survives_both_k
18,Ob18.txt,survive,103,0.5429339518212009,0.6799999999998647,0.6999999999998607,"8,10",0.6995143632483813,0.280231417505976,0.4189879507240506,0.1935855631684878,0.4792083872029317,0.1441479397465424,4,t1_local_nonaffine_survives_both_k
19,Ob19.txt,survive,143,0.48094709581945977,0.6699999999998667,0.8099999999998388,"8,10",1.5296422486565038,0.641998161148287,0.7096445189690911,0.1426477620887658,0.882306373987572,0.165306808571323,4,t1_local_nonaffine_survives_both_k
