feature,feature_family,failure_median,survivor_median,median_difference_failure_minus_survivor,failure_q25,failure_q75,survivor_q25,survivor_q75,exact_permutation_p_two_sided,interpretation
t1_median_local_event_minus_non_event_z,result_or_gate_context,-0.11057981972273365,0.3630220071523223,-0.4736018268750559,-0.14178461186205907,-0.07318623123391471,0.25448226433921867,0.5284682930912965,0.0020639834881320948,describes the outcome split; not an independent artifact explanation
t1_k10_local_event_direction_abs_z,result_or_gate_context,0.0932629276511296,0.6176621810680468,-0.5243992534169172,0.025445052681208426,0.16058318080744158,0.4704817047456706,0.7876642394439598,0.0020639834881320948,describes the outcome split; not an independent artifact explanation
t1_k8_local_event_direction_abs_z,result_or_gate_context,0.19263582494756326,0.513717177730975,-0.32108135278341177,0.10790099761561683,0.2710925740840558,0.4344201588714899,0.6966496736279695,0.017027863777089782,describes the outcome split; not an independent artifact explanation
t2_gate_count,result_or_gate_context,1.0,4.0,-3.0,0.0,2.0,4.0,4.0,0.026573787409700723,describes the outcome split; not an independent artifact explanation
median_raw_speed,raw_trajectory_quality,222.84384280872894,252.3295014342197,-29.48565862549077,213.43016567246633,237.11460484743566,249.275448003603,258.0735911485575,0.05753353973168215,weak routing clue
ob,result_or_gate_context,4.5,12.0,-7.5,2.5,6.5,8.0,15.5,0.06398348813209494,describes the outcome split; not an independent artifact explanation
unique_ids,raw_trajectory_quality,3433.5,1081.0,2352.5,2157.0,4318.0,760.0,2463.5,0.0804953560371517,weak routing clue
t1_k8_local_non_event_direction_abs_median_z,result_or_gate_context,0.25491897514337414,0.1983993541383966,0.05651962100497754,0.2157409156213492,0.30538996910262556,0.18936124482583971,0.22717305401985174,0.08823529411764706,describes the outcome split; not an independent artifact explanation
q95_raw_speed,raw_trajectory_quality,427.2923501304248,459.26373223277255,-31.971382102347775,410.9403568702242,443.6041248371426,447.9080209633839,470.7555558621913,0.21362229102167182,no clear failure-group separation
event_rate_per_sec,event_structure,0.3634668245643704,0.4809470958194597,-0.11748027125508931,0.2715477792760184,0.48276658159318275,0.3707515469292269,0.5362644836987625,0.23503611971104232,no clear failure-group separation
early_ob_le_8,result_or_gate_context,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.26212590299277605,describes the outcome split; not an independent artifact explanation
t1_k10_local_non_event_direction_abs_median_z,result_or_gate_context,0.2251543524743539,0.1910873833085145,0.0340669691658394,0.18904669873886243,0.25780084349100096,0.1758056806475227,0.2343378847195104,0.2724458204334365,describes the outcome split; not an independent artifact explanation
n_events,event_structure,62.0,91.0,-29.0,37.0,91.0,45.0,102.5,0.32327141382868935,no clear failure-group separation
duration_sec,raw_trajectory_quality,169.885,199.88,-29.995000000000005,139.8875,192.385,149.89,199.89,0.3511351909184727,no clear failure-group separation
n_frames,raw_trajectory_quality,16989.5,19989.0,-2999.5,13989.75,19239.5,14954.5,19990.0,0.3511351909184727,no clear failure-group separation
t1_median_local_to_b3_ratio,result_or_gate_context,1.033206339234583,1.506262646370737,-0.473056307136154,0.42292565398317505,10.517225875209665,0.9372381721267735,1.8633298143671024,0.42234262125902994,describes the outcome split; not an independent artifact explanation
median_swarm_radius,raw_trajectory_quality,162.02224990056294,170.5319878229808,-8.509737922417855,144.15906158398568,179.488042475992,158.45250904856152,187.07180194783274,0.5500515995872033,no clear failure-group separation
q10_individuals_per_frame,raw_trajectory_quality,33.0,26.0,7.0,22.0,53.0,16.0,45.5,0.5626934984520123,no clear failure-group separation
file_size_mb,raw_trajectory_quality,44.327576637268066,35.966368675231934,8.361207962036133,35.170419216156006,56.860382080078125,27.77540874481201,56.936245918273926,0.563983488132095,no clear failure-group separation
median_individuals_per_frame,raw_trajectory_quality,36.5,29.0,7.5,24.75,57.75,20.0,51.5,0.576625386996904,no clear failure-group separation
q90_individuals_per_frame,raw_trajectory_quality,40.0,32.0,8.0,27.5,63.0,23.0,58.0,0.5815273477812177,no clear failure-group separation
q90_swarm_radius,raw_trajectory_quality,283.21514453895213,267.1907033173942,16.024441221557936,252.74262401483728,297.639020504899,255.95790025372438,300.85507153923743,0.5975232198142415,no clear failure-group separation
median_prev_duration_sec,event_structure,0.6674999999999285,0.6949999999998617,-0.027499999999933245,0.6237499999999008,0.7037499999999519,0.634999999999927,0.7449999999999841,0.6122291021671826,no clear failure-group separation
median_track_span_sec,raw_trajectory_quality,0.7250000000000014,0.9099999999999999,-0.1849999999999985,0.5075000000000038,1.2774999999999963,0.6099999999999994,1.4949999999999999,0.6880804953560371,no clear failure-group separation
median_track_length_frames,raw_trajectory_quality,73.5,92.0,-18.5,51.75,128.75,62.0,150.5,0.6880804953560371,no clear failure-group separation
median_next_duration_sec,event_structure,0.6949999999999279,0.6899999999998627,0.0050000000000651745,0.6212499999999008,0.7487499999999503,0.6374999999998732,0.7199999999998568,0.9623323013415893,no clear failure-group separation
swarm_radius_cv,raw_trajectory_quality,0.09335173808138164,0.09489826850060694,-0.0015465304192252977,0.06628093732383666,0.11837227688932346,0.07381836272199632,0.1249623190381268,0.9698142414860681,no clear failure-group separation
track_continuity_fraction,raw_trajectory_quality,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,no clear failure-group separation
median_dt_sec,raw_trajectory_quality,0.009999999999998899,0.00999999999999801,8.881784197001252e-16,0.00999999999999801,0.009999999999999787,0.00999999999999801,0.009999999999999787,1.0,no clear failure-group separation
