ob,dataset,failure_group,survival_group,robustness_class,early_ob_le_8,file_size_mb,duration_sec,n_frames,median_dt_sec,unique_ids,median_individuals_per_frame,q10_individuals_per_frame,q90_individuals_per_frame,median_track_length_frames,median_track_span_sec,track_continuity_fraction,median_raw_speed,q95_raw_speed,median_swarm_radius,q90_swarm_radius,swarm_radius_cv,n_events,event_rate_per_sec,median_prev_duration_sec,median_next_duration_sec,t1_median_local_to_b3_ratio,t1_median_local_event_minus_non_event_z,t1_k8_local_event_direction_abs_z,t1_k8_local_non_event_direction_abs_median_z,t1_k10_local_event_direction_abs_z,t1_k10_local_non_event_direction_abs_median_z,t2_gate_count,scale_pass_fraction,timing_pass_fraction
1,Ob1.txt,True,False,,1,75.58784866333008,109.88000000000001,10989,0.009999999999999787,4588,93.0,86.0,102.0,95.0,0.9399999999999977,1.0,262.5952304307491,486.29041567223214,215.49543832993285,330.0082118346073,0.049831167136515024,28,0.266742878917786,0.6899999999999853,0.7449999999999841,0.3081339642852859,-0.018902812176996,0.2645630210041784,0.222760581924595,0.1735815504795457,0.2531896139131211,0,nan,nan
2,Ob2.txt,False,True,robust_scale_and_timing,1,75.36133575439453,148.58,14859,0.009999999999999787,5242,69.0,61.0,75.0,64.0,0.6299999999999955,1.0,249.61227325193732,451.45806994270316,204.91245991517968,332.6403061796286,0.06708600178901318,43,0.3075822603719599,0.5399999999999885,0.6299999999999866,0.890504380495587,0.3595533481787678,0.4935207172311168,0.1861498532660341,0.5990398101439129,0.18730397775146,4,1.0,1.0
3,Ob3.txt,True,False,,1,50.61789321899414,149.89,14990,0.009999999999999787,4228,46.0,42.0,50.0,52.0,0.5100000000000051,1.0,228.62106298633117,429.37536122544606,167.48557719134504,286.8492900616629,0.07176419405294387,40,0.2731494127287626,0.5599999999999881,0.5499999999999883,0.4611895505491381,-0.1775016418704972,0.1207086288909481,0.3603277713240423,0.1562503909167402,0.2716345322246405,2,nan,nan
4,Ob4.txt,False,True,fragile_or_boundary,1,32.17312240600586,149.89,14952,0.009999999999999787,1054,30.0,26.0,32.0,50.0,0.4899999999999949,1.0,210.22876574783677,389.8218938499018,144.32312208561316,264.5020293677134,0.1086893972969604,58,0.4017176894306691,0.564999999999988,0.7099999999999849,0.5666515091459132,0.0384929074301147,0.1147288053716282,0.1925726363856453,0.3341233654534401,0.1792937195791936,4,0.5,0.0
5,Ob5.txt,False,True,robust_scale_and_timing,1,24.507984161376953,149.89,14957,0.009999999999999787,639,22.0,20.0,25.0,81.0,0.7999999999999972,1.0,211.16815833357995,381.9216460171468,122.6774625293773,212.48083134707628,0.12467765704831647,93,0.6322229775662814,0.7299999999999844,0.6399999999999864,0.8399072463582962,0.1828365509568869,0.375322831761817,0.1930015359821522,0.3373176953637895,0.1539658892296805,4,1.0,1.0
6,Ob6.txt,True,False,,1,26.569896697998047,199.89999999999998,19991,0.00999999999999801,711,18.0,16.0,20.0,230.0,2.289999999999992,1.0,202.52079479648506,368.1334103746862,106.95947850660022,172.22749901062483,0.12867126122783568,112,0.5697136171727961,0.6449999999998717,0.6449999999998717,37.25323411707858,-0.1298789351925797,0.069478103789623,0.1946819167116118,0.030275464385519,0.1648295218486896,0,nan,nan
7,Ob7.txt,False,True,robust_scale_and_timing,1,42.79891300201416,99.91,9992,0.009999999999999787,2688,58.0,54.0,63.0,60.0,0.5900000000000034,1.0,252.3295014342197,451.4258612827942,191.80672623154192,322.9119815037277,0.07085549813125658,33,0.3588907014681892,0.7599999999999838,0.5899999999999874,1.096657561758254,0.1723070072627825,0.4794063903158786,0.2588334074692326,0.4617550222884095,0.3377139906094903,0,1.0,1.0
8,Ob8.txt,True,False,,1,38.03726005554199,189.88,18989,0.00999999999999801,2639,27.0,24.0,30.0,51.0,0.5,1.0,217.06662263112673,425.20933903540356,156.55892260978084,279.58099901624144,0.1149392821098194,84,0.4537842363999783,0.7449999999998518,0.7599999999998488,1.605223127920028,-0.0912807042528876,0.290681233323688,0.2870773683621533,0.0109538175682767,0.1971190910355867,2,nan,nan
9,Ob9.txt,False,True,robust_scale_and_timing,0,35.966368675231934,99.88000000000001,9949,0.009999999999999787,2239,49.0,42.0,56.0,92.0,0.9099999999999999,1.0,256.12883314652413,464.7521427529938,176.13723618199467,267.1907033173942,0.07316650716589025,36,0.3826123923902646,0.5999999999999872,0.6699999999999857,2.1000030105476,0.4660869183335864,0.7680434118240885,0.2829075632809885,0.7157256691822503,0.2686876810581775,4,1.0,1.0
10,Ob10.txt,False,True,robust_scale_and_timing,0,78.28917217254639,149.89999999999998,14991,0.009999999999999787,3937,71.0,66.0,76.0,107.0,1.0599999999999952,1.0,252.53516398408962,456.1473891219782,191.41556298383054,289.2739839078034,0.06177183308308257,36,0.2559908981014008,0.8099999999999827,0.7449999999999841,1.2016592501472534,0.3630220071523223,0.5742532985740864,0.3264204250985867,0.8041247935044742,0.3259136526753292,4,1.0,0.6666666666666666
