ob,variable,family,k,lag_sec,n_events,real_low_to_high_delta_z,real_high_to_low_delta_z,real_direction_contrast_z,real_abs_direction_contrast_z,non_event_abs_direction_median_z,event_minus_non_event_abs_direction_z,p_non_event_abs_direction_ge_event,event_conditioned_gate
2,all_tangential,diffuse_baseline,8,0.1,43,0.4151950015341959,-0.2803388280985035,0.6955338296326994,0.6955338296326994,0.23092475513100283,0.46460907450169653,0.0,True
2,shell_core_tangential,radial_level,8,0.1,43,-0.03644490517647303,-0.014604144720991571,-0.02184076045548146,0.02184076045548146,0.17157386396469324,-0.14973310350921176,0.875,False
2,shell_middle_tangential,radial_level,8,0.1,43,0.3166177062640252,0.10483649803808949,0.2117812082259357,0.2117812082259357,0.23167938395128476,-0.01989817572534905,0.575,False
2,shell_edge_tangential,radial_level,8,0.1,43,0.29164670134174975,0.049378474122667895,0.24226822721908187,0.24226822721908187,0.2145162294026693,0.027751997816412577,0.475,False
2,shell_edge_minus_core,radial_contrast,8,0.1,43,0.48423415236684936,0.022620754980873237,0.4616133973859761,0.4616133973859761,0.18001978665109392,0.2815936107348822,0.075,True
2,shell_middle_minus_core,radial_contrast,8,0.1,43,0.5893827479286895,0.14226132825171278,0.4471214196769767,0.4471214196769767,0.2102549567470296,0.23686646292994712,0.075,True
2,shell_radius_corr_tangential,radial_gradient,8,0.1,43,0.3105535614456411,0.0683031332752761,0.24225042817036502,0.24225042817036502,0.1820292192250903,0.06022120894527472,0.325,True
2,density_dense_tangential,density_level,8,0.1,43,-0.15729483949723563,0.3066729131619772,-0.46396775265921286,0.46396775265921286,0.22469576785006512,0.23927198480914774,0.15,True
2,density_middle_tangential,density_level,8,0.1,43,0.3330894972933509,-0.19339354427620095,0.5264830415695518,0.5264830415695518,0.16216059733487925,0.3643224442346726,0.0,True
2,density_sparse_tangential,density_level,8,0.1,43,0.29744802634982903,0.1327005373707642,0.16474748897906483,0.16474748897906483,0.22506365393433342,-0.06031616495526859,0.65,False
2,density_sparse_minus_dense,density_contrast,8,0.1,43,0.3078798790085703,0.062300804056642206,0.24557907495192807,0.24557907495192807,0.17082824527849613,0.07475082967343194,0.375,False
2,density_knn_distance_corr_tangential,density_gradient,8,0.1,43,0.005305512197189471,0.14098957814763657,-0.1356840659504471,0.1356840659504471,0.1667041937236327,-0.031020127773185607,0.6,False
5,all_tangential,diffuse_baseline,8,0.1,93,0.32984432349806037,-0.2662971988970708,0.5961415223951312,0.5961415223951312,0.17404870195269745,0.42209282044243374,0.0,True
5,shell_core_tangential,radial_level,8,0.1,93,0.27291806932803236,-0.3425253722358518,0.6154434415638841,0.6154434415638841,0.20588137432609546,0.40956206723778865,0.0,True
5,shell_middle_tangential,radial_level,8,0.1,93,0.02957625664694906,-0.33471103925430634,0.3642872959012554,0.3642872959012554,0.2644346272888451,0.09985266861241032,0.325,True
5,shell_edge_tangential,radial_level,8,0.1,93,0.1518354242191142,-0.2547871094892966,0.40662253370841084,0.40662253370841084,0.1767253024766235,0.22989723123178735,0.175,True
5,shell_edge_minus_core,radial_contrast,8,0.1,93,-0.3143822479080013,-0.07388181224358678,-0.2405004356644145,0.2405004356644145,0.16444644106505446,0.07605399459936005,0.325,True
5,shell_middle_minus_core,radial_contrast,8,0.1,93,-0.3480624537242656,-0.016023326526633103,-0.3320391271976325,0.3320391271976325,0.16208615037988372,0.1699529768177488,0.3,True
5,shell_radius_corr_tangential,radial_gradient,8,0.1,93,-0.1028837218508058,0.44032555675181667,-0.5432092786026225,0.5432092786026225,0.13856570667421297,0.4046435719284095,0.025,True
5,density_dense_tangential,density_level,8,0.1,93,0.18896105759038212,-0.2758021739161887,0.46476323150657084,0.46476323150657084,0.13169214648323035,0.3330710850233405,0.1,True
5,density_middle_tangential,density_level,8,0.1,93,0.03151980559733239,-0.43613666903064496,0.4676564746279773,0.4676564746279773,0.1535392661909753,0.314117208437002,0.075,True
5,density_sparse_tangential,density_level,8,0.1,93,-0.07802128250053492,-0.28538810547237825,0.20736682297184333,0.20736682297184333,0.2659765617255683,-0.05860973875372494,0.575,False
5,density_sparse_minus_dense,density_contrast,8,0.1,93,-0.1588628683096207,0.42413821303226773,-0.5830010813418884,0.5830010813418884,0.1957127304750217,0.38728835086686675,0.0,True
5,density_knn_distance_corr_tangential,density_gradient,8,0.1,93,0.055798240564162695,0.48006260767641556,-0.42426436711225285,0.42426436711225285,0.18015063965820607,0.24411372745404677,0.075,True
7,all_tangential,diffuse_baseline,8,0.1,33,0.0965643461791703,-0.29129595081291243,0.38786029699208274,0.38786029699208274,0.32880022639846274,0.05906007059362001,0.375,False
7,shell_core_tangential,radial_level,8,0.1,33,0.09139806127464284,-0.2669444479340485,0.3583425092086913,0.3583425092086913,0.2595779858473751,0.09876452336131619,0.325,True
7,shell_middle_tangential,radial_level,8,0.1,33,0.046974614982870255,0.026023378443295705,0.02095123653957455,0.02095123653957455,0.2901424583621578,-0.26919122182258326,0.975,False
7,shell_edge_tangential,radial_level,8,0.1,33,0.4591449079022335,-0.4643579558647912,0.9235028637670247,0.9235028637670247,0.25084241764962667,0.6726604461173981,0.0,True
7,shell_edge_minus_core,radial_contrast,8,0.1,33,0.45939980894136523,-0.20283111750932548,0.6622309264506907,0.6622309264506907,0.24060372083044723,0.4216272056202435,0.075,True
7,shell_middle_minus_core,radial_contrast,8,0.1,33,-0.035778896769381306,0.01104135078040712,-0.046820247549788425,0.046820247549788425,0.2365096271814698,-0.1896893796316814,0.925,False
7,shell_radius_corr_tangential,radial_gradient,8,0.1,33,0.3984747383840411,-0.2043112126216239,0.602785951005665,0.602785951005665,0.25949571364726154,0.34329023735840347,0.1,True
7,density_dense_tangential,density_level,8,0.1,33,-0.032848381374458,-0.37368125212217485,0.34083287074771684,0.34083287074771684,0.24075892713126015,0.10007394361645669,0.3,True
7,density_middle_tangential,density_level,8,0.1,33,0.20209950214162875,0.23462143194301704,-0.032521929801388294,0.032521929801388294,0.2698036729542441,-0.23728174315285583,0.975,False
7,density_sparse_tangential,density_level,8,0.1,33,0.5889830230800177,-0.33906285165370287,0.9280458747337206,0.9280458747337206,0.19860204853357194,0.7294438262001486,0.0,True
7,density_sparse_minus_dense,density_contrast,8,0.1,33,0.3347303853916592,-0.2354819875401212,0.5702123729317804,0.5702123729317804,0.23901588094308712,0.3311964919886933,0.1,True
7,density_knn_distance_corr_tangential,density_gradient,8,0.1,33,0.3547750547011197,0.14438050344865727,0.21039455125246243,0.21039455125246243,0.23478225345934484,-0.02438770220688241,0.55,False
9,all_tangential,diffuse_baseline,8,0.1,36,0.26221561285551104,-0.59077558924487,0.8529912021003809,0.8529912021003809,0.31093816022362125,0.5420530418767597,0.1,True
9,shell_core_tangential,radial_level,8,0.1,36,0.32699871217449705,-0.4219683104938049,0.748967022668302,0.748967022668302,0.340723254665945,0.40824376800235695,0.125,True
9,shell_middle_tangential,radial_level,8,0.1,36,0.21609575024701172,-0.1262364649684847,0.3423322152154964,0.3423322152154964,0.2569429671863696,0.08538924802912679,0.35,True
9,shell_edge_tangential,radial_level,8,0.1,36,-0.09108364962296728,-0.1613359610739406,0.07025231145097333,0.07025231145097333,0.22977574905253995,-0.15952343760156662,0.9,False
9,shell_edge_minus_core,radial_contrast,8,0.1,36,-0.3202689938513892,0.14708317573127425,-0.46735216958266346,0.46735216958266346,0.2819811764478769,0.18537099313478655,0.25,True
9,shell_middle_minus_core,radial_contrast,8,0.1,36,-0.44932104462479594,0.12472320535943557,-0.5740442499842315,0.5740442499842315,0.19660994332707832,0.3774343066571532,0.075,True
9,shell_radius_corr_tangential,radial_gradient,8,0.1,36,-0.43754034255577656,0.45261443930194334,-0.8901547818577199,0.8901547818577199,0.2698778205883903,0.6202769612693295,0.025,True
9,density_dense_tangential,density_level,8,0.1,36,0.5237884494934935,-0.426886922350679,0.9506753718441725,0.9506753718441725,0.17525687020295228,0.7754185016412203,0.05,True
9,density_middle_tangential,density_level,8,0.1,36,0.19109778718156573,-0.31864513611059575,0.5097429232921615,0.5097429232921615,0.251444590018307,0.25829833327385454,0.275,True
9,density_sparse_tangential,density_level,8,0.1,36,-0.08564742627682659,-0.47069900017031574,0.38505157389348915,0.38505157389348915,0.1709478933415309,0.21410368055195825,0.225,True
9,density_sparse_minus_dense,density_contrast,8,0.1,36,-0.6839661809904739,-0.37155919799138165,-0.31240698299909225,0.31240698299909225,0.269228896661321,0.04317808633777126,0.4,False
9,density_knn_distance_corr_tangential,density_gradient,8,0.1,36,-0.34088490030415186,0.04985521879941854,-0.3907401191035704,0.3907401191035704,0.20879779288311287,0.18194232622045756,0.325,True
10,all_tangential,diffuse_baseline,8,0.1,36,0.6944451090618855,-0.40680087769640216,1.1012459867582876,1.1012459867582876,0.2461912945990153,0.8550546921592723,0.0,True
10,shell_core_tangential,radial_level,8,0.1,36,0.3414136903714604,-0.2612024169395868,0.6026161073110472,0.6026161073110472,0.14598011833670907,0.4566359889743381,0.05,True
10,shell_middle_tangential,radial_level,8,0.1,36,0.3196101076531187,-0.271401361381581,0.5910114690346997,0.5910114690346997,0.15964040472658353,0.43137106430811617,0.075,True
10,shell_edge_tangential,radial_level,8,0.1,36,0.2854206831849466,0.31748665546607824,-0.032065972281131616,0.032065972281131616,0.24040313832480387,-0.20833716604367225,1.0,False
10,shell_edge_minus_core,radial_contrast,8,0.1,36,-0.04009588904829589,0.29392153115572417,-0.33401742020402003,0.33401742020402003,0.19744343661917596,0.13657398358484407,0.25,True
10,shell_middle_minus_core,radial_contrast,8,0.1,36,-0.14911666307324928,-0.009080043556098427,-0.14003661951715085,0.14003661951715085,0.16615909125960227,-0.026122471742451414,0.575,False
10,shell_radius_corr_tangential,radial_gradient,8,0.1,36,-0.14316172414244063,0.630022229363779,-0.7731839535062197,0.7731839535062197,0.18691018133073473,0.5862737721754849,0.0,True
10,density_dense_tangential,density_level,8,0.1,36,0.31112818069587983,-0.3499046640600953,0.6610328447559751,0.6610328447559751,0.24720300796775624,0.4138298367882189,0.0,True
10,density_middle_tangential,density_level,8,0.1,36,0.4842741028961622,-0.02349998970371199,0.5077740925998742,0.5077740925998742,0.16991565081402996,0.33785844178584423,0.15,True
10,density_sparse_tangential,density_level,8,0.1,36,0.5452622298844724,0.29610665235195954,0.24915557753251283,0.24915557753251283,0.22021332402968824,0.02894225350282459,0.4,False
10,density_sparse_minus_dense,density_contrast,8,0.1,36,0.05131304597859923,0.39963011832701206,-0.3483170723484128,0.3483170723484128,0.20100346982710815,0.14731360252130465,0.275,True
10,density_knn_distance_corr_tangential,density_gradient,8,0.1,36,0.12600873917302258,0.5495412901736996,-0.423532551000677,0.423532551000677,0.21109180609966438,0.2124407449010126,0.125,True
11,all_tangential,diffuse_baseline,8,0.1,119,0.616804446458947,-0.38934310145789053,1.0061475479168376,1.0061475479168376,0.1792213135259763,0.8269262343908612,0.0,True
11,shell_core_tangential,radial_level,8,0.1,119,0.5068762713903754,-0.49016674604497645,0.9970430174353518,0.9970430174353518,0.16010870844539585,0.836934308989956,0.0,True
11,shell_middle_tangential,radial_level,8,0.1,119,0.36168163041903956,-0.460779949381728,0.8224615798007675,0.8224615798007675,0.12831877470371886,0.6941428050970486,0.0,True
11,shell_edge_tangential,radial_level,8,0.1,119,0.4682535502637799,-0.41625057425292744,0.8845041245167073,0.8845041245167073,0.19964427166180473,0.6848598528549026,0.0,True
11,shell_edge_minus_core,radial_contrast,8,0.1,119,-0.1027401246599183,0.2368172675294775,-0.3395573921893958,0.3395573921893958,0.1556027972616228,0.183954594927773,0.25,True
11,shell_middle_minus_core,radial_contrast,8,0.1,119,-0.34949001391775925,0.01899606488141771,-0.36848607879917694,0.36848607879917694,0.1058559034306972,0.26263017536847977,0.1,True
11,shell_radius_corr_tangential,radial_gradient,8,0.1,119,-0.18559058694351072,0.08692097560739656,-0.27251156255090725,0.27251156255090725,0.13979850285921436,0.1327130596916929,0.2,True
11,density_dense_tangential,density_level,8,0.1,119,0.33634274245940554,-0.43608150416577107,0.7724242466251766,0.7724242466251766,0.15819605025732364,0.614228196367853,0.0,True
11,density_middle_tangential,density_level,8,0.1,119,0.3520884355154637,-0.46412907189338504,0.8162175074088487,0.8162175074088487,0.16575267802800692,0.6504648293808417,0.0,True
11,density_sparse_tangential,density_level,8,0.1,119,0.5502314838208905,-0.42873946025490306,0.9789709440757935,0.9789709440757935,0.21103031577577636,0.7679406283000172,0.0,True
11,density_sparse_minus_dense,density_contrast,8,0.1,119,0.027618286346351967,0.04557923751233865,-0.017960951165986686,0.017960951165986686,0.12153069352397727,-0.10356974235799059,0.925,False
11,density_knn_distance_corr_tangential,density_gradient,8,0.1,119,-0.07617201957030229,-0.10488319418452427,0.028711174614221985,0.028711174614221985,0.13418605461323233,-0.10547487999901034,0.9,False
12,all_tangential,diffuse_baseline,8,0.1,91,0.41395030038657266,-0.2880529762719246,0.7020032766584973,0.7020032766584973,0.18380856114597888,0.5181947155125184,0.0,True
12,shell_core_tangential,radial_level,8,0.1,91,0.10179861521908938,-0.13969539503747963,0.24149401025656902,0.24149401025656902,0.2416032881831152,-0.00010927792654616408,0.5,False
12,shell_middle_tangential,radial_level,8,0.1,91,0.3784512367468982,-0.19053944831359687,0.5689906850604951,0.5689906850604951,0.2227256401387882,0.3462650449217069,0.0,True
12,shell_edge_tangential,radial_level,8,0.1,91,0.4056618930846779,-0.10000523198351985,0.5056671250681978,0.5056671250681978,0.18150427634817579,0.324162848720022,0.075,True
12,shell_edge_minus_core,radial_contrast,8,0.1,91,0.35821944768375635,0.34514026713372353,0.01307918055003282,0.01307918055003282,0.15380457717230694,-0.14072539662227412,0.925,False
12,shell_middle_minus_core,radial_contrast,8,0.1,91,-0.06372117287071684,0.01233185922183995,-0.07605303209255679,0.07605303209255679,0.15832189607623298,-0.0822688639836762,0.725,False
12,shell_radius_corr_tangential,radial_gradient,8,0.1,91,0.2511265620778267,0.05284355953696296,0.19828300254086373,0.19828300254086373,0.17905646780329582,0.019226534737567913,0.5,False
12,density_dense_tangential,density_level,8,0.1,91,0.15205619511078627,-0.12097879084144636,0.27303498595223263,0.27303498595223263,0.2116614771857142,0.061373508766518425,0.325,True
