ob,variable,n_events,phase,real_phase_aligned_z,null_phase_median_aligned_z,null_phase_abs_median_z,event_minus_null_phase_z,abs_event_minus_abs_null_z,p_null_abs_ge_real_abs,phase_gate
5,shell_edge_minus_core,93,early_pre,0.1855449916606049,-0.002432043570576808,0.04964488632732478,0.1879770352311817,0.13590010533328012,0.025,True
5,shell_edge_minus_core,93,near_pre,0.0331883686571338,0.027650405006021235,0.042924691986893665,0.0055379636511125666,-0.009736323329759863,0.65,False
5,shell_edge_minus_core,93,near_post,-0.12306532381122695,-0.022082499825890042,0.041031492197626904,-0.10098282398533691,0.08203383161360005,0.0,False
5,shell_edge_minus_core,93,late_post,-0.061566267825255344,-0.02480364627071029,0.035382252838123074,-0.03676262155454506,0.02618401498713227,0.3,False
5,all_tangential,93,early_pre,-0.0477059299650448,0.00426960498050797,0.035878995718863854,-0.05197553494555277,0.011826934246180948,0.425,False
5,all_tangential,93,near_pre,-0.1327575118308813,-0.0014323725999177781,0.04417600127679816,-0.13132513923096353,0.08858151055408314,0.05,False
5,all_tangential,93,near_post,0.14823661244902375,0.009803706003634291,0.03502637695968645,0.13843290644538947,0.1132102354893373,0.025,False
5,all_tangential,93,late_post,0.12057811590081183,0.031396604760339036,0.06510910490546996,0.08918151114047279,0.055469010995341864,0.2,False
5,shell_core_tangential,93,early_pre,-0.1577048834336906,0.01930148017619883,0.0452183747863671,-0.17700636360988942,0.1124865086473235,0.025,False
5,shell_core_tangential,93,near_pre,-0.1293790455647324,-0.021424555581051948,0.045991101132195386,-0.10795448998368046,0.08338794443253701,0.1,False
5,shell_core_tangential,93,near_post,0.1653066564836693,0.0033326940468307795,0.02907175425035076,0.1619739624368385,0.13623490223331852,0.0,True
5,shell_core_tangential,93,late_post,0.011928610323040593,0.009181794047835944,0.0558269723924545,0.00274681627520465,-0.04389836206941391,0.9,False
5,shell_middle_tangential,93,early_pre,-0.010663086345414033,0.014063931722236606,0.049350318968030216,-0.02472701806765064,-0.03868723262261618,0.85,False
5,shell_middle_tangential,93,near_pre,-0.09906699618476861,-0.010683804806166698,0.04548550179400241,-0.08838319137860191,0.0535814943907662,0.225,False
5,shell_middle_tangential,93,near_post,0.036141738843576916,0.0005204370880686842,0.04183874499903944,0.03562130175550823,-0.005697006155462522,0.525,False
5,shell_middle_tangential,93,late_post,0.2069654728430792,0.006063839084903319,0.049423222415098556,0.20090163375817588,0.15754225042798065,0.0,True
5,shell_edge_tangential,93,early_pre,0.0378735800453287,-0.009499515785292687,0.057116563285725896,0.04737309583062139,-0.019242983240397193,0.525,False
5,shell_edge_tangential,93,near_pre,-0.0811081534475793,0.006003240250998368,0.06520357430112769,-0.08711139369857766,0.015904579146451603,0.3,False
5,shell_edge_tangential,93,near_post,0.07914017124275313,-0.0018847052531141273,0.04263912229791977,0.08102487649586726,0.036501048944833366,0.125,False
5,shell_edge_tangential,93,late_post,0.0021839699972300117,0.022935187957295076,0.05690087229961521,-0.020751217960065065,-0.0547169023023852,0.925,False
5,shell_radius_corr_tangential,93,early_pre,0.2229425087692492,0.008742457711579553,0.06250390914552408,0.21420005105766965,0.16043859962372514,0.0,True
5,shell_radius_corr_tangential,93,near_pre,0.04932469592307878,0.04255948441536368,0.053444071994868655,0.006765211507715099,-0.004119376071789874,0.6,False
5,shell_radius_corr_tangential,93,near_post,-0.13696406482179369,-0.02251184917073421,0.059119260467989404,-0.11445221565105948,0.07784480435380428,0.0,False
5,shell_radius_corr_tangential,93,late_post,-0.14236837867242885,-0.01142873426116581,0.03363072739442742,-0.13093964441126305,0.10873765127800143,0.025,False
5,density_dense_tangential,93,early_pre,-0.1706269341226118,-0.0005124202631644065,0.04762542919412242,-0.17011451385944737,0.12300150492848937,0.05,True
5,density_dense_tangential,93,near_pre,-0.06489937739066914,-0.024693803332113563,0.05146418041451087,-0.040205574058555585,0.013435196976158276,0.425,False
5,density_dense_tangential,93,near_post,0.19955045780404013,-0.0001082764257480072,0.041070294080559316,0.19965873422978814,0.1584801637234808,0.0,True
5,density_dense_tangential,93,late_post,0.08042614896948196,0.018454038491737886,0.058460536003107626,0.06197211047774407,0.02196561296637433,0.275,False
5,density_sparse_minus_dense,93,early_pre,0.10505535451684729,-0.010598796206089847,0.060297320195623574,0.11565415072293714,0.044758034321223716,0.175,False
5,density_sparse_minus_dense,93,near_pre,-0.0279900857361589,0.03151115754452587,0.059687259143444665,-0.05950124328068476,-0.03169717340728577,0.725,False
5,density_sparse_minus_dense,93,near_post,-0.08469123769120518,-0.012667542706372402,0.04838160749311606,-0.07202369498483277,0.03630963019808912,0.25,False
5,density_sparse_minus_dense,93,late_post,-0.12942202434096856,-0.022791004044012738,0.04400389791466241,-0.10663102029695581,0.08541812642630614,0.05,False
