ob,variable,event_type,relative_time_sec,median_value_z,q25_value_z,q75_value_z,n_events
7,shell_edge_minus_core,high_to_low,-0.5,0.3577203176106307,-0.723742352813722,0.9649869347018436,14
7,shell_edge_minus_core,low_to_high,-0.5,0.14174013107651973,-0.6008679413931088,0.4219629199429073,19
7,shell_edge_minus_core,high_to_low,-0.45,0.1500673873058989,-0.4114047489403255,0.507686632343271,14
7,shell_edge_minus_core,low_to_high,-0.45,0.09572608226684359,-0.18424982587035177,0.5231613710734087,19
7,shell_edge_minus_core,high_to_low,-0.4,-0.23443287129765122,-0.8521832285192402,0.5626539439493777,14
7,shell_edge_minus_core,low_to_high,-0.4,0.08391252292785373,-0.3954228857829445,0.7941370504167777,19
7,shell_edge_minus_core,high_to_low,-0.35,-0.12880900444545623,-0.6048269139754313,0.488681404131567,14
7,shell_edge_minus_core,low_to_high,-0.35,-0.1349397345783931,-0.5176361646294491,0.8394626092239162,19
7,shell_edge_minus_core,high_to_low,-0.3,-0.5847813562914579,-1.0721444163825877,0.09617041338291546,14
7,shell_edge_minus_core,low_to_high,-0.3,-0.28567829755758223,-1.2850045983493938,0.36075325500961497,19
7,shell_edge_minus_core,high_to_low,-0.25,0.1722828516799695,-0.34109176369997585,0.6972916321851799,14
7,shell_edge_minus_core,low_to_high,-0.25,-0.3336572044034586,-0.7018441333568763,0.2945274018251502,19
7,shell_edge_minus_core,high_to_low,-0.2,-0.0014460016152119757,-0.32901085165395433,0.40554936700101285,14
7,shell_edge_minus_core,low_to_high,-0.2,-0.517999073880312,-1.0241127699675034,-0.017422961457267412,19
7,shell_edge_minus_core,high_to_low,-0.15,0.1573475819193844,-0.3647128481418263,0.43207019237014577,14
7,shell_edge_minus_core,low_to_high,-0.15,-0.47372983654108936,-0.9359723831960316,0.2110777108081427,19
7,shell_edge_minus_core,high_to_low,-0.1,-0.11315113920237405,-0.4743599516174807,0.790747980602263,14
7,shell_edge_minus_core,low_to_high,-0.1,0.0601331227567228,-0.6390458684210845,0.6883127751641492,19
7,shell_edge_minus_core,high_to_low,-0.05,-0.1268727175660971,-0.4493402888464285,0.31020478852770306,14
7,shell_edge_minus_core,low_to_high,-0.05,0.037915363224261284,-0.46635333651774147,0.4123409314954024,19
7,shell_edge_minus_core,high_to_low,-0.0,0.31240973562479524,-0.2831255899605398,0.983895041361246,14
7,shell_edge_minus_core,low_to_high,-0.0,0.2829987454212401,-0.16422591719934673,0.8549468197952561,19
7,shell_edge_minus_core,high_to_low,0.05,0.1400426207804375,-0.5691467621396875,0.6758994051250075,14
7,shell_edge_minus_core,low_to_high,0.05,-0.02901364040678789,-0.48588104660798725,0.45294672322122786,19
7,shell_edge_minus_core,high_to_low,0.1,0.03729339988670082,-0.3637921493790933,0.33418160798369334,14
7,shell_edge_minus_core,low_to_high,0.1,0.14449398017631926,-0.20594374156045905,0.7317692409754641,19
