ob,variable,phase,event_type,n_events,real_phase_median_z,null_phase_median_z,event_minus_null_z,p_null_abs_excess_ge_real_abs_excess,event_type_gate
7,all_tangential,near_pre,low_to_high,19,0.05897393290203223,-0.02321052507008762,0.08218445797211985,0.725,False
7,all_tangential,near_pre,high_to_low,14,0.029996464311067034,-0.024461235451122634,0.05445769976218967,0.75,False
7,all_tangential,near_post,low_to_high,19,0.23510894306735172,0.03498114154468154,0.20012780152267018,0.225,True
7,all_tangential,near_post,high_to_low,14,-0.08738165042621994,-0.037047899335116374,-0.050333751091103565,0.825,False
7,shell_edge_minus_core,near_pre,low_to_high,19,-0.11967461776054766,-0.033310585405332854,-0.08636403235521481,0.6,False
7,shell_edge_minus_core,near_pre,high_to_low,14,-0.011835103394408575,0.030570299092703722,-0.0424054024871123,0.775,False
7,shell_edge_minus_core,near_post,low_to_high,19,0.2781072841922059,0.022643418552562355,0.2554638656396435,0.15,True
7,shell_edge_minus_core,near_post,high_to_low,14,-0.11368190857203594,0.03246019785689046,-0.1461421064289264,0.275,False
7,shell_core_tangential,near_pre,low_to_high,19,0.18776616559572212,-0.04987134450525681,0.23763751010097894,0.225,True
7,shell_core_tangential,near_pre,high_to_low,14,0.2010633009985715,-0.06487781689153846,0.26594111789011,0.125,True
7,shell_core_tangential,near_post,low_to_high,19,0.05147086972677503,0.017026617279337228,0.034444252447437804,0.875,False
7,shell_core_tangential,near_post,high_to_low,14,0.05532908945080454,-0.028173038753300052,0.08350212820410459,0.625,False
7,shell_middle_tangential,near_pre,low_to_high,19,-0.07107210014614654,0.014782975637578973,-0.0858550757837255,0.55,False
7,shell_middle_tangential,near_pre,high_to_low,14,0.0447415391760613,0.0380863833984921,0.006655155777569199,1.0,False
7,shell_middle_tangential,near_post,low_to_high,19,0.2322040559626196,0.03169753331473761,0.200506522647882,0.2,True
7,shell_middle_tangential,near_post,high_to_low,14,-0.05855621003227154,0.07710750427325269,-0.13566371430552424,0.375,False
7,shell_edge_tangential,near_pre,low_to_high,19,-0.31063184596232896,-0.01862650886384054,-0.2920053370984884,0.15,True
7,shell_edge_tangential,near_pre,high_to_low,14,0.13456770140686694,0.07696478256864094,0.057602918838226005,0.625,False
7,shell_edge_tangential,near_post,low_to_high,19,0.3996468610360472,-0.019950329455081163,0.41959719049112837,0.025,True
7,shell_edge_tangential,near_post,high_to_low,14,-0.008224375406812999,-0.005553022157749429,-0.0026713532490635697,1.0,False
