ob,variable,phase,event_type,n_events,real_phase_median_z,null_phase_median_z,event_minus_null_z,p_null_abs_excess_ge_real_abs_excess,event_type_gate
2,all_tangential,near_pre,low_to_high,21,-0.3440778719488674,-0.05081291688764156,-0.29326495506122585,0.1,True
2,all_tangential,near_pre,high_to_low,22,0.29789715151051877,-0.028251722398529223,0.326148873909048,0.1,True
2,all_tangential,near_post,low_to_high,21,0.207987304438787,0.004156176989032645,0.20383112744975435,0.125,True
2,all_tangential,near_post,high_to_low,22,0.07865629131884316,0.017722692376671206,0.06093359894217196,0.675,False
2,shell_edge_minus_core,near_pre,low_to_high,21,-0.2923910536341912,-0.0075797128833504646,-0.28481134075084075,0.05,True
2,shell_edge_minus_core,near_pre,high_to_low,22,-0.21113644309333737,0.024902828402950734,-0.23603927149628812,0.1,True
2,shell_edge_minus_core,near_post,low_to_high,21,0.19692276312678209,-0.03194471784150589,0.22886748096828796,0.05,True
2,shell_edge_minus_core,near_post,high_to_low,22,-0.002741823957020724,0.007045316062343241,-0.009787140019363965,0.925,False
2,shell_core_tangential,near_pre,low_to_high,21,0.035550634131115144,-0.06072757611092092,0.09627821024203606,0.5,False
2,shell_core_tangential,near_pre,high_to_low,22,0.08323005807053035,0.01817442133139189,0.06505563673913847,0.675,False
2,shell_core_tangential,near_post,low_to_high,21,-0.27387371355414264,0.011123870476177508,-0.28499758403032016,0.075,True
2,shell_core_tangential,near_post,high_to_low,22,0.18424033802629455,0.019974808460337116,0.16426552956595744,0.1,True
2,shell_middle_tangential,near_pre,low_to_high,21,-0.003586325017232328,0.0591225004657209,-0.06270882548295323,0.75,False
2,shell_middle_tangential,near_pre,high_to_low,22,0.062131304600116476,0.01134114461505575,0.05079015998506073,0.75,False
2,shell_middle_tangential,near_post,low_to_high,21,0.4360407954422945,0.03612993382183484,0.3999108616204597,0.0,True
2,shell_middle_tangential,near_post,high_to_low,22,0.04983894347993808,0.041937141379771684,0.007901802100166395,1.0,False
2,shell_edge_tangential,near_pre,low_to_high,21,-0.2901815974079564,0.043939786780165704,-0.3341213841881221,0.05,True
2,shell_edge_tangential,near_pre,high_to_low,22,-0.03438995108594929,0.010840716871451415,-0.0452306679574007,0.775,False
2,shell_edge_tangential,near_post,low_to_high,21,0.22065112614875004,-0.017951577155050497,0.23860270330380054,0.025,True
2,shell_edge_tangential,near_post,high_to_low,22,-0.028296885747379152,0.010963083158768195,-0.039259968906147344,0.725,False
5,all_tangential,near_pre,low_to_high,48,-0.23595787647859567,0.012619073572576396,-0.24857695005117206,0.025,True
5,all_tangential,near_pre,high_to_low,45,0.2544403987054287,0.07802921948265742,0.1764111792227713,0.075,True
5,all_tangential,near_post,low_to_high,48,-0.03670894432922079,0.03051024122181214,-0.06721918555103293,0.5,False
5,all_tangential,near_post,high_to_low,45,-0.08255730146876476,0.005274695396007062,-0.08783199686477182,0.45,False
5,shell_edge_minus_core,near_pre,low_to_high,48,0.060864795129245,0.0019934874606669225,0.05887130766857808,0.6,False
5,shell_edge_minus_core,near_pre,high_to_low,45,0.06462318678942597,-0.03339117124316475,0.09801435803259072,0.55,False
5,shell_edge_minus_core,near_post,low_to_high,48,-0.2453930852777691,-0.011426407506281705,-0.23396667777148739,0.025,True
5,shell_edge_minus_core,near_post,high_to_low,45,0.007637874398363484,-0.009723402095257367,0.01736127649362085,0.925,False
5,shell_core_tangential,near_pre,low_to_high,48,-0.15981440179397738,-0.05355930604784358,-0.1062550957461338,0.35,False
5,shell_core_tangential,near_pre,high_to_low,45,0.1293790455647324,0.003007812040998068,0.12637123352373433,0.525,False
5,shell_core_tangential,near_post,low_to_high,48,0.1790299587111106,0.009325132041431549,0.16970482666967907,0.2,True
5,shell_core_tangential,near_post,high_to_low,45,-0.25582230374208903,-0.019131409161173937,-0.23669089458091508,0.15,True
5,shell_middle_tangential,near_pre,low_to_high,48,0.007023363471709886,-0.011727512074406749,0.018750875546116635,0.775,False
5,shell_middle_tangential,near_pre,high_to_low,45,0.5132321582768207,0.04950192337445161,0.4637302349023691,0.0,True
5,shell_middle_tangential,near_post,low_to_high,48,-0.15078513199198504,0.060668239357647306,-0.21145337134963235,0.15,True
5,shell_middle_tangential,near_post,high_to_low,45,-0.2280982161649828,0.030931278325007354,-0.25902949448999013,0.05,True
5,shell_edge_tangential,near_pre,low_to_high,48,-0.02489349644687968,0.0125375843951336,-0.037431080842013284,0.825,False
5,shell_edge_tangential,near_pre,high_to_low,45,0.17887050359813927,0.011112369224267393,0.16775813437387188,0.175,True
