variable,phase,n_ob_tested,mirror_symmetric_count,opposite_sign_imbalanced_count,low_to_high_dominant_count,high_to_low_dominant_count,same_direction_count,no_signed_gate_count,median_low_to_high_excess_z,median_high_to_low_excess_z,median_signed_separation_z,majority_signed_class,interpretation
all_tangential,near_pre,14,6,1,3,0,0,4,-0.2698817778237268,0.15125300754805382,-0.4639222266227779,no_majority_signed_class,signed response is heterogeneous across observations
all_tangential,near_post,14,3,0,4,4,0,3,0.18275256701236747,-0.1271413240576235,0.3063781328323934,no_majority_signed_class,signed response is heterogeneous across observations
shell_core_tangential,near_pre,14,3,0,4,1,2,4,-0.16771091792893764,0.10335148369425148,-0.2190600719579526,no_majority_signed_class,signed response is heterogeneous across observations
shell_core_tangential,near_post,14,5,0,6,0,1,2,0.2049246331797886,-0.0888162144911981,0.36704301402559825,no_majority_signed_class,signed response is heterogeneous across observations
shell_edge_minus_core,near_pre,14,0,0,3,2,1,8,-0.013456043035520846,-0.04715318027852747,0.04782132824654993,no_signed_gate,majority no signed event-type gate
shell_edge_minus_core,near_post,14,0,0,8,2,0,4,-0.07322984480555314,0.024840468334677956,-0.1410863441397434,low_to_high_dominant,majority low-to-high-dominant response
shell_edge_tangential,near_pre,14,3,2,4,4,0,1,-0.1868609831395635,0.15677601881639758,-0.39905570333487944,no_majority_signed_class,signed response is heterogeneous across observations
shell_edge_tangential,near_post,14,2,0,5,2,0,5,0.13825043566262218,-0.08157345908687061,0.286973169807126,no_majority_signed_class,signed response is heterogeneous across observations
shell_middle_tangential,near_pre,14,2,0,4,4,0,4,-0.1395867282201158,0.05908209632666039,-0.2752794914937676,no_majority_signed_class,signed response is heterogeneous across observations
shell_middle_tangential,near_post,14,3,0,6,3,1,1,0.18655916875588952,-0.14819484067730604,0.3451221070513012,no_majority_signed_class,signed response is heterogeneous across observations
