ob,sensitivity_family,sensitivity_id,k,lag_sec,prepost_sec,min_run_sec,n_events,source,b3_event_direction_abs_z,local_event_direction_abs_z,local_non_event_direction_abs_median_z,local_event_minus_non_event_direction_z,p_non_event_direction_ge_event,local_to_b3_direction_ratio,event_conditioned_local_gate,geometry_ladder_reading
1,baseline,baseline_k10_lag0p100_window0p200_minrun0p200,10,0.1,0.2,0.2,28,cached_4081c,0.7109644217572649,0.1735815504795457,0.2531896139131211,-0.0796080634335754,0.575,0.244149418968829,False,local_affine_largely_absorbs_b3_signal
1,baseline,baseline_k8_lag0p100_window0p200_minrun0p200,8,0.1,0.2,0.2,28,cached_4081c,0.7109644217572649,0.2645630210041784,0.222760581924595,0.04180243907958339,0.425,0.3721185096017429,False,inconclusive
1,scale_timing,scale_k10_lag0p100_window0p200_minrun0p200,10,0.1,0.2,0.2,28,cached_4081c,0.7109644217572649,0.1735815504795457,0.2531896139131211,-0.0796080634335754,0.575,0.244149418968829,False,local_affine_largely_absorbs_b3_signal
1,scale_timing,scale_k12_lag0p100_window0p200_minrun0p200,12,0.1,0.2,0.2,28,computed_4087,0.7109644217572649,0.09363109439834234,0.26903747830607155,-0.17540638390772922,0.775,0.13169589297720097,False,local_affine_largely_absorbs_b3_signal
1,scale_timing,scale_k6_lag0p100_window0p200_minrun0p200,6,0.1,0.2,0.2,28,computed_4087,0.7109644217572649,0.5121224471127146,0.24149036977726934,0.27063207733544525,0.125,0.7203207803942145,True,local_nonaffine_signal_survives_gate
1,scale_timing,scale_k8_lag0p100_window0p200_minrun0p200,8,0.1,0.2,0.2,28,cached_4081c,0.7109644217572649,0.2645630210041784,0.222760581924595,0.04180243907958339,0.425,0.3721185096017429,False,inconclusive
1,scale_timing,timing_k8_lag0p050_window0p200_minrun0p200,8,0.05,0.2,0.2,28,computed_4087,0.7109644217572649,0.1867483683906686,0.17676636687006092,0.009982001520607686,0.45,0.2626690769266477,False,local_affine_largely_absorbs_b3_signal
1,scale_timing,timing_k8_lag0p100_window0p200_minrun0p200,8,0.1,0.2,0.2,28,cached_4081c,0.7109644217572649,0.2645630210041784,0.222760581924595,0.04180243907958339,0.425,0.3721185096017429,False,inconclusive
1,scale_timing,timing_k8_lag0p150_window0p200_minrun0p200,8,0.15,0.2,0.2,28,computed_4087,0.7109644217572649,0.2823359437320763,0.16974267341971638,0.11259327031235994,0.275,0.3971168388908081,True,local_nonaffine_signal_survives_gate
1,state_definition,state_k8_lag0p100_window0p200_minrun0p150,8,0.1,0.2,0.15,33,computed_4087,0.7109644217572649,0.2746240486470072,0.28840115252176857,-0.013777103874761387,0.525,0.38626974886904875,False,local_nonaffine_not_event_conditioned
1,state_definition,state_k8_lag0p100_window0p200_minrun0p200,8,0.1,0.2,0.2,28,cached_4081c,0.7109644217572649,0.2645630210041784,0.222760581924595,0.04180243907958339,0.425,0.3721185096017429,False,inconclusive
1,state_definition,state_k8_lag0p100_window0p200_minrun0p250,8,0.1,0.2,0.25,26,computed_4087,0.7109644217572649,0.19064738530935055,0.23864269954620818,-0.04799531423685763,0.525,0.26815320074404614,False,local_affine_largely_absorbs_b3_signal
1,window,window_k8_lag0p100_window0p150_minrun0p200,8,0.1,0.15,0.2,28,computed_4087,0.7109644217572649,0.1962963077190284,0.19898144188154393,-0.0026851341625155345,0.525,0.2760986368823491,False,local_affine_largely_absorbs_b3_signal
1,window,window_k8_lag0p100_window0p200_minrun0p200,8,0.1,0.2,0.2,28,cached_4081c,0.7109644217572649,0.2645630210041784,0.222760581924595,0.04180243907958339,0.425,0.3721185096017429,False,inconclusive
1,window,window_k8_lag0p100_window0p300_minrun0p200,8,0.1,0.3,0.2,28,computed_4087,0.7109644217572649,0.03588659412645023,0.25165185527672,-0.21576526115026978,0.9,0.05047593526234497,False,local_affine_largely_absorbs_b3_signal
3,baseline,baseline_k10_lag0p100_window0p200_minrun0p200,10,0.1,0.2,0.2,40,cached_4081c,0.3002659313051579,0.1562503909167402,0.2716345322246405,-0.11538414130790031,0.725,0.5203733578350724,False,local_nonaffine_not_event_conditioned
3,baseline,baseline_k8_lag0p100_window0p200_minrun0p200,8,0.1,0.2,0.2,40,cached_4081c,0.3002659313051579,0.1207086288909481,0.3603277713240423,-0.2396191424330942,0.925,0.4020057432632039,False,local_nonaffine_not_event_conditioned
3,scale_timing,scale_k10_lag0p100_window0p200_minrun0p200,10,0.1,0.2,0.2,40,cached_4081c,0.3002659313051579,0.1562503909167402,0.2716345322246405,-0.11538414130790031,0.725,0.5203733578350724,False,local_nonaffine_not_event_conditioned
3,scale_timing,scale_k12_lag0p100_window0p200_minrun0p200,12,0.1,0.2,0.2,40,computed_4087,0.3002659313051579,0.14550974329200633,0.30001222210962475,-0.15450247881761842,0.775,0.4846029073612282,False,local_nonaffine_not_event_conditioned
3,scale_timing,scale_k6_lag0p100_window0p200_minrun0p200,6,0.1,0.2,0.2,40,computed_4087,0.3002659313051579,0.5186845004416629,0.2533538860615333,0.2653306143801296,0.2,1.7274170872037027,True,local_nonaffine_signal_survives_gate
