heldout_ob,target_family,target,n_train,n_test,mse_radius_baseline,mse_state_model,mse_shifted_state_model,incremental_r2_state_vs_radius,incremental_r2_shift_vs_radius,real_minus_shift_incremental_r2
1,first_moment,signed_tan_projection,206656,7040,27633.048599398935,27661.701628297546,27631.97013633535,-0.0010369116095005904,3.902801602606587e-05,-0.0010759396255266562
1,second_moment,log_tan_energy,206656,7040,2.098245696727482,2.101417399908752,2.0986754059868686,-0.0015115976104309592,-0.00020479453862676245,-0.0013068030718041967
2,first_moment,signed_tan_projection,204160,9536,22120.454554549186,22114.730038414793,22138.260292367326,0.00025878835899484365,-0.0008049444813273965,0.0010637328403222401
2,second_moment,log_tan_energy,204160,9536,2.1018467893021833,2.101527803202316,2.1022930687712402,0.00015176467737354482,-0.00021232730726539195,0.00036409198463893677
3,first_moment,signed_tan_projection,204096,9600,18277.372636067903,18292.184629183128,18276.912245728145,-0.0008104005652320723,2.5189087563326495e-05,-0.0008355896527953988
3,second_moment,log_tan_energy,204096,9600,1.9549874140162145,1.9569402166829706,1.9520166707521378,-0.0009988824750255532,0.001519571554669863,-0.002518454029695416
4,first_moment,signed_tan_projection,204096,9600,14933.793443619037,14943.243239267407,14950.584902181126,-0.0006327793192029141,-0.0011243933850755283,0.0004916140658726142
4,second_moment,log_tan_energy,204096,9600,2.015668280913702,2.0171859450900063,2.0174136127025313,-0.0007529335013478633,-0.0008658824496847739,0.0001129489483369106
5,first_moment,signed_tan_projection,204096,9600,14772.124190525921,14786.110262664215,14764.446827204576,-0.0009467881502962516,0.0005197196572629403,-0.001466507807559192
5,second_moment,log_tan_energy,204096,9600,2.167648266471978,2.1670874864588137,2.163964081047733,0.00025870433955466066,0.0016996232650979826,-0.001440918925543322
6,first_moment,signed_tan_projection,200960,12736,14744.2584716716,14748.079861758932,14751.573490704615,-0.00025917818075926746,-0.0004961266141034759,0.00023694843334420845
6,second_moment,log_tan_energy,200960,12736,2.13177104297716,2.1320682912442095,2.132234465317765,-0.00013943723836029598,-0.00021738842083052212,7.795118247022614e-05
7,first_moment,signed_tan_projection,207360,6336,22340.315296837365,22358.695983162026,22343.733918033184,-0.0008227585904869716,-0.00015302475145917427,-0.0006697338390277974
7,second_moment,log_tan_energy,207360,6336,1.9353369576630417,1.9369352536676472,1.935291857753708,-0.0008258489552823711,2.3303388670958824e-05,-0.00084915234395333
8,first_moment,signed_tan_projection,201536,12160,16420.54340448453,16445.59537981601,16431.04604077733,-0.0015256483731616033,-0.0006396034548974416,-0.0008860449182641617
8,second_moment,log_tan_energy,201536,12160,2.0413607902097737,2.045306427861924,2.0436019775853196,-0.0019328467907651081,-0.0010978889113058,-0.0008349578794593082
9,first_moment,signed_tan_projection,207360,6336,24089.714718985135,24088.830352030374,24095.042329125536,3.6711391773525115e-05,-0.00022115704575798034,0.00025786843753150546
9,second_moment,log_tan_energy,207360,6336,2.044285109462467,2.045226672441828,2.045353406495626,-0.00046058300527795915,-0.0005225773196773087,6.199431439934955e-05
10,first_moment,signed_tan_projection,204160,9536,23612.42612997333,23622.31762747452,23624.33607101731,-0.00041891068061983283,-0.0005043929403283354,8.548225970850254e-05
10,second_moment,log_tan_energy,204160,9536,2.020473669277627,2.02098604412678,2.0206418271749937,-0.00025359145082859413,-8.32269679746922e-05,-0.00017036448285390193
11,first_moment,signed_tan_projection,200960,12736,15416.473804597425,15423.953080695996,15406.888740346369,-0.00048514830261248143,0.0006217416753367955,-0.001106889977949277
11,second_moment,log_tan_energy,200960,12736,2.0672270323595336,2.067861821450804,2.065061996487512,-0.0003070727507592519,0.0010473140289533056,-0.0013543867797125575
12,first_moment,signed_tan_projection,200960,12736,25025.77897074271,25042.26308583191,25034.473215065984,-0.0006586853943075788,-0.0003474115364574537,-0.00031127385785012507
12,second_moment,log_tan_energy,200960,12736,1.9577024117338806,1.9605713212752787,1.95784571779802,-0.0014654472121005124,-7.32011480808481e-05,-0.0013922460640196643
13,first_moment,signed_tan_projection,200896,12800,22111.665098681333,22098.680290873184,22111.00361615596,0.0005872379013610596,2.9915545591951975e-05,0.0005573223557691076
13,second_moment,log_tan_energy,200896,12800,1.9392061414103796,1.9392992219683214,1.9380219676596102,-4.7999310622159896e-05,0.0006106487213928258,-0.0006586480320149857
14,first_moment,signed_tan_projection,200896,12800,22099.627267493415,22114.181154421436,22112.49538900698,-0.0006585580268780866,-0.0005822777623265551,-7.628026455153147e-05
14,second_moment,log_tan_energy,200896,12800,1.9567582942223778,1.958747294127832,1.9594963465227366,-0.0010164770535672218,-0.001399279772286377,0.00038280271871915517
15,first_moment,signed_tan_projection,200960,12736,19944.07723884336,19946.412319415023,19957.007654021254,-0.00011708140435362502,-0.0006483335891174224,0.0005312521847637974
15,second_moment,log_tan_energy,200960,12736,1.963360955347974,1.9632416449568026,1.963609588136829,6.0768444460679305e-05,-0.00012663631115694685,0.00018740475561762615
16,first_moment,signed_tan_projection,200960,12736,19723.7306569927,19741.76143141938,19722.648951827727,-0.0009141665306755531,5.4842827849510556e-05,-0.0009690093585250636
16,second_moment,log_tan_energy,200960,12736,1.9551171402050624,1.9563320309715013,1.9553301522552822,-0.0006213902693890105,-0.00010895104228758612,-0.0005124392271014244
17,first_moment,signed_tan_projection,200960,12736,23442.35215275499,23441.47708445922,23482.113379156508,3.7328519342572086e-05,-0.0016961278519505019,0.001733456371293074
17,second_moment,log_tan_energy,200960,12736,1.980800768379607,1.9815615936259046,1.9865778867076889,-0.00038409983398790537,-0.0029165569906397515,0.002532457156651846
18,first_moment,signed_tan_projection,200896,12800,25554.533183181204,25574.99436662865,25557.56364840314,-0.0008006870366512597,-0.00011858816595133881,-0.0006820988706999209
18,second_moment,log_tan_energy,200896,12800,2.0428402480829173,2.045137368012424,2.0436265649364476,-0.0011244736007440803,-0.000384913531181974,-0.0007395600695621063
19,first_moment,signed_tan_projection,194560,19136,27664.84828925108,27665.991267047903,27657.462503104474,-4.1315165905553286e-05,0.0002669736724880689,-0.0003082888383936222
19,second_moment,log_tan_energy,194560,19136,2.0606097629233533,2.0625007253753966,2.0593658409805897,-0.0009176713058762775,0.0006036669170191855,-0.001521338222895463
