ob,dataset,n,signed_highC_minus_lowC,log_energy_highC_minus_lowC,energy_highC_minus_lowC,coherence_highC_minus_lowC,median_C,q25_C,q75_C
1,Ob1.txt,7040,-10.758777424691601,-0.0679160224189399,-5473.233635534962,-0.002520951436288898,-0.0041097474676734,-0.5806055229372176,0.6123021485585788
2,Ob2.txt,9536,6.965689686988526,0.04240194698403599,3322.2399929888925,0.005041800462646021,0.0051224050657982,-0.6023623667212936,0.771219776020981
3,Ob3.txt,9600,6.382641020405259,0.0460405739386367,3269.3834157022284,0.0007980383703373103,0.0429312983542576,-0.6850057956848994,0.8833179649839202
4,Ob4.txt,9600,8.225961867101987,0.13181344930196914,3769.916222517939,0.010921302460736877,0.043438816553906204,-0.5591582537389767,0.7215456073502146
5,Ob5.txt,9600,-0.6598817858325958,0.00887661643808002,-266.0279973355391,0.017829709041785102,-0.13289662736590718,-0.7476610901677675,0.7927405951958173
6,Ob6.txt,12736,10.499171719930374,0.11992698498400856,2324.004004192844,0.0027163563198762813,-0.0247120692983182,-0.5745232229205851,0.5912416904005933
7,Ob7.txt,6336,1.516671886216301,-0.029221819954216244,1055.6399953792643,0.00028228425036087856,-0.0589600961840088,-0.590045664503961,0.926360997362315
8,Ob8.txt,12160,-1.9840444496253582,-0.10843499343640595,-2484.86778924345,0.019569652690629,-0.0712596116067084,-0.5820040592341574,0.8937808352283215
9,Ob9.txt,6336,-1.1737806391460595,0.08339338087115777,3366.0730117756975,-0.013629489642404964,-0.0883391150773248,-0.8694024013972739,0.6899423456593778
10,Ob10.txt,9536,6.06994291826669,0.11250451800245109,4586.531007826641,0.013527223839928245,-0.183349045489209,-0.6096602064248832,0.8524027511450185
11,Ob11.txt,12736,7.125925313426492,0.0075222036527140546,134.30295095298425,-0.012604376408149631,-0.0306397089983048,-0.5608362533513724,0.6640306568656148
12,Ob12.txt,12736,-4.62371391916929,-0.06711526442389015,-4462.40777507169,0.009526436745755602,-0.0309649201065913,-0.7085394255836284,0.8424183802357392
13,Ob13.txt,12800,11.123883305840906,0.08715062537429752,5812.508089185845,-0.0047399168967497685,0.05455650230612215,-0.7651273549840077,0.6532970869542333
14,Ob14.txt,12800,1.7713840712528963,0.011281939802811891,1489.315319866022,0.00017191457242015512,0.045119935009950596,-0.5712215571173489,0.680588071843014
15,Ob15.txt,12736,7.2554462961847435,0.14516970574559807,6033.632291772439,0.020039252497283135,-0.003498729909553,-0.510812471894182,0.7191096751493917
16,Ob16.txt,12736,7.58812880852679,0.05872433595201976,1588.2504048907722,-0.0007603231963902463,-0.0604990121299128,-0.6372675583274284,0.5630226226595804
17,Ob17.txt,12736,-2.6234852720395168,-0.02807857095599431,-1453.8283948933895,-0.0019544377860049728,0.0134553572463715,-0.5143431813780898,0.6958424771077869
18,Ob18.txt,12800,7.023214371049647,0.038577730877525696,4775.609774944889,-0.0028390952325442684,0.025090959019161002,-0.5846676144008742,0.8145999650425972
19,Ob19.txt,19136,5.07453384889169,0.018439134768474474,1282.0533236091069,0.015050035177503938,0.0949651291204696,-0.5280436824083417,0.7992556666063679
