target,covariate,left_out_ob,spearman_rho_loo,theil_sen_slope_loo
t1_effect_z,ob_index_proxy,1,0.6222910216718266,0.03246293525400239
t1_effect_z,ob_index_proxy,2,0.7275541795665634,0.036037091239087084
t1_effect_z,ob_index_proxy,3,0.6202270381836945,0.030355334079391703
t1_effect_z,ob_index_proxy,4,0.628482972136223,0.030515537291764882
t1_effect_z,ob_index_proxy,5,0.6326109391124871,0.031868303239963085
t1_effect_z,ob_index_proxy,6,0.6367389060887513,0.030515537291764882
t1_effect_z,ob_index_proxy,7,0.6243550051599587,0.03099735044399608
t1_effect_z,ob_index_proxy,8,0.6429308565531475,0.03099735044399608
t1_effect_z,ob_index_proxy,9,0.653250773993808,0.03246293525400239
t1_effect_z,ob_index_proxy,10,0.6449948400412797,0.031868303239963085
t1_effect_z,ob_index_proxy,11,0.6635706914344686,0.03246293525400239
t1_effect_z,ob_index_proxy,12,0.673890608875129,0.03260109512409464
t1_effect_z,ob_index_proxy,13,0.6449948400412797,0.031868303239963085
t1_effect_z,ob_index_proxy,14,0.653250773993808,0.03279725787081429
t1_effect_z,ob_index_proxy,15,0.6449948400412797,0.030515537291764882
t1_effect_z,ob_index_proxy,16,0.6470588235294118,0.031868303239963085
t1_effect_z,ob_index_proxy,17,0.7192982456140351,0.03456411940827475
t1_effect_z,ob_index_proxy,18,0.7192982456140351,0.03456411940827475
t1_effect_z,ob_index_proxy,19,0.6016511867905057,0.030355334079391703
t1_effect_z,early_ob_le_8,1,-0.7797804672456375,-0.4180773589529546
t1_effect_z,early_ob_le_8,2,-0.8456774081396351,-0.4591616101914001
t1_effect_z,early_ob_le_8,3,-0.7797804672456375,-0.3819248193293183
t1_effect_z,early_ob_le_8,4,-0.7797804672456375,-0.4180773589529546
t1_effect_z,early_ob_le_8,5,-0.7797804672456375,-0.4543027114052099
t1_effect_z,early_ob_le_8,6,-0.7797804672456375,-0.3921224203326941
t1_effect_z,early_ob_le_8,7,-0.7797804672456375,-0.4543027114052099
t1_effect_z,early_ob_le_8,8,-0.7797804672456375,-0.40623475304295853
t1_effect_z,early_ob_le_8,9,-0.7973446644531389,-0.4140938558257552
t1_effect_z,early_ob_le_8,10,-0.7973446644531389,-0.42810045677526537
t1_effect_z,early_ob_le_8,11,-0.7973446644531389,-0.4062606599960794
t1_effect_z,early_ob_le_8,12,-0.8188945202491696,-0.4414548070261345
t1_effect_z,early_ob_le_8,13,-0.7973446644531389,-0.4140938558257552
t1_effect_z,early_ob_le_8,14,-0.7973446644531389,-0.42810045677526537
t1_effect_z,early_ob_le_8,15,-0.7973446644531389,-0.4062606599960794
t1_effect_z,early_ob_le_8,16,-0.7973446644531389,-0.4140938558257552
t1_effect_z,early_ob_le_8,17,-0.8188945202491696,-0.45601788539084154
t1_effect_z,early_ob_le_8,18,-0.8188945202491696,-0.44959375464705115
t1_effect_z,early_ob_le_8,19,-0.7973446644531389,-0.4062606599960794
t1_effect_z,file_size_mb,1,0.14551083591331268,0.001795951308449912
t1_effect_z,file_size_mb,2,0.021671826625386997,0.0009539920057832216
t1_effect_z,file_size_mb,3,0.13106295149638802,0.001795951308449912
t1_effect_z,file_size_mb,4,0.05056759545923633,0.001113766533311574
t1_effect_z,file_size_mb,5,0.03199174406604747,0.0009539920057832216
t1_effect_z,file_size_mb,6,-0.03199174406604747,-0.0013220334332392073
t1_effect_z,file_size_mb,7,0.08152734778121776,0.0011847174767175201
t1_effect_z,file_size_mb,8,0.054695562435500514,0.001113766533311574
t1_effect_z,file_size_mb,9,0.07739938080495357,0.001113766533311574
t1_effect_z,file_size_mb,10,0.007223942208462332,0.0009313444814238391
t1_effect_z,file_size_mb,11,0.19917440660474717,0.002364593907133269
t1_effect_z,file_size_mb,12,0.0196078431372549,0.0011847174767175201
t1_effect_z,file_size_mb,13,0.054695562435500514,0.0009539920057832216
