target,covariate,covariate_family,n,spearman_rho,permutation_p_two_sided,theil_sen_slope,theil_sen_iqr_delta,loo_slope_min,loo_slope_max,loo_slope_sign_stability,interpretation
t1_effect_z,early_ob_le_8,observation_sequence_proxy,19,-0.7979614177655611,0.00024998750062496874,-0.42283568492821316,-0.42283568492821316,-0.4591616101914001,-0.3819248193293183,1.0,sequence proxy; not confirmed metadata
t1_effect_z,ob_index_proxy,observation_sequence_proxy,19,0.6543859649122807,0.0026998650067496625,0.03246293525400239,0.2921664172860215,0.030355334079391703,0.036037091239087084,1.0,sequence proxy; not confirmed metadata
t1_effect_z,median_dt_sec,raw_trajectory_quality,19,-0.3892494720807615,0.10764461776911155,nan,nan,nan,nan,nan,no strong association
t1_effect_z,duration_sec,raw_trajectory_quality,19,0.3644533814823151,0.12599370031498425,0.0024881725738750094,0.12440862869375047,0.0019482869883794582,0.003385877738688688,1.0,no strong association
t1_effect_z,n_frames,raw_trajectory_quality,19,0.35674071483618514,0.1325933703314834,2.348573198087427e-05,0.11826240338969238,1.90102496775293e-05,3.3237136631441337e-05,1.0,no strong association
t1_effect_z,median_raw_speed,raw_trajectory_quality,19,0.35789473684210527,0.1329433528323584,0.004668218285347848,0.1556472112748384,0.0036061849858039516,0.005931213100526653,1.0,no strong association
t1_effect_z,median_track_span_sec,raw_trajectory_quality,19,0.34035087719298246,0.15159242037898105,0.24475798470263907,0.22272976607940131,0.15629145573476239,0.2953610472446027,1.0,no strong association
t1_effect_z,median_track_length_frames,raw_trajectory_quality,19,0.34035087719298246,0.151842407879606,0.002447579847026404,0.22272976607940276,0.0015629145573476267,0.002953610472446032,1.0,no strong association
t1_effect_z,q95_raw_speed,raw_trajectory_quality,19,0.32280701754385965,0.17494125293735313,0.0017613198883135379,0.07655260866522318,0.0014267311687856084,0.0027865883857106115,1.0,no strong association
t1_effect_z,n_events,event_structure,19,0.32045666433239195,0.17699115044247787,0.0026143298050178483,0.15947411810608875,0.0017424306045408105,0.002972503183474166,1.0,no strong association
t1_effect_z,median_swarm_radius,raw_trajectory_quality,19,0.18070175438596492,0.4602269886505675,0.0016348656428939428,0.050019655005451795,0.0007733393678706167,0.0027618978754573977,1.0,no strong association
t1_effect_z,unique_ids,raw_trajectory_quality,19,-0.1736842105263158,0.4774261286935653,-4.4869525017946605e-05,-0.11452946260830871,-5.646053883936555e-05,-3.2324159477162654e-05,1.0,no strong association
t1_effect_z,median_prev_duration_sec,event_structure,19,0.13777974121461822,0.5673716314184291,0.5481379323685455,0.06303586222237652,-0.029996561039835185,0.8798240588550357,0.8947368421052632,no strong association
t1_effect_z,swarm_radius_cv,raw_trajectory_quality,19,0.11403508771929824,0.6369181540922954,1.7555432346329924,0.0921606977637632,0.19563584787318625,2.7283880011568233,1.0,no strong association
t1_effect_z,event_rate_per_sec,event_structure,19,0.11228070175438597,0.6466676666166692,0.3603109611170122,0.07315321481485648,-0.20936441355674623,0.5864078689991874,0.8947368421052632,no strong association
