ob,dataset,metadata_available,recording_order_confirmed,ob_index_proxy,early_ob_le_8,t1_gate_any,t1_gate_k_values,t1_4088_class,t1_median_local_event_minus_non_event_z,t1_median_local_to_b3_ratio,t1_predefined_pass_fraction,scale_pass_fraction,timing_pass_fraction,failure_boundary_class,median_individuals_per_frame,median_raw_speed,median_swarm_radius,n_events,event_rate_per_sec,duration_sec,unique_ids,track_continuity_fraction
1,Ob1.txt,False,False,1,1,False,nan,fragile_narrow_setting_rescue,-0.018902812176996,0.3081339642852859,0.15384615384615385,nan,nan,fragile_narrow_setting_rescue,93.0,262.5952304307491,215.49543832993285,28,0.266742878917786,109.88,4588,1.0
2,Ob2.txt,False,False,2,1,True,"8,10",robust_survivor,0.3595533481787678,0.890504380495587,1.0,1.0,1.0,nan,69.0,249.61227325193727,204.91245991517968,43,0.3075822603719599,148.58,5242,1.0
3,Ob3.txt,False,False,3,1,False,nan,fragile_narrow_setting_rescue,-0.1775016418704972,0.4611895505491381,0.15384615384615385,nan,nan,fragile_narrow_setting_rescue,46.0,228.6210629863312,167.48557719134504,40,0.2731494127287626,149.89,4228,1.0
4,Ob4.txt,False,False,4,1,True,10,fragile_survivor,0.0384929074301147,0.5666515091459132,0.2857142857142857,0.5,0.0,nan,30.0,210.2287657478368,144.32312208561316,58,0.4017176894306691,149.89,1054,1.0
5,Ob5.txt,False,False,5,1,True,"8,10",robust_survivor,0.1828365509568869,0.8399072463582962,1.0,1.0,1.0,nan,22.0,211.16815833357995,122.6774625293773,93,0.6322229775662814,149.89,639,1.0
6,Ob6.txt,False,False,6,1,False,nan,stable_failure_under_predefined_sensitivity,-0.1298789351925797,37.25323411707858,0.0,nan,nan,stable_failure_under_predefined_sensitivity,18.0,202.52079479648503,106.95947850660022,112,0.5697136171727961,199.9,711,1.0
7,Ob7.txt,False,False,7,1,True,"8,10",robust_survivor,0.1723070072627825,1.096657561758254,1.0,1.0,1.0,nan,58.0,252.3295014342197,191.80672623154192,33,0.3588907014681892,99.91,2688,1.0
8,Ob8.txt,False,False,8,1,False,nan,stable_failure_under_predefined_sensitivity,-0.0912807042528876,1.605223127920028,0.0,nan,nan,stable_failure_under_predefined_sensitivity,27.0,217.06662263112676,156.55892260978084,84,0.4537842363999783,189.88,2639,1.0
9,Ob9.txt,False,False,9,0,True,"8,10",robust_survivor,0.4660869183335864,2.1000030105476,1.0,1.0,1.0,nan,49.0,256.12883314652413,176.13723618199467,36,0.3826123923902646,99.88,2239,1.0
10,Ob10.txt,False,False,10,0,True,"8,10",robust_survivor,0.3630220071523223,1.2016592501472534,0.8571428571428571,1.0,0.6666666666666666,nan,71.0,252.5351639840896,191.4155629838305,36,0.2559908981014008,149.89999999999998,3937,1.0
11,Ob11.txt,False,False,11,0,True,"8,10",robust_survivor,0.6009139099098415,1.7236640449872536,1.0,1.0,1.0,nan,14.0,220.84234329141097,104.16435127658568,119,0.6048284625158831,199.89,277,1.0
12,Ob12.txt,False,False,12,0,True,"8,10",robust_survivor,0.3150058626963127,2.8147048513187034,1.0,1.0,1.0,nan,19.0,282.597388149643,170.5319878229808,91,0.4853333333333333,199.89,1126,1.0
13,Ob13.txt,False,False,13,0,True,"8,10",robust_survivor,0.5170077474316798,1.506262646370737,1.0,1.0,1.0,nan,27.0,256.0453288520679,168.01922433850916,102,0.529595015576324,199.88,1042,1.0
14,Ob14.txt,False,False,14,0,True,"8,10",robust_survivor,0.3732196081556981,0.98397196375796,1.0,1.0,1.0,nan,54.0,248.9386227552687,204.60201310786184,47,0.2527833055450976,199.88,5112,1.0
15,Ob15.txt,False,False,15,0,True,"8,10",robust_survivor,0.6945112791469481,1.5299957823112518,1.0,1.0,1.0,nan,21.0,250.01683336927536,175.29970365070727,96,0.4860267314702308,199.89,740,1.0
16,Ob16.txt,False,False,16,0,True,"8,10",robust_survivor,0.5399288387509131,2.276689877044048,1.0,1.0,1.0,nan,34.0,250.28103265920893,160.51148756159608,84,0.4355716878402904,199.89,1222,1.0
17,Ob17.txt,False,False,17,0,True,"8,10",robust_survivor,0.2287331111724613,2.002995583746951,0.8571428571428571,0.75,1.0,nan,15.0,262.9826329208307,161.1434426628924,122,0.6214027402842153,199.9,202,1.0
18,Ob18.txt,False,False,18,0,True,"8,10",robust_survivor,0.280231417505976,0.6995143632483813,1.0,1.0,1.0,nan,19.0,260.0183491505909,156.39353053552696,103,0.5429339518212009,199.88,780,1.0
19,Ob19.txt,False,False,19,0,True,"8,10",robust_survivor,0.641998161148287,1.5296422486565038,1.0,1.0,1.0,nan,29.0,283.75713506623674,182.7280409118349,143,0.4809470958194597,299.9,1081,1.0
