ob,dataset,n_frames,t_min,t_max,dt_median,spectral_set_nonnull_fraction,density_rms_z3045_finite_fraction,density_rms_smooth3045_finite_fraction,dCdt_finite_fraction,C_primary,dCdt_source
1,Ob1.txt,10989,0.07,109.95,0.009999999999999787,1.0,1.0,1.0,1.0,density_rms_z3045,"gradient(density_rms_smooth3045, t)"
2,Ob2.txt,14859,0.07,148.65,0.009999999999999787,1.0,1.0,1.0,1.0,density_rms_z3045,"gradient(density_rms_smooth3045, t)"
3,Ob3.txt,14990,0.06,149.95,0.009999999999999787,1.0,1.0,1.0,1.0,density_rms_z3045,"gradient(density_rms_smooth3045, t)"
4,Ob4.txt,14952,0.06,149.95,0.009999999999999787,1.0,1.0,1.0,1.0,density_rms_z3045,"gradient(density_rms_smooth3045, t)"
5,Ob5.txt,14957,0.06,149.95,0.009999999999999787,1.0,1.0,1.0,1.0,density_rms_z3045,"gradient(density_rms_smooth3045, t)"
6,Ob6.txt,19991,0.05,199.95,0.00999999999999801,1.0,0.9999499774898705,1.0,1.0,density_rms_z3045,"gradient(density_rms_smooth3045, t)"
7,Ob7.txt,9992,0.04,99.95,0.009999999999999787,1.0,0.9998999199359487,1.0,1.0,density_rms_z3045,"gradient(density_rms_smooth3045, t)"
8,Ob8.txt,18989,0.07,189.95,0.00999999999999801,1.0,1.0,1.0,1.0,density_rms_z3045,"gradient(density_rms_smooth3045, t)"
9,Ob9.txt,9949,0.07,99.95,0.009999999999999787,1.0,0.9982912855563373,1.0,1.0,density_rms_z3045,"gradient(density_rms_smooth3045, t)"
10,Ob10.txt,14991,0.05,149.95,0.009999999999999787,1.0,0.9999332933093189,1.0,1.0,density_rms_z3045,"gradient(density_rms_smooth3045, t)"
11,Ob11.txt,19990,0.06,199.95,0.00999999999999801,1.0,0.9999499749874937,1.0,1.0,density_rms_z3045,"gradient(density_rms_smooth3045, t)"
12,Ob12.txt,19990,0.06,199.95,0.00999999999999801,1.0,0.9999499749874937,1.0,1.0,density_rms_z3045,"gradient(density_rms_smooth3045, t)"
13,Ob13.txt,19989,0.07,199.95,0.00999999999999801,1.0,1.0,1.0,1.0,density_rms_z3045,"gradient(density_rms_smooth3045, t)"
14,Ob14.txt,19989,0.07,199.95,0.00999999999999801,1.0,1.0,1.0,1.0,density_rms_z3045,"gradient(density_rms_smooth3045, t)"
15,Ob15.txt,19990,0.06,199.95,0.00999999999999801,1.0,0.9999499749874937,1.0,1.0,density_rms_z3045,"gradient(density_rms_smooth3045, t)"
16,Ob16.txt,19990,0.06,199.95,0.00999999999999801,1.0,0.9999499749874937,1.0,1.0,density_rms_z3045,"gradient(density_rms_smooth3045, t)"
17,Ob17.txt,19991,0.05,199.95,0.00999999999999801,1.0,0.9999499774898705,1.0,1.0,density_rms_z3045,"gradient(density_rms_smooth3045, t)"
18,Ob18.txt,19989,0.07,199.95,0.00999999999999801,1.0,1.0,1.0,1.0,density_rms_z3045,"gradient(density_rms_smooth3045, t)"
19,Ob19.txt,29991,0.05,299.95,0.00999999999999801,1.0,0.9999666566636658,1.0,1.0,density_rms_z3045,"gradient(density_rms_smooth3045, t)"
