ob,dataset,n_events_acceptable,median_event_A_pre_z,median_control_A_pre_z,median_delta_A_pre_z,mean_delta_A_pre_z,fraction_positive_delta,median_best_match_distance
1,Ob1.txt,27,0.0494149370490527,0.1527658687520633,-0.03288737643286521,0.030697330329131294,0.48148148148148145,0.1929448152502259
2,Ob2.txt,43,0.18982058683785202,0.1307267085860461,0.0966745370438774,0.2343204481654057,0.5813953488372093,0.20368284471322845
3,Ob3.txt,40,-0.0471035364362909,-0.014565027430338249,-0.09390411029255225,-0.048471616683917106,0.4,0.14756045037308982
4,Ob4.txt,55,-0.15606780387183244,0.3214579943774219,-0.3365096642605071,-0.3072907553547051,0.36363636363636365,0.16510780854207982
5,Ob5.txt,92,0.08490085330743966,-0.0903183358285264,-0.058046890192162644,0.10086391689727449,0.4673913043478261,0.1823535694393012
6,Ob6.txt,112,-0.03527848428491992,-0.10551535093727821,0.032014345775031844,0.06714136622273721,0.5267857142857143,0.14705436761558022
7,Ob7.txt,33,0.0220064377095133,-0.1319095155925943,0.05558850353658984,0.18317097798784027,0.5454545454545454,0.21873878742836148
8,Ob8.txt,83,-0.1450180569504121,0.0139685591833645,-0.1387961317162235,-0.11255440025434389,0.4578313253012048,0.13842050584731672
9,Ob9.txt,36,0.1297203485240224,0.2760614342824414,-0.1619261068871316,-0.06975099950976923,0.4722222222222222,0.2860896521082157
10,Ob10.txt,36,-0.010668971004920404,0.0026366022189022002,0.05903183211903664,-0.04995773892902268,0.5277777777777778,0.12977167899344255
11,Ob11.txt,115,0.014125219170846248,-0.0472594144954039,0.0606737061297887,0.08462782968119405,0.5130434782608696,0.14609216011376602
12,Ob12.txt,87,-0.1008260668311686,0.0814743467495325,-0.19152590897166838,-0.1774284245603294,0.3793103448275862,0.21805204136742368
13,Ob13.txt,96,0.0452478481354002,-0.0563021122514077,0.1881699354688646,0.13854834022566137,0.59375,0.18941804954231842
14,Ob14.txt,47,0.006741392051800799,0.0179488651085031,-0.1609211548290851,-0.11702411314041188,0.44680851063829785,0.14300672098728723
15,Ob15.txt,93,-0.0888161304911971,0.1168748669529095,-0.30097760183078975,-0.10771828147790802,0.40860215053763443,0.17697625543683618
16,Ob16.txt,83,-0.03480873809762275,-0.046749023107078,0.05874384172357061,-0.01961983464845777,0.5421686746987951,0.1378730955913265
17,Ob17.txt,120,-0.07443163774384434,0.0270704994267131,0.0874294113740729,0.08030770398085853,0.525,0.17436804697178482
18,Ob18.txt,100,0.04015926534103403,0.1552022298813749,-0.018017274107695526,-0.05346342964921278,0.49,0.21727915256920907
19,Ob19.txt,143,-0.0603222469839245,-0.0399103829817364,-0.08571189273720592,-0.03360099812675699,0.44755244755244755,0.13975842432759794
