shift_rep,n_events_acceptable,n_obs_usable,median_ob_delta_A_pre_z,mean_ob_delta_A_pre_z,obs_positive_fraction,total_acceptable_fraction
0,700,19,0.00839255527368582,0.030250447204529442,0.5263157894736842,0.47586675730795375
1,703,19,-0.10660815254280631,-0.08648955035337805,0.2631578947368421,0.477906186267845
2,704,19,0.07893752356852013,0.02696081026638791,0.5263157894736842,0.4785859959211421
3,749,19,-0.0138198713608986,0.04711165287827174,0.47368421052631576,0.5091774303195106
4,724,19,0.10706900675931286,0.07906838277736944,0.5789473684210527,0.4921821889870836
5,730,19,-0.1038797080668121,-0.08718804447553084,0.2631578947368421,0.49626104690686607
6,708,19,0.1428666869163857,0.1483694785688262,0.8947368421052632,0.4813052345343304
7,690,19,0.024653264735987154,-0.0028012245408680345,0.5789473684210527,0.469068660774983
8,731,19,0.04487041598860325,0.049434082571949006,0.6842105263157895,0.4969408565601632
9,722,19,0.06389936343335562,0.001337459456353189,0.631578947368421,0.4908225696804895
10,711,19,-0.06088643400150412,-0.008056932822346144,0.47368421052631576,0.4833446634942216
11,737,19,-0.028993316493204635,-0.0007634313165356034,0.47368421052631576,0.5010197144799456
12,717,19,0.10338652162722299,0.053934115708368986,0.7368421052631579,0.4874235214140041
13,755,19,0.10692099273911099,0.053405834096662295,0.7894736842105263,0.513256288239293
14,732,19,0.02650425497107134,0.029575844415669475,0.5789473684210527,0.49762066621346024
15,718,19,0.018831210842937374,0.028435261803401356,0.5263157894736842,0.48810333106730114
16,663,19,-0.04809933593622434,-0.07835093820730536,0.2631578947368421,0.4507138001359619
17,689,19,-0.03308372927544179,-0.022119014519095866,0.47368421052631576,0.46838885112168593
18,707,19,-0.035786036185567194,-0.03524728153915064,0.3684210526315789,0.4806254248810333
19,696,19,0.0063193879087607985,-0.0025563468833959533,0.5263157894736842,0.47314751869476546
20,709,19,0.07660935996420823,0.02791429961385343,0.6842105263157895,0.48198504418762744
21,718,19,0.05130893302792969,0.028184325571362148,0.5789473684210527,0.48810333106730114
22,746,19,0.11165891352496954,0.049413123460058384,0.5263157894736842,0.5071380013596193
23,705,19,-0.03163104713793491,-0.04439927348367919,0.42105263157894735,0.47926580557443915
24,713,19,-0.055406851730438966,-0.01371170440504545,0.42105263157894735,0.4847042828008158
25,719,19,0.003143591535701845,-0.016183200430875545,0.5263157894736842,0.48878314072059825
26,709,19,-0.0692977566153491,-0.05821017334433226,0.3684210526315789,0.48198504418762744
27,718,19,-0.021936033034984093,0.010714774019022929,0.42105263157894735,0.48810333106730114
28,714,19,0.06947971983237898,0.0553252705697498,0.631578947368421,0.48538409245411285
29,690,19,-0.01660675794458559,-0.01696773172792352,0.42105263157894735,0.469068660774983
30,693,19,-0.002181849577620354,0.014739875213741867,0.47368421052631576,0.4711080897348742
31,720,19,0.06115415701844343,0.015113544577814336,0.631578947368421,0.4894629503738953
32,703,19,-0.028865840053318867,0.007640880413113748,0.42105263157894735,0.477906186267845
33,693,19,0.07062204691523866,0.04183559341402374,0.5263157894736842,0.4711080897348742
34,714,19,-0.04196477957829661,-0.02577100333087401,0.47368421052631576,0.48538409245411285
35,729,19,0.004376147878086892,-0.05875447468397446,0.5263157894736842,0.495581237253569
36,696,19,-0.04780795537051183,-0.03469636047593596,0.47368421052631576,0.47314751869476546
37,709,19,0.039777677440625374,0.031560627857022586,0.5263157894736842,0.48198504418762744
38,702,19,0.025081556731082297,-0.029637098110612863,0.5789473684210527,0.4772263766145479
39,701,19,-0.030281640503817098,-0.0038716414569208786,0.47368421052631576,0.47654656696125086
40,721,19,-0.08512067298885298,-0.05740955759119318,0.2631578947368421,0.49014276002719237
41,715,19,0.07227551413146,0.05443097617740186,0.6842105263157895,0.4860639021074099
42,704,19,0.04478135504920923,0.010248997698266385,0.631578947368421,0.4785859959211421
43,721,19,-0.027173830902095297,-0.016761363177223532,0.47368421052631576,0.49014276002719237
44,726,19,-0.06998914199541209,-0.052266119273610724,0.47368421052631576,0.4935418082936778
45,696,19,-0.06715813836048051,-0.06499560178990169,0.42105263157894735,0.47314751869476546
46,716,19,-0.05810926576617769,-0.0031175061115504715,0.47368421052631576,0.486743711760707
47,747,19,0.025218959603783238,0.038446482989238785,0.5789473684210527,0.5078178110129163
48,724,19,-0.03706920344196975,-0.013296577477350632,0.3684210526315789,0.4921821889870836
49,700,19,0.02708201881308216,0.07319032442294665,0.6842105263157895,0.47586675730795375
50,741,19,0.016420932773188346,-0.009680327501570914,0.5263157894736842,0.5037389530931339
51,704,19,0.018061554987201703,0.0065678353837405395,0.5789473684210527,0.4785859959211421
52,675,19,-0.025232076225912448,0.009574001883480855,0.47368421052631576,0.45887151597552683
53,715,19,0.05676028393067675,0.05039642146408406,0.5789473684210527,0.4860639021074099
54,710,19,0.0862853773082579,0.11536978549460376,0.8421052631578947,0.48266485384092456
55,717,19,-0.09954313521118174,-0.061139570700157464,0.42105263157894735,0.4874235214140041
56,708,19,-0.009311291033043637,0.01064644285965652,0.47368421052631576,0.4813052345343304
57,685,19,-0.03220982981599496,-0.01099193739097861,0.47368421052631576,0.46566961250849764
58,679,19,0.01451877277247144,0.03443423573251161,0.631578947368421,0.4615907545887152
59,734,19,0.02418454056805336,0.028139361354215738,0.5263157894736842,0.4989802855200544
60,712,19,-0.012383684159455344,-0.022952013198024316,0.42105263157894735,0.4840244731475187
61,705,19,-0.039851551004940255,0.0579739251754927,0.47368421052631576,0.47926580557443915
62,683,19,-0.005984523653765783,0.018657515950436954,0.42105263157894735,0.46430999320190347
63,717,19,-0.05661581398234072,-0.05050099802197377,0.47368421052631576,0.4874235214140041
64,699,19,-0.0639025251061407,-0.022344781006169125,0.42105263157894735,0.4751869476546567
65,699,19,0.07137457335989428,0.06412908393895239,0.6842105263157895,0.4751869476546567
66,700,19,0.05751721726174233,0.018484774732077554,0.5789473684210527,0.47586675730795375
67,720,19,0.05138634503551309,0.05818779806642599,0.631578947368421,0.4894629503738953
68,729,19,0.031078307948586757,0.03604595739797851,0.5789473684210527,0.495581237253569
69,697,19,0.0046155700977648095,0.03421076666031764,0.5789473684210527,0.4738273283480625
70,671,19,0.05735332216017877,0.06001443484197782,0.631578947368421,0.45615227736233854
71,717,19,0.032591694443731195,-0.025302193814569416,0.5263157894736842,0.4874235214140041
72,731,19,-0.044528527680034846,0.006922531305506156,0.42105263157894735,0.4969408565601632
73,734,19,-0.05155940933746614,-0.072053241913191,0.3157894736842105,0.4989802855200544
74,693,19,-0.0477191536807251,0.01272004221743557,0.42105263157894735,0.4711080897348742
75,684,19,0.051741392178091566,0.028084904295707546,0.631578947368421,0.46498980285520053
76,670,19,0.017374826219539785,0.03381836776546908,0.5789473684210527,0.4554724677090415
77,680,19,0.046732509931867464,0.05831790005253473,0.631578947368421,0.46227056424201224
78,723,19,0.08534800615214037,0.035938772151556886,0.5789473684210527,0.49150237933378654
79,684,19,0.03240438516541641,0.03436435423709017,0.5789473684210527,0.46498980285520053
