ob,dataset,lag_sec,n_events,event_median_A_z,control_median_A_z,delta_median_A_z
1,Ob1.txt,-0.5,27,-0.1328823712861613,-0.0008755338571982,-0.13200683742896308
1,Ob1.txt,-0.4,27,-0.1657334747743247,-0.3203399200327184,0.15460644525839368
1,Ob1.txt,-0.3,27,-0.0968017754130302,0.3660705877382758,-0.462872363151306
1,Ob1.txt,-0.2,27,0.1424525481488109,0.3764286459717837,-0.23397609782297282
1,Ob1.txt,-0.1,27,-0.0681084906377793,-0.0533609067240426,-0.014747583913736692
1,Ob1.txt,-0.0,27,-0.2417787853739005,0.092342534249246,-0.3341213196231465
1,Ob1.txt,0.1,27,-0.0786265335312865,-0.2149126743220812,0.1362861407907947
1,Ob1.txt,0.2,27,0.1480527369634641,0.5873770268627982,-0.43932428989933414
1,Ob1.txt,0.3,27,-0.0786265335312865,0.560491418321018,-0.6391179518523045
1,Ob1.txt,0.4,27,0.1321496496036913,-0.4401761898648247,0.572325839468516
1,Ob1.txt,0.5,27,0.8055473698766878,0.0335263178206744,0.7720210520560135
2,Ob2.txt,-0.5,43,0.3106031514353183,-0.0682048933180868,0.3788080447534051
2,Ob2.txt,-0.4,43,0.0910265520294865,0.0383383628082477,0.052688189221238795
2,Ob2.txt,-0.3,43,0.1708174194558811,-0.2667573734191583,0.4375747928750394
2,Ob2.txt,-0.2,43,0.1377747950407491,-0.0158927122421783,0.1536675072829274
2,Ob2.txt,-0.1,43,0.2183019998262971,-0.2432791825286629,0.46158118235496004
2,Ob2.txt,-0.0,43,-0.0117214573012844,0.2958852453411716,-0.307606702642456
2,Ob2.txt,0.1,43,-0.0521966435470821,0.4250121837330448,-0.47720882728012687
2,Ob2.txt,0.2,43,0.3930592830650645,0.4569182054523035,-0.063858922387239
2,Ob2.txt,0.3,43,0.1922201959750362,-0.0845324063826669,0.2767526023577031
2,Ob2.txt,0.4,43,0.1121968459107471,-0.0158927122421783,0.12808955815292541
2,Ob2.txt,0.5,43,-0.2666819133458949,-0.4473240944914665,0.18064218114557157
3,Ob3.txt,-0.5,39,-0.1448596445192947,-0.1612970480492818,0.0164374035299871
3,Ob3.txt,-0.4,40,-0.044179870379305,0.022289801714997698,-0.0664696720943027
3,Ob3.txt,-0.3,40,-0.46736531770542267,0.0546482736514604,-0.5220135913568831
3,Ob3.txt,-0.2,40,0.0301402868577847,0.1407205384406547,-0.11058025158287002
3,Ob3.txt,-0.1,40,-0.06371828630240205,0.2920652882343333,-0.35578357453673537
3,Ob3.txt,-0.0,40,-0.027486789313070248,0.1004628556969694,-0.12794964501003964
3,Ob3.txt,0.1,40,-0.0014599858199856493,-0.0511185947303663,0.04965860891038065
3,Ob3.txt,0.2,40,-0.1353315300606295,-0.257573458156487,0.12224192809585752
3,Ob3.txt,0.3,40,0.0031601335377344,-0.2749545231668621,0.2781146567045965
3,Ob3.txt,0.4,40,-0.0057343100017514005,-0.49715507168480566,0.49142076168305426
