ob,dataset,n_events_total,n_events_with_window,n_events_with_any_match,n_events_acceptable,acceptable_event_fraction,median_best_match_distance,median_abs_std_diff_C,median_abs_std_diff_dCdt,median_abs_std_diff_R,n_control_candidates
1,Ob1.txt,28,28,28,27,0.9642857142857143,0.1946256501429255,0.055456143349179136,0.11116986816177277,0.07539514910389894,740
2,Ob2.txt,43,43,43,43,1.0,0.20368284471322845,0.09331666064051111,0.06596889080050206,0.06910273083863283,929
3,Ob3.txt,40,40,40,40,1.0,0.14756045037308982,0.08048079287917691,0.07526505970806013,0.0483759398115608,991
4,Ob4.txt,58,58,58,55,0.9482758620689655,0.16894177376358704,0.06469869773536124,0.06201335610990145,0.08231192229971324,847
5,Ob5.txt,93,93,93,92,0.989247311827957,0.18307689726801182,0.08728504645911639,0.08387213622232359,0.06940105878816427,512
6,Ob6.txt,112,112,112,112,1.0,0.14705436761558022,0.056674634424043635,0.060144452222360104,0.07852461639455177,850
7,Ob7.txt,33,33,33,33,1.0,0.21873878742836148,0.10008282696691395,0.0744742534069955,0.08990707285060695,576
8,Ob8.txt,84,84,84,83,0.9880952380952381,0.1400287878692208,0.05512569718253926,0.05878280876706901,0.0607960055665725,952
9,Ob9.txt,37,36,36,36,0.972972972972973,0.2860896521082157,0.09310071467084506,0.17722598840416987,0.11055041383539987,577
10,Ob10.txt,36,36,36,36,1.0,0.12977167899344255,0.07249850418537684,0.0665084480713789,0.05390814512565968,1058
11,Ob11.txt,119,119,119,115,0.9663865546218487,0.15854128996182826,0.03915720661113615,0.06899701767111843,0.06956104208161906,779
12,Ob12.txt,91,91,91,87,0.9560439560439561,0.2325053354638447,0.10234577728273897,0.08596658377430277,0.10157143806068691,990
13,Ob13.txt,102,102,102,96,0.9411764705882353,0.1949057323545636,0.08577003327683766,0.07326622137865207,0.0980758186853247,895
14,Ob14.txt,47,47,47,47,1.0,0.14300672098728723,0.07797772954000376,0.046856230827944684,0.08061442066136854,1421
15,Ob15.txt,96,96,96,93,0.96875,0.18382994909803968,0.07999924921542725,0.0892126386408329,0.09185521972421695,931
16,Ob16.txt,84,84,84,83,0.9880952380952381,0.13952360991178014,0.0757534715976908,0.050776558017807505,0.07233787656307403,1052
17,Ob17.txt,122,122,122,120,0.9836065573770492,0.17630717293908968,0.0754137746332638,0.07759520718160293,0.07900781640434695,781
18,Ob18.txt,103,103,103,100,0.970873786407767,0.2180808041204545,0.09406218141922973,0.10938941377877309,0.0806100869901134,912
19,Ob19.txt,143,143,143,143,1.0,0.13975842432759794,0.07424018168650423,0.06553605306059018,0.06616887515521633,1378
