ob,dataset,t,n_focals,neighbor_slots,unique_neighbors,neighbor_overlap_ratio,max_memberships_per_neighbor,fraction_multimembership_neighbors
1,Ob1.txt,0.07,24,192,66,2.909090909090909,7,0.7878787878787878
1,Ob1.txt,0.17,24,192,73,2.6301369863013697,6,0.7945205479452054
1,Ob1.txt,0.27,24,192,76,2.526315789473684,6,0.7105263157894737
1,Ob1.txt,0.37,24,192,79,2.430379746835443,6,0.6835443037974683
1,Ob1.txt,0.47,24,192,74,2.5945945945945947,7,0.8648648648648649
1,Ob1.txt,0.57,24,192,74,2.5945945945945947,5,0.8108108108108109
1,Ob1.txt,0.67,24,192,77,2.493506493506493,7,0.7012987012987013
1,Ob1.txt,0.77,24,192,65,2.953846153846154,7,0.8153846153846154
1,Ob1.txt,0.87,24,192,75,2.56,7,0.7333333333333333
1,Ob1.txt,0.97,24,192,76,2.526315789473684,7,0.7368421052631579
1,Ob1.txt,1.07,24,192,74,2.5945945945945947,6,0.7972972972972973
1,Ob1.txt,1.17,24,192,72,2.6666666666666665,6,0.7361111111111112
1,Ob1.txt,1.27,24,192,73,2.6301369863013697,7,0.7808219178082192
1,Ob1.txt,1.37,24,192,73,2.6301369863013697,8,0.6986301369863014
1,Ob1.txt,1.47,24,192,79,2.430379746835443,7,0.6582278481012658
1,Ob1.txt,1.57,24,192,69,2.782608695652174,7,0.7101449275362319
1,Ob1.txt,1.67,24,192,75,2.56,6,0.7333333333333333
1,Ob1.txt,1.77,24,192,77,2.493506493506493,6,0.7012987012987013
1,Ob1.txt,1.87,24,192,80,2.4,6,0.7
1,Ob1.txt,1.97,24,192,79,2.430379746835443,6,0.6455696202531646
1,Ob1.txt,2.07,24,192,78,2.4615384615384617,8,0.5897435897435898
1,Ob1.txt,2.17,24,192,75,2.56,5,0.8266666666666667
1,Ob1.txt,2.27,24,192,81,2.3703703703703702,6,0.7777777777777778
1,Ob1.txt,2.37,24,192,80,2.4,6,0.6625
1,Ob1.txt,2.47,24,192,80,2.4,7,0.7625
1,Ob1.txt,2.57,24,192,79,2.430379746835443,6,0.7215189873417721
1,Ob1.txt,2.67,24,192,77,2.493506493506493,6,0.7142857142857143
1,Ob1.txt,2.77,24,192,78,2.4615384615384617,8,0.782051282051282
1,Ob1.txt,2.87,24,192,81,2.3703703703703702,9,0.7530864197530864
1,Ob1.txt,2.97,24,192,68,2.823529411764706,7,0.8529411764705882
1,Ob1.txt,3.07,24,192,73,2.6301369863013697,6,0.821917808219178
1,Ob1.txt,3.17,24,192,74,2.5945945945945947,7,0.7972972972972973
1,Ob1.txt,3.27,24,192,77,2.493506493506493,5,0.8051948051948052
1,Ob1.txt,3.37,24,192,73,2.6301369863013697,8,0.684931506849315
1,Ob1.txt,3.47,24,192,76,2.526315789473684,7,0.7763157894736842
1,Ob1.txt,3.57,24,192,80,2.4,6,0.725
1,Ob1.txt,3.67,24,192,77,2.493506493506493,7,0.7792207792207793
1,Ob1.txt,3.77,24,192,71,2.704225352112676,6,0.8169014084507042
1,Ob1.txt,3.87,24,192,73,2.6301369863013697,7,0.7397260273972602
1,Ob1.txt,3.97,24,192,78,2.4615384615384617,5,0.7564102564102564
1,Ob1.txt,4.07,24,192,75,2.56,7,0.7333333333333333
1,Ob1.txt,4.17,24,192,78,2.4615384615384617,8,0.7307692307692307
1,Ob1.txt,4.27,24,192,75,2.56,7,0.7466666666666667
1,Ob1.txt,4.37,24,192,73,2.6301369863013697,6,0.726027397260274
1,Ob1.txt,4.47,24,192,75,2.56,7,0.6933333333333334
1,Ob1.txt,4.57,24,192,75,2.56,6,0.7733333333333333
1,Ob1.txt,4.67,24,192,73,2.6301369863013697,6,0.8082191780821918
1,Ob1.txt,4.77,24,192,76,2.526315789473684,7,0.7105263157894737
1,Ob1.txt,4.87,24,192,73,2.6301369863013697,7,0.7808219178082192
1,Ob1.txt,4.97,24,192,76,2.526315789473684,8,0.631578947368421
1,Ob1.txt,5.07,24,192,72,2.6666666666666665,7,0.75
1,Ob1.txt,5.17,24,192,74,2.5945945945945947,7,0.7567567567567568
1,Ob1.txt,5.27,24,192,67,2.8656716417910446,7,0.8059701492537313
1,Ob1.txt,5.37,24,192,78,2.4615384615384617,5,0.6923076923076923
1,Ob1.txt,5.47,24,192,78,2.4615384615384617,6,0.782051282051282
1,Ob1.txt,5.57,24,192,71,2.704225352112676,7,0.704225352112676
1,Ob1.txt,5.67,24,192,80,2.4,7,0.725
1,Ob1.txt,5.77,24,192,76,2.526315789473684,7,0.6578947368421053
1,Ob1.txt,5.87,24,192,79,2.430379746835443,6,0.7848101265822784
1,Ob1.txt,5.97,24,192,83,2.3132530120481927,5,0.6746987951807228
1,Ob1.txt,6.07,24,192,78,2.4615384615384617,6,0.7051282051282052
1,Ob1.txt,6.17,24,192,83,2.3132530120481927,7,0.6867469879518072
1,Ob1.txt,6.27,24,192,82,2.341463414634146,5,0.7317073170731707
1,Ob1.txt,6.37,24,192,74,2.5945945945945947,7,0.7162162162162162
1,Ob1.txt,6.47,24,192,79,2.430379746835443,7,0.7468354430379747
1,Ob1.txt,6.57,24,192,77,2.493506493506493,8,0.7402597402597403
1,Ob1.txt,6.67,24,192,72,2.6666666666666665,8,0.7777777777777778
1,Ob1.txt,6.77,24,192,76,2.526315789473684,7,0.7894736842105263
1,Ob1.txt,6.87,24,192,81,2.3703703703703702,6,0.7901234567901234
1,Ob1.txt,6.97,24,192,77,2.493506493506493,7,0.7142857142857143
1,Ob1.txt,7.07,24,192,76,2.526315789473684,7,0.7368421052631579
1,Ob1.txt,7.17,24,192,75,2.56,6,0.7866666666666666
1,Ob1.txt,7.27,24,192,76,2.526315789473684,6,0.7105263157894737
