ob,dataset,n_sampled_frames,n_valid_frames,valid_frame_fraction,n_focal_activity_rows,duplicate_focal_frame_rows,median_focals_per_valid_frame,median_condition_number,median_activity_energy_median,median_activity_tangential_norm_median,median_neighbor_slots_per_frame,median_unique_neighbors_per_frame,median_neighbor_overlap_ratio,median_fraction_multimembership_neighbors
1,Ob1.txt,1098,1098,1.0,26352,0,24.0,2.1606644538795967,33599.80627328406,181.9318241213834,192.0,78.0,2.4615384615384617,0.7195121951219512
2,Ob2.txt,1485,1485,1.0,35640,0,24.0,2.2347826023513195,28241.255931632746,166.70372704162395,192.0,60.0,3.2,0.8169014084507042
3,Ob3.txt,1498,1498,1.0,35952,0,24.0,2.3438636590781496,24136.382489407908,154.25144916569744,192.0,41.0,4.682926829268292,0.9
4,Ob4.txt,1495,1494,0.9993311036789297,35849,0,24.0,2.6014577027797614,19025.056991758825,136.86483865937456,192.0,28.0,6.857142857142857,0.9310344827586208
5,Ob5.txt,1495,1494,0.9993311036789297,32679,0,22.0,2.5913048995917323,18266.35020254952,134.09839965541906,176.0,21.0,8.347826086956522,0.9565217391304348
6,Ob6.txt,1999,1998,0.9994997498749375,35552,0,18.0,2.6240381625835876,16885.798311126346,129.04449746831568,144.0,17.0,8.0,1.0
7,Ob7.txt,999,998,0.998998998998999,23952,0,24.0,2.2660737530443016,29371.679425150352,170.2140274787759,192.0,52.0,3.692307692307693,0.8571428571428571
8,Ob8.txt,1898,1898,1.0,44900,0,24.0,2.6620109206890907,20040.559662933872,140.4064688587843,192.0,25.0,7.68,0.9565217391304348
9,Ob9.txt,994,990,0.9959758551307847,23760,0,24.0,2.226598661294112,29798.15144798264,171.42290197805747,192.0,46.0,4.173913043478261,0.8952850877192983
10,Ob10.txt,1499,1498,0.9993328885923949,35952,0,24.0,2.1704501414777577,29924.717239729565,171.78119009009757,192.0,63.0,3.0476190476190474,0.8103448275862069
11,Ob11.txt,1998,1997,0.9994994994994995,28251,0,14.0,2.7597568283335305,19160.570082364076,137.45102307146453,112.0,14.0,8.0,1.0
12,Ob12.txt,1998,1997,0.9994994994994995,36584,0,18.0,2.428851587854828,34222.10037118671,183.691847893561,144.0,18.0,8.0,1.0
13,Ob13.txt,1998,1998,1.0,47587,0,24.0,2.342774421511041,29367.847699287813,170.1613073873588,192.0,27.0,7.111111111111111,0.9655172413793104
14,Ob14.txt,1998,1998,1.0,47952,0,24.0,2.2392776073073994,28170.691034491305,166.62024114272037,192.0,49.0,3.918367346938776,0.88
15,Ob15.txt,1998,1997,0.9994994994994995,39908,0,20.0,2.6840762096898345,26684.215661645772,162.09162198208998,160.0,20.0,8.0,0.9565217391304348
16,Ob16.txt,1998,1997,0.9994994994994995,47928,0,24.0,2.4095767826102414,27264.84634590337,163.85353661587288,192.0,32.0,6.0,0.9375
17,Ob17.txt,1999,1998,0.9994997498749375,29441,0,15.0,2.8342775052010984,28702.75517977302,168.09818682976402,120.0,15.0,8.0,1.0
18,Ob18.txt,1998,1998,1.0,37716,0,19.0,2.5784892813788503,29187.503556276293,169.65169975233243,152.0,18.0,8.0,1.0
19,Ob19.txt,2999,2998,0.9996665555185061,71849,0,24.0,2.405365745347101,35870.383416337514,187.971096360756,192.0,28.0,6.857142857142857,0.9629629629629628
