ob,dataset,n_events,n_controls,near_pre_event_median_z,near_pre_control_median_z,near_pre_event_minus_control_z,agg_vs_4084_pearson,agg_vs_4084_spearman,agg_vs_4084_n,qualitative_reproduction
1,Ob1.txt,28,560,0.05605008416700271,-0.12888521147486925,0.18493529564187197,nan,nan,0,event_profile_only_no_4084_reference
2,Ob2.txt,43,860,0.18982058683785202,-0.013320743106804245,0.20314132994465628,0.5708273191399668,0.5640283401247366,1485,weak_aggregate_consistency
3,Ob3.txt,40,800,-0.04710353643629092,0.12147896274071379,-0.1685824991770047,nan,nan,0,event_profile_only_no_4084_reference
4,Ob4.txt,58,1154,-0.1263799504919171,0.086036686620617,-0.2124166371125341,nan,nan,0,event_profile_only_no_4084_reference
5,Ob5.txt,93,1844,0.10576290942808768,-0.01280875871918941,0.11857166814727708,0.8979980781828182,0.8860075057300665,1494,aggregate_consistent_with_4084
6,Ob6.txt,112,2240,-0.03527848428491994,0.0956693284846803,-0.13094781276960024,nan,nan,0,event_profile_only_no_4084_reference
7,Ob7.txt,33,660,0.022006437709513382,-0.10911891991516005,0.13112535762467342,0.6460985150660228,0.6237396706298401,998,weak_aggregate_consistency
8,Ob8.txt,84,1680,-0.1522898580891704,0.0845327385711304,-0.2368225966603008,nan,nan,0,event_profile_only_no_4084_reference
9,Ob9.txt,37,740,0.09561265898101741,-0.06450586042500304,0.16011851940602045,0.7853687480716652,0.7101021241917213,990,aggregate_consistent_with_4084
10,Ob10.txt,36,720,-0.010668971004920386,0.03036616499265636,-0.041035135997576744,0.6138773198727132,0.5984939326018373,1498,weak_aggregate_consistency
11,Ob11.txt,119,2380,0.028412931042099427,-0.0034065764292545465,0.031819507471353974,0.9106860531185637,0.9029165758422972,1997,aggregate_consistent_with_4084
12,Ob12.txt,91,1820,-0.1146972989866319,0.03484335834574314,-0.14954065733237504,0.8978395722141553,0.8876063995190582,1997,aggregate_consistent_with_4084
13,Ob13.txt,102,2040,0.012753188623674059,0.025306570451264956,-0.012553381827590897,0.8680047315982649,0.8609448964867032,1998,aggregate_consistent_with_4084
14,Ob14.txt,47,940,0.006741392051800799,0.09730911345020463,-0.09056772139840383,0.6932952384077757,0.66740403499444,1998,weak_aggregate_consistency
15,Ob15.txt,96,1920,-0.09069609812572059,0.04946795041020899,-0.14016404853592956,0.9047983701075171,0.8942943895222013,1997,aggregate_consistent_with_4084
16,Ob16.txt,84,1680,-0.036145981855735906,-0.03809092881552852,0.0019449469597926164,0.8096206095523274,0.7985605331513975,1997,aggregate_consistent_with_4084
17,Ob17.txt,122,2440,-0.03445487985100461,-0.023254856151412248,-0.01120002369959236,0.896432495349785,0.8924957914302359,1998,aggregate_consistent_with_4084
18,Ob18.txt,103,2060,0.01647940136325521,-0.018122581713979583,0.03460198307723479,0.9091653988028173,0.9028418707241593,1998,aggregate_consistent_with_4084
19,Ob19.txt,143,2860,-0.06032224698392451,0.04220210798695129,-0.1025243549708758,0.863922044103443,0.8474648356247759,2998,aggregate_consistent_with_4084
