ob,dataset,history_window_sec,history_feature,current_state,spearman_corr,pearson_corr,n
1,Ob1.txt,0.25,dC_h,C,0.1300110939545899,0.15645932378268856,1095
1,Ob1.txt,0.25,dC_h,dCdt,0.8936659441916868,0.9076460547764644,1095
1,Ob1.txt,0.25,dC_h,R,-0.12383191296958054,-0.15757138681561234,1095
1,Ob1.txt,0.25,dR_h,C,-0.10858858355480722,-0.1228588692011522,1095
1,Ob1.txt,0.25,dR_h,dCdt,-0.7903679376120888,-0.8229648369273066,1095
1,Ob1.txt,0.25,dR_h,R,0.138939972547535,0.1529865522016162,1095
1,Ob1.txt,0.25,path_length,C,0.047086479651851997,0.12748427326944878,1095
1,Ob1.txt,0.25,path_length,dCdt,-0.03730409408784898,0.028700542951373812,1095
1,Ob1.txt,0.25,path_length,R,-0.04980247861868292,-0.10755135996200592,1095
1,Ob1.txt,0.25,cos_theta_h,C,0.1353712792217367,0.12603489031876766,1060
1,Ob1.txt,0.25,cos_theta_h,dCdt,0.7580794376937035,0.7404391210244239,1060
1,Ob1.txt,0.25,cos_theta_h,R,-0.0949708489802823,-0.10582085275533164,1060
1,Ob1.txt,0.25,sin_theta_h,C,-0.0558101210720329,-0.08681780579499715,1060
1,Ob1.txt,0.25,sin_theta_h,dCdt,-0.5565825597452203,-0.614957711136731,1060
1,Ob1.txt,0.25,sin_theta_h,R,0.10438426238381189,0.12109812434757374,1060
1,Ob1.txt,0.25,turning_proxy,C,-0.0033094355732780196,0.019947350494437886,1024
1,Ob1.txt,0.25,turning_proxy,dCdt,0.012498871235963093,0.007831717702122603,1024
1,Ob1.txt,0.25,turning_proxy,R,-0.008360710517845647,-0.02009112679842127,1024
1,Ob1.txt,0.5,dC_h,C,0.296456084665027,0.33324435084379356,1092
1,Ob1.txt,0.5,dC_h,dCdt,0.7584818099223997,0.777910895817173,1092
1,Ob1.txt,0.5,dC_h,R,-0.27003329603158693,-0.31904066816220183,1092
1,Ob1.txt,0.5,dR_h,C,-0.2615965793137747,-0.28595460194446615,1092
1,Ob1.txt,0.5,dR_h,dCdt,-0.6838256450890133,-0.7219165263126704,1092
1,Ob1.txt,0.5,dR_h,R,0.31069983298857484,0.33770934707200473,1092
1,Ob1.txt,0.5,path_length,C,0.04986045458244595,0.14132270594571839,1092
1,Ob1.txt,0.5,path_length,dCdt,-0.03675192244313466,0.03801730354022967,1092
1,Ob1.txt,0.5,path_length,R,-0.03462623619727027,-0.10908952053576228,1092
1,Ob1.txt,0.5,cos_theta_h,C,0.2537263633753842,0.2508180948581422,1081
1,Ob1.txt,0.5,cos_theta_h,dCdt,0.6228409110555955,0.6233956184114117,1081
1,Ob1.txt,0.5,cos_theta_h,R,-0.1723080604530655,-0.2032504680959136,1081
1,Ob1.txt,0.5,sin_theta_h,C,-0.13547524228211139,-0.19081795106686558,1081
1,Ob1.txt,0.5,sin_theta_h,dCdt,-0.47762267808820513,-0.5357504577726485,1081
1,Ob1.txt,0.5,sin_theta_h,R,0.2232543044034936,0.26013304821505007,1081
1,Ob1.txt,0.5,turning_proxy,C,0.03210544019077987,0.03316865041699909,1059
1,Ob1.txt,0.5,turning_proxy,dCdt,0.017415250850732353,-0.008124867932682722,1059
1,Ob1.txt,0.5,turning_proxy,R,-0.05746834337991854,-0.04784853269010046,1059
1,Ob1.txt,0.75,dC_h,C,0.4195839161489577,0.46294766224206607,1090
