ob,dataset,n_frames,median_dt_sec,finite_current_state_fraction,finite_activity_fraction,finite_dRdt_fraction,primary_path_feature_coverage,primary_theta_valid_fraction,primary_turning_valid_fraction
1,Ob1.txt,1098,0.10000000000000142,1.0,1.0,1.0,0.994535519125683,0.9845173041894353,0.9644808743169399
2,Ob2.txt,1485,0.09999999999999964,1.0,1.0,1.0,0.9959595959595959,0.9811447811447811,0.9656565656565657
3,Ob3.txt,1498,0.09999999999999964,1.0,1.0,1.0,0.9966622162883845,0.9853137516688919,0.9639519359145527
4,Ob4.txt,1494,0.09999999999999964,1.0,1.0,1.0,0.9966532797858099,0.9692101740294511,0.9136546184738956
5,Ob5.txt,1494,0.09999999999999964,1.0,1.0,1.0,0.9966532797858099,0.9571619812583668,0.9036144578313253
6,Ob6.txt,1998,0.09999999999999432,1.0,1.0,1.0,0.997997997997998,0.9684684684684685,0.9284284284284284
7,Ob7.txt,998,0.10000000000000142,1.0,1.0,1.0,0.9959919839679359,0.9859719438877755,0.9609218436873748
8,Ob8.txt,1898,0.09999999999999787,1.0,1.0,1.0,0.9968387776606955,0.9726027397260274,0.9362486828240253
9,Ob9.txt,990,0.10000000000000142,1.0,1.0,1.0,0.9939393939393939,0.9777777777777777,0.9535353535353536
10,Ob10.txt,1498,0.09999999999999964,1.0,1.0,1.0,0.9973297730307076,0.9839786381842457,0.9619492656875834
11,Ob11.txt,1997,0.09999999999999432,1.0,1.0,1.0,0.9979969954932398,0.9624436654982473,0.9043565348022033
12,Ob12.txt,1997,0.09999999999999432,1.0,1.0,1.0,0.9979969954932398,0.9839759639459189,0.9614421632448673
13,Ob13.txt,1998,0.09999999999999432,1.0,1.0,1.0,0.996996996996997,0.980980980980981,0.9574574574574575
14,Ob14.txt,1998,0.09999999999999432,1.0,1.0,1.0,0.996996996996997,0.984984984984985,0.9674674674674675
15,Ob15.txt,1997,0.09999999999999432,1.0,1.0,1.0,0.9979969954932398,0.971457185778668,0.9469203805708563
16,Ob16.txt,1997,0.09999999999999432,1.0,1.0,1.0,0.9979969954932398,0.9704556835252879,0.9188783174762143
17,Ob17.txt,1998,0.09999999999999432,1.0,1.0,1.0,0.997997997997998,0.9619619619619619,0.913913913913914
18,Ob18.txt,1998,0.09999999999999432,1.0,1.0,1.0,0.996996996996997,0.9754754754754755,0.9379379379379379
19,Ob19.txt,2998,0.09999999999999432,1.0,1.0,1.0,0.9986657771847899,0.9796531020680453,0.9409606404269513
