ob,dataset,history_window_sec,n_frames,finite_current_state_fraction,finite_activity_fraction,finite_dRdt_fraction,path_feature_coverage,theta_valid_fraction,turning_valid_fraction,median_path_length,q05_path_length,q95_path_length,theta_resultant_length,median_abs_turning_proxy_rad,q95_abs_turning_proxy_rad,median_path_velocity_norm,q99_abs_dRdt
1,Ob1.txt,0.25,1098,1.0,1.0,1.0,0.9972677595628415,0.9653916211293261,0.9326047358834244,0.27356203515038996,0.06434039811527704,0.7695545669066289,0.007845393702550697,0.17747619065808787,1.8811345156155332,1.1665575149076117,3.529316482499701
1,Ob1.txt,0.5,1098,1.0,1.0,1.0,0.994535519125683,0.9845173041894353,0.9644808743169399,0.5188765270825418,0.12064576746237025,1.4578294873004414,0.006392786332377352,0.3064815929017976,2.7023397393929884,1.1665575149076117,3.529316482499701
1,Ob1.txt,0.75,1098,1.0,1.0,1.0,0.9927140255009107,0.9899817850637522,0.9808743169398907,0.7207214830365435,0.16318222225875015,2.011935229658015,0.011976156331014492,0.4580961075552808,2.894605749159687,1.1665575149076117,3.529316482499701
2,Ob2.txt,0.25,1485,1.0,1.0,1.0,0.997979797979798,0.9548821548821549,0.9097643097643098,0.27842343039422146,0.053049035393846915,0.7404904141564794,0.008972160556778823,0.1568879133617606,2.240960781205171,1.1964554309084137,3.044583641768169
2,Ob2.txt,0.5,1485,1.0,1.0,1.0,0.9959595959595959,0.9811447811447811,0.9656565656565657,0.5044255540346038,0.0918251235843091,1.351396087859384,0.0161222796301469,0.27675905699011305,2.795504877367066,1.1964554309084137,3.044583641768169
2,Ob2.txt,0.75,1485,1.0,1.0,1.0,0.9946127946127946,0.9865319865319865,0.9777777777777777,0.6865585795512926,0.1317568796403399,1.869012822818751,0.020014155947299418,0.482311798606013,2.962511784091074,1.1964554309084137,3.044583641768169
3,Ob3.txt,0.25,1498,1.0,1.0,1.0,0.9979973297730307,0.9472630173564753,0.8778371161548731,0.27798826105666324,0.04958526878264297,0.7629815987014015,0.009196756831627361,0.12540861159568437,2.3616327874408722,1.1929362399548649,3.0767777383974297
3,Ob3.txt,0.5,1498,1.0,1.0,1.0,0.9966622162883845,0.9853137516688919,0.9639519359145527,0.5139233733956774,0.0926365446647996,1.3573677937503281,0.013947422326768003,0.22264218152591053,2.954045831714185,1.1929362399548649,3.0767777383974297
3,Ob3.txt,0.75,1498,1.0,1.0,1.0,0.9946595460614153,0.9879839786381842,0.9806408544726302,0.7144081712609796,0.13089226539313095,1.87497078589876,0.006327116504614074,0.3472785616027695,3.049605885593652,1.1929362399548649,3.0767777383974297
4,Ob4.txt,0.25,1494,1.0,1.0,1.0,0.9979919678714859,0.9029451137884873,0.8152610441767069,0.24049938312135086,0.032123350734406614,0.7301249219528084,0.06333649348012882,0.08475952758863127,2.4597927546160987,1.0277998546924338,3.161939271260617
4,Ob4.txt,0.5,1494,1.0,1.0,1.0,0.9966532797858099,0.9692101740294511,0.9136546184738956,0.43114367204024573,0.0643356993213096,1.3557659987447395,0.0725361578326749,0.16924025576040605,3.004219837263097,1.0277998546924338,3.161939271260617
4,Ob4.txt,0.75,1494,1.0,1.0,1.0,0.9946452476572959,0.9745649263721553,0.9390896921017403,0.6003354377086119,0.08956685641101012,1.8176225030624542,0.08077934775057546,0.24439115132467767,3.042520609482352,1.0277998546924338,3.161939271260617
5,Ob5.txt,0.25,1494,1.0,1.0,1.0,0.9979919678714859,0.9022757697456493,0.8065595716198126,0.25822948490004327,0.03294387395699111,0.7511108066513095,0.005212481634503609,0.06720643124962042,2.6739584352557584,1.1220118209809131,3.166673253818008
5,Ob5.txt,0.5,1494,1.0,1.0,1.0,0.9966532797858099,0.9571619812583668,0.9036144578313253,0.48057490635412076,0.058125989193641335,1.3652944065290147,0.008405475821503434,0.14241631077349645,2.99818953543853,1.1220118209809131,3.166673253818008
5,Ob5.txt,0.75,1494,1.0,1.0,1.0,0.9946452476572959,0.9799196787148594,0.9457831325301205,0.6510369772371482,0.09580353871482025,1.8202271876242608,0.01329050821765889,0.21823122276555168,3.0763411574838893,1.1220118209809131,3.166673253818008
6,Ob6.txt,0.25,1998,1.0,1.0,1.0,0.998998998998999,0.9269269269269269,0.8468468468468469,0.2548403126330987,0.041425764580233074,0.7144408381183649,0.01569384443584107,0.08147602028666384,2.043425421426531,1.097150075524287,3.8681494417280153
6,Ob6.txt,0.5,1998,1.0,1.0,1.0,0.997997997997998,0.9684684684684685,0.9284284284284284,0.46316763536200567,0.06948643543664185,1.3197495326985482,0.02134444960068945,0.16316620990220138,2.9082145130389034,1.097150075524287,3.8681494417280153
6,Ob6.txt,0.75,1998,1.0,1.0,1.0,0.9964964964964965,0.983983983983984,0.9679679679679679,0.6508302840857841,0.10058655021947496,1.811144014822765,0.01584909826762214,0.2715065203977268,3.024004804007799,1.097150075524287,3.8681494417280153
7,Ob7.txt,0.25,998,1.0,1.0,1.0,0.9979959919839679,0.9579158316633266,0.9048096192384769,0.3041379917930386,0.06629295026802791,0.8517636913421303,0.005690838754101604,0.13920269686514633,2.114578357993429,1.321001966872467,3.3353149746677713
7,Ob7.txt,0.5,998,1.0,1.0,1.0,0.9959919839679359,0.9859719438877755,0.9609218436873748,0.5764420212736592,0.10756673302392515,1.6074844296051836,0.02448994937752255,0.253902631808865,2.882252304827083,1.321001966872467,3.3353149746677713
7,Ob7.txt,0.75,998,1.0,1.0,1.0,0.9929859719438878,0.9859719438877755,0.9749498997995992,0.8031452047274875,0.14213365541815448,2.2551164956724135,0.03287656845018294,0.3831712120692479,2.958374504571012,1.321001966872467,3.3353149746677713
8,Ob8.txt,0.25,1898,1.0,1.0,1.0,0.9984193888303478,0.934668071654373,0.8651211801896733,0.2611749256259035,0.042472417445750726,0.766903004183541,0.012895411269053308,0.11277179527660869,2.3130553753827385,1.1165266304249095,2.9790170906324542
8,Ob8.txt,0.5,1898,1.0,1.0,1.0,0.9968387776606955,0.9726027397260274,0.9362486828240253,0.48670243908051214,0.08057014250199138,1.4065955560291845,0.02528023516984923,0.19158180401952252,2.9602299168802633,1.1165266304249095,2.9790170906324542
