ob,dataset,shuffle_rep,n_selected_pairs,sufficient_pairs,median_signed_axis_delta_A_z,median_abs_signed_axis_delta_A_z,median_abs_delta_A_z
1,Ob1.txt,0,3304,True,0.03188044626701271,0.03188044626701271,0.9388883789780462
1,Ob1.txt,1,3254,True,-0.015305141185029209,0.015305141185029209,0.9066085667499431
1,Ob1.txt,2,3271,True,-0.011183021435438978,0.011183021435438978,0.947666221386302
1,Ob1.txt,3,3326,True,-0.0155074625105312,0.0155074625105312,0.9324797989397269
1,Ob1.txt,4,3268,True,0.022369536333497496,0.022369536333497496,0.9582871879538026
1,Ob1.txt,5,3326,True,0.10854099477617801,0.10854099477617801,0.9331212816996017
1,Ob1.txt,6,3258,True,0.10043191977039179,0.10043191977039179,0.9282267513466975
1,Ob1.txt,7,3309,True,-0.03182619141039433,0.03182619141039433,0.953283740012718
1,Ob1.txt,8,3286,True,-0.029019979181367814,0.029019979181367814,0.9594615806672594
1,Ob1.txt,9,3305,True,0.12626374903605303,0.12626374903605303,0.9246446576559446
1,Ob1.txt,10,3274,True,-0.059142498691198864,0.059142498691198864,0.9473727412433084
1,Ob1.txt,11,3295,True,0.0529834211711869,0.0529834211711869,0.9388877181611902
1,Ob1.txt,12,3258,True,0.11172104126771198,0.11172104126771198,0.9677617630314572
1,Ob1.txt,13,3251,True,0.01934307330256796,0.01934307330256796,0.9390321843417739
1,Ob1.txt,14,3288,True,0.015476719186828858,0.015476719186828858,0.9590506298558499
1,Ob1.txt,15,3303,True,0.11413698838195072,0.11413698838195072,0.9205411981009806
1,Ob1.txt,16,3313,True,-0.01934307330256796,0.01934307330256796,0.9295028347277902
1,Ob1.txt,17,3290,True,-0.006850457811216737,0.006850457811216737,0.9354414656086101
1,Ob1.txt,18,3286,True,-0.023186468718333825,0.023186468718333825,0.9266514778543636
1,Ob1.txt,19,3324,True,0.12059916425135034,0.12059916425135034,0.984884070268689
1,Ob1.txt,20,3322,True,0.004132129964466241,0.004132129964466241,0.9330831027479527
1,Ob1.txt,21,3284,True,0.015227809632783751,0.015227809632783751,0.9320528290434087
1,Ob1.txt,22,3311,True,-0.017722719923143337,0.017722719923143337,0.9254120547148789
1,Ob1.txt,23,3219,True,-0.08087352133129855,0.08087352133129855,0.9265536049094973
1,Ob1.txt,24,3306,True,0.00041541596079579246,0.00041541596079579246,0.9252940930634668
1,Ob1.txt,25,3278,True,-0.04535520081551153,0.04535520081551153,0.9345278015014278
1,Ob1.txt,26,3300,True,0.06235969731882059,0.06235969731882059,0.9634029834086841
1,Ob1.txt,27,3275,True,-0.1085754231236507,0.1085754231236507,0.9320391716748448
1,Ob1.txt,28,3262,True,0.030583232997461907,0.030583232997461907,0.9514569139856077
