history_window_sec,state_distance_threshold,history_angle_threshold_deg,axis_angle_rad,n_observations,n_observations_sufficient,total_selected_pairs,median_selected_pairs_per_ob,median_state_distance,median_theta_diff_deg,median_abs_ob_signed_effect,median_ob_signed_effect,direction_consistency_fraction
0.25,0.35,60.0,-0.8135499579853013,19,19,42209,2264.0,0.24471433186724023,153.25301887533914,0.06349409731355582,-0.02124355693358909,0.631578947368421
0.25,0.35,90.0,-0.8135499579853013,19,19,38808,2156.0,0.247799688006177,157.3435184718823,0.08448855181042049,-0.029653269230999924,0.6842105263157895
0.25,0.35,120.0,-0.8135499579853013,19,19,35176,1967.0,0.25107245866959105,160.6719899721328,0.08950481714971281,-0.035085764668694286,0.6842105263157895
0.25,0.5,60.0,-0.8135499579853013,19,19,67670,3444.0,0.3066299692907145,153.3650988786044,0.0593908672737423,-0.014615010202984335,0.5263157894736842
0.25,0.5,90.0,-0.8135499579853013,19,19,63450,3413.0,0.3102622768352414,157.358585935628,0.07060157918816634,-0.030133293961841,0.5789473684210527
0.25,0.5,120.0,-0.8135499579853013,19,19,59011,3240.0,0.32055234191745746,160.74025017848683,0.059296271409935764,-0.03855646642081487,0.5789473684210527
0.25,0.75,60.0,-0.8135499579853013,19,19,96092,5043.0,0.3729451474098278,153.6780158811605,0.044349423163356425,-0.0313244253225915,0.631578947368421
0.25,0.75,90.0,-0.8135499579853013,19,19,92151,4921.0,0.38356383721149157,157.99338524448612,0.0769642259801697,-0.05544645044036978,0.6842105263157895
0.25,0.75,120.0,-0.8135499579853013,19,19,87974,4814.0,0.40159777295984983,161.28983108631968,0.06836845083001639,-0.04070158548293834,0.631578947368421
0.5,0.35,60.0,-0.8093067555287491,19,19,61366,3253.0,0.2398426023395501,157.14127072069863,0.0802431465125208,0.0012377071088272018,0.5263157894736842
0.5,0.35,90.0,-0.8093067555287491,19,19,57628,3172.0,0.24356620314653762,159.5837773037955,0.10197849269806303,0.0007174744574888967,0.5263157894736842
0.5,0.35,120.0,-0.8093067555287491,19,19,53200,2836.0,0.24676906318794237,161.40614826328624,0.11430131506428576,0.009089708924888168,0.5263157894736842
0.5,0.5,60.0,-0.8093067555287491,19,19,90283,5129.0,0.29046788507478,157.1679302134481,0.06000683613447688,-0.018356273226053606,0.5263157894736842
0.5,0.5,90.0,-0.8093067555287491,19,19,86547,4723.0,0.2972932945091832,159.2636015904722,0.07628898491170816,-0.011040047877916181,0.5263157894736842
0.5,0.5,120.0,-0.8093067555287491,19,19,81587,4472.0,0.30462704002047214,161.29755869681821,0.08418019968782797,-0.010867125646421227,0.5263157894736842
0.5,0.75,60.0,-0.8093067555287491,19,19,116676,6780.0,0.3382293446401652,157.40793905294572,0.057490681849215616,-0.011206314909208981,0.5263157894736842
0.5,0.75,90.0,-0.8093067555287491,19,19,114018,6583.0,0.34832859525407134,159.33276950835537,0.0667762525986017,-0.027543343331442205,0.6842105263157895
0.5,0.75,120.0,-0.8093067555287491,19,19,110158,6272.0,0.36147460355610567,161.39185867467776,0.06491814407632923,-0.01543567495804421,0.6842105263157895
0.75,0.35,60.0,-0.8038942537790315,19,19,65259,3484.0,0.2417814966589,157.6306133586241,0.04080864299809467,-0.012904237159507115,0.5789473684210527
0.75,0.35,90.0,-0.8038942537790315,19,19,61664,3249.0,0.24532281011196705,159.8241930686228,0.04667580990035258,-0.007852181902523778,0.5263157894736842
0.75,0.35,120.0,-0.8038942537790315,19,19,56938,3104.0,0.24724830908610435,161.77799238315117,0.06302598289256572,0.007207442092878991,0.5263157894736842
0.75,0.5,60.0,-0.8038942537790315,19,19,94561,5290.0,0.2882364932513868,157.20489261621074,0.030601441331719353,0.011791697900857656,0.5263157894736842
0.75,0.5,90.0,-0.8038942537790315,19,19,91209,5056.0,0.29447449171939244,159.83361145443624,0.05127192710629691,0.0025428819984232853,0.5789473684210527
0.75,0.5,120.0,-0.8038942537790315,19,19,86159,4796.0,0.3027373449463029,161.41156539930955,0.0535486371540305,0.012451573107954306,0.5263157894736842
0.75,0.75,60.0,-0.8038942537790315,19,19,119168,6882.0,0.3356933529519778,157.43334280602022,0.05734535694464435,0.0010771576304530184,0.5263157894736842
0.75,0.75,90.0,-0.8038942537790315,19,19,116865,6813.0,0.3408622304406396,159.81712991472907,0.04830965499376605,-0.008509578374806787,0.5263157894736842
0.75,0.75,120.0,-0.8038942537790315,19,19,113254,6620.0,0.35693890534993733,161.52896363149296,0.0602898083192126,-0.001157314096665668,0.5263157894736842
