ob,dataset,n_frames_valid,n_state_pairs_within_primary_radius,n_contrasting_pairs_before_anchor_cap,n_selected_pairs,anchor_count_with_pair,anchor_fraction_with_pair,median_state_distance,q95_state_distance,median_theta_diff_deg,min_temporal_sep_sec
1,Ob1.txt,1081,11240,3455,2040,629,0.5818686401480111,0.33745825258322415,0.48048194883009476,145.05920846411715,1.0
2,Ob2.txt,1457,20631,7647,3392,936,0.6424159231297186,0.3225086089006696,0.4821459406091983,150.93607877745524,1.0
3,Ob3.txt,1476,32220,10548,4064,1042,0.7059620596205962,0.2972932945091832,0.47025722518110863,160.45257290605485,1.0
4,Ob4.txt,1448,31267,11192,3831,1027,0.7092541436464088,0.2877841280866603,0.4742531125088809,165.88488006659978,1.0
5,Ob5.txt,1430,37593,13503,4269,1066,0.7454545454545455,0.264369531138962,0.4637464504185471,166.34283216664474,1.0
6,Ob6.txt,1935,64420,21915,5998,1498,0.7741602067183463,0.26000893393974267,0.4638011141568853,159.59748304639106,1.0
7,Ob7.txt,984,12042,3904,1964,600,0.6097560975609756,0.3330210699991356,0.483411273128262,151.7023260440577,1.0
8,Ob8.txt,1846,51583,18634,5634,1383,0.7491874322860238,0.2830654854802358,0.47111364165153197,159.2636015904722,1.0
9,Ob9.txt,968,7888,2874,1804,545,0.5630165289256198,0.35340614481691857,0.4850732736107263,146.1758063147766,1.0
10,Ob10.txt,1474,26048,8650,3655,971,0.658751696065129,0.3146170821932368,0.47762521216221393,151.11251519900136,1.0
11,Ob11.txt,1922,56899,19073,5238,1331,0.6925078043704475,0.2753742243353348,0.46771447953634065,167.73409880210946,1.0
12,Ob12.txt,1965,32531,11808,4723,1256,0.6391857506361324,0.3158383851185974,0.47829009076938683,148.98351368748547,1.0
13,Ob13.txt,1960,40090,13656,5077,1258,0.6418367346938776,0.29976250683436484,0.4751308396798995,149.1225181094242,1.0
14,Ob14.txt,1968,39958,14400,5250,1380,0.7012195121951219,0.3053626682011799,0.47413578889112046,149.3656348741111,1.0
15,Ob15.txt,1940,44001,16071,5050,1339,0.6902061855670103,0.2871450630770862,0.46965074126149314,158.10661730721128,1.0
16,Ob16.txt,1938,52315,18380,5800,1471,0.7590299277605779,0.28023816075074914,0.4683031403912629,168.06060787475624,1.0
17,Ob17.txt,1922,60061,19944,5575,1371,0.7133194588969823,0.2682865303477279,0.4671437027894433,165.308722773411,1.0
18,Ob18.txt,1949,33639,11682,4667,1246,0.6393022062596203,0.3158066631078117,0.47826977743843346,163.0342044931822,1.0
19,Ob19.txt,2937,109916,35593,8516,2157,0.7344228804902962,0.2744519823092444,0.4698585516816723,164.9049540547498,1.0
