ob,dataset,n_frames_total,n_frames_valid,usable_frame_fraction,n_state_pairs,n_contrasting_pairs,n_selected_pairs,sufficient_pairs,n_unique_frames_in_pairs,paired_frame_fraction,median_state_distance,q95_state_distance,median_theta_diff_deg,median_temporal_sep_sec,median_abs_delta_A_z,median_signed_axis_delta_A_z,mean_signed_axis_delta_A_z,fraction_signed_positive,null_median_abs_signed_axis_delta_A_z,null_q95_abs_signed_axis_delta_A_z,real_minus_null_median_abs_effect,real_beats_null_median_abs,real_beats_null_q95_abs
1,Ob1.txt,1098,1081,0.9845173041894353,11240,3455,2040,True,773,0.7150786308973173,0.33745825258322415,0.48048194883009476,145.05920846411715,29.700000000000003,0.9204074571877701,-0.06568864488880435,-0.10101737277888817,0.47941176470588237,0.0506024950498591,0.12299777464912205,0.015086149838945254,True,False
2,Ob2.txt,1485,1457,0.9811447811447811,20631,7647,3392,True,1120,0.7687028140013726,0.3225086089006696,0.4821459406091983,150.93607877745524,36.15,0.9249790422371409,-0.10008205463671588,-0.08372468438189498,0.47140330188679247,0.03650113584343598,0.10331454044323202,0.0635809187932799,True,False
3,Ob3.txt,1498,1476,0.9853137516688919,32220,10548,4064,True,1178,0.7981029810298103,0.2972932945091832,0.47025722518110863,160.45257290605485,32.599999999999994,0.9855163100665838,0.08513506173906568,0.08206220095575227,0.5236220472440944,0.043962419059816044,0.12536968301595386,0.04117264267924964,True,False
4,Ob4.txt,1494,1448,0.9692101740294511,31267,11192,3831,True,1165,0.8045580110497238,0.2877841280866603,0.4742531125088809,165.88488006659978,31.39999999999999,0.8902456830982477,-0.018605821025297342,0.0009339594032928156,0.4941268598277212,0.041484752352883354,0.11900858570789487,-0.022878931327586012,False,False
5,Ob5.txt,1494,1430,0.9571619812583668,37593,13503,4269,True,1200,0.8391608391608392,0.264369531138962,0.4637464504185471,166.34283216664474,29.6,0.9809714949546865,-0.17376482073726618,-0.14789556864126158,0.4586554228156477,0.049681334639744834,0.12471310287382144,0.12408348609752134,True,True
6,Ob6.txt,1998,1935,0.9684684684684685,64420,21915,5998,True,1650,0.8527131782945736,0.26000893393974267,0.4638011141568853,159.59748304639106,42.800000000000004,0.9079086032714347,0.004854303669893673,0.002491769281712799,0.5011670556852285,0.027678375102416275,0.09489793714738154,-0.022824071432522602,False,False
7,Ob7.txt,998,984,0.9859719438877755,12042,3904,1964,True,698,0.709349593495935,0.3330210699991356,0.483411273128262,151.7023260440577,23.7,0.9570045065087753,-0.10248404448052278,-0.04834163512306545,0.4725050916496945,0.05634759212049291,0.14838849078914618,0.046136452360029875,True,False
8,Ob8.txt,1898,1846,0.9726027397260274,51583,18634,5634,True,1519,0.8228602383531961,0.2830654854802358,0.47111364165153197,159.2636015904722,37.5,0.9502295030904508,-0.22135040786302473,-0.17320428650196187,0.44089456869009586,0.03589629254397568,0.0960088040990116,0.18545411531904904,True,True
9,Ob9.txt,990,968,0.9777777777777777,7888,2874,1804,True,721,0.7448347107438017,0.35340614481691857,0.4850732736107263,146.1758063147766,26.900000000000006,0.9628842182706157,-0.2191351687792161,-0.27422570952930725,0.43070953436807097,0.04911384444441717,0.12757919152796937,0.17002132433479894,True,True
10,Ob10.txt,1498,1474,0.9839786381842457,26048,8650,3655,True,1138,0.7720488466757124,0.3146170821932368,0.47762521216221393,151.11251519900136,34.7,0.9044906953953087,-0.06652094501568961,-0.030003391446686317,0.480437756497948,0.03623082391956147,0.10383037926145376,0.030290121096128143,True,False
