ob,n_events,t1_survival_any_k,t1_survival_both_k,scale_lag_robust,diffuse_all_tangential_gate,localized_or_gradient_candidate,edge_core_phase_gate,edge_core_event_centered_gate,history_real_beats_shuffle_median_abs,history_real_beats_shuffle_q95_abs,history_effect_direction,ob_route_a_class,robustness_class,ob_spatial_class,phase_class,t1_median_local_to_b3_ratio,t1_median_local_event_minus_non_event_z,scale_pass_fraction,timing_pass_fraction,median_scale_gap,best_spatial_variable,best_spatial_gap_z,peak_phase,median_signed_axis_delta_A_z,real_minus_null_median_abs_effect
1,28,False,False,,,,,,True,False,axis_negative_higher,t1_not_event_conditioned_after_local_affine,,,,0.3081339642852859,-0.018902812176996,,,,,,,-0.0656886448888043,0.0150861498389452
2,43,True,True,True,True,True,True,True,True,False,axis_negative_higher,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,localized_or_gradient_signal_candidate,post_transition_response_candidate,0.890504380495587,0.3595533481787678,1.0,1.0,0.3466057431349748,shell_edge_minus_core,0.2815936107348822,near_post,-0.1000820546367158,0.0635809187932799
3,40,False,False,,,,,,True,False,axis_positive_higher,t1_not_event_conditioned_after_local_affine,,,,0.4611895505491381,-0.1775016418704972,,,,,,,0.0851350617390656,0.0411726426792496
4,58,True,False,False,,,,,False,False,axis_negative_higher,t1_local_nonaffine_survives_one_k,fragile_or_boundary,,,0.5666515091459132,0.0384929074301147,0.5,0.0,0.0903329107100708,,,,-0.0186058210252973,-0.022878931327586
5,93,True,True,True,True,True,True,False,True,True,axis_negative_higher,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,localized_or_gradient_signal_candidate,broad_state_or_offcenter_profile_candidate,0.8399072463582962,0.1828365509568869,1.0,1.0,0.1828365509568869,shell_radius_corr_tangential,0.4046435719284095,early_pre,-0.1737648207372661,0.1240834860975213
6,112,False,False,,,,,,False,False,axis_positive_higher,t1_not_event_conditioned_after_local_affine,,,,37.25323411707858,-0.1298789351925797,,,,,,,0.0048543036698936,-0.0228240714325226
7,33,True,True,True,False,False,False,False,True,False,axis_negative_higher,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,no_clear_t1_spatial_signal_in_this_node,no_clear_phase_gate,1.096657561758254,0.1723070072627825,1.0,1.0,0.1723070072627825,shell_edge_minus_core,0.4216272056202435,near_post,-0.1024840444805227,0.0461364523600298
8,84,False,False,,,,,,True,True,axis_negative_higher,t1_not_event_conditioned_after_local_affine,,,,1.605223127920028,-0.0912807042528876,,,,,,,-0.2213504078630247,0.185454115319049
9,36,True,True,True,True,True,False,False,True,True,axis_negative_higher,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,localized_or_gradient_signal_candidate,no_clear_phase_gate,2.1000030105476,0.4660869183335864,1.0,1.0,0.7066655999359976,shell_radius_corr_tangential,0.6202769612693295,near_pre,-0.2191351687792161,0.1700213243347989
10,36,True,True,True,True,True,False,False,True,False,axis_negative_higher,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,localized_or_gradient_signal_candidate,no_clear_phase_gate,1.2016592501472534,0.3630220071523223,1.0,0.6666666666666666,0.3004379983829556,shell_radius_corr_tangential,0.5862737721754849,near_pre,-0.0665209450156896,0.0302901210961281
11,119,True,True,True,True,True,False,False,True,False,axis_positive_higher,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,localized_or_gradient_signal_candidate,no_clear_phase_gate,1.7236640449872536,0.6009139099098415,1.0,1.0,0.6260491408148227,shell_middle_minus_core,0.2626301753684797,near_post,0.0442739514038296,0.0062420563120529
12,91,True,True,True,True,True,False,False,True,True,axis_positive_higher,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,localized_or_gradient_signal_candidate,no_clear_phase_gate,2.8147048513187034,0.3150058626963127,1.0,1.0,0.2788602626582959,density_sparse_minus_dense,0.2080987966298692,late_post,0.1406538750249542,0.108169865626449
13,102,True,True,True,True,True,False,False,False,False,axis_negative_higher,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,localized_or_gradient_signal_candidate,no_clear_phase_gate,1.506262646370737,0.5170077474316798,1.0,1.0,0.5139960471860061,shell_radius_corr_tangential,0.3757880182517202,near_pre,-0.0110400478779161,-0.0297988046785935
14,47,True,True,True,True,True,False,False,True,False,axis_negative_higher,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,localized_or_gradient_signal_candidate,no_clear_phase_gate,0.98397196375796,0.3732196081556981,1.0,1.0,0.3056450380872321,density_sparse_minus_dense,0.3751842620513858,early_pre,-0.0762889849117081,0.0341429312232082
15,96,True,True,True,True,True,True,True,True,True,axis_positive_higher,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,localized_or_gradient_signal_candidate,pre_transition_buildup_candidate,1.5299957823112518,0.6945112791469481,1.0,1.0,0.7202768406842892,shell_edge_minus_core,0.5317516251129282,near_pre,0.1390363965692299,0.1038190248233489
16,84,True,True,True,True,False,False,False,True,False,axis_positive_higher,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,level_specific_but_no_direct_contrast,no_clear_phase_gate,2.276689877044048,0.5399288387509131,1.0,1.0,0.5756906198717191,shell_middle_minus_core,-0.112687720901517,near_post,0.0351759269740147,0.0003613700358014
17,122,True,True,True,True,True,False,False,True,True,axis_positive_higher,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,localized_or_gradient_signal_candidate,no_clear_phase_gate,2.002995583746951,0.2287331111724613,0.75,1.0,0.1437420917453931,density_knn_distance_corr_tangential,0.1313620759845932,late_post,0.1416558462758016,0.1006126755670191
18,103,True,True,True,True,True,False,False,False,False,axis_positive_higher,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,localized_or_gradient_signal_candidate,no_clear_phase_gate,0.6995143632483813,0.280231417505976,1.0,1.0,0.1834176378327358,density_knn_distance_corr_tangential,0.1078886215950889,near_pre,0.0021441029423426,-0.0342572881129193
19,143,True,True,True,True,True,False,False,False,False,axis_positive_higher,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,localized_or_gradient_signal_candidate,no_clear_phase_gate,1.5296422486565038,0.641998161148287,1.0,1.0,0.6419981611482871,shell_radius_corr_tangential,0.3163830165399776,early_pre,0.0079410103161641,-0.0219656834657657
