question,association,x,y,n,spearman_rho,spearman_pvalue_descriptive,loo_rho_min,loo_rho_max,max_abs_loo_change,most_influential_ob,association_label,allowed_interpretation
HET1,T1 effect vs swarm size,mean_swarm_size,408x_T1_effect,19,-0.08421052631578947,0.7317826946411556,-0.20743034055727552,0.04850361197110423,0.1327141382868937,11,weak_or_no_descriptive_association,descriptive_small_n_only
HET1,T1 effect vs mean track length,mean_track_length_frames,408x_T1_effect,19,0.5105263157894736,0.025516089506920026,0.42414860681114547,0.6078431372549019,0.0973168214654283,17,weak_to_moderate_descriptive_association,descriptive_small_n_only
HET1,T1 effect vs dataset length,dataset_length_sec,408x_T1_effect,19,0.36445338148231515,0.12500729816043804,0.2605651428885985,0.5406487595007599,0.1761953780184447,6,weak_or_no_descriptive_association,descriptive_small_n_only
HET1,T1 effect vs event count,n_events,408x_T1_effect,19,0.32045666433239195,0.18102465114194638,0.2128100309117417,0.4483473466781353,0.12789068234574336,6,weak_or_no_descriptive_association,descriptive_small_n_only
HET2,history abs effect vs T1 effect,408x_T1_effect,4121_history_abs_effect,19,-0.12280701754385966,0.6164660517594382,-0.28586171310629516,-0.0196078431372549,0.16305469556243551,6,weak_or_no_descriptive_association,descriptive_small_n_only
HET2,history null gap vs T1 effect,408x_T1_effect,4121_null_gap,19,-0.0912280701754386,0.7103145534384594,-0.21568627450980388,0.021671826625386997,0.12445820433436527,6,weak_or_no_descriptive_association,descriptive_small_n_only
HET2,history abs effect vs route score,route_positive_score,4121_history_abs_effect,19,0.4311942723373356,0.06529608489439309,0.3404664430895252,0.6206609648781952,0.18946669254085963,8,weak_to_moderate_descriptive_association,descriptive_small_n_only
HET3,stable failure vs route score,stable_408x_failure_binary,route_positive_score,19,-0.5033048383101146,0.02803986486685499,-0.5318093916529487,-0.34164411897417957,0.16166071933593507,6,weak_to_moderate_descriptive_association,descriptive_small_n_only
HET3,stable failure vs event-local effect,stable_408x_failure_binary,4100_event_local_effect,19,-0.06262242910851495,0.7989679363126607,-0.16361870293156425,0.07012230125638468,0.13274473036489964,8,weak_or_no_descriptive_association,descriptive_small_n_only
HET4,ob index proxy vs T1 effect,ob,408x_T1_effect,19,0.6543859649122807,0.0023669295508711276,0.6016511867905057,0.7275541795665634,0.07316821465428269,2,moderate_descriptive_association,descriptive_small_n_only
HET4,ob index proxy vs route score,ob,route_positive_score,19,0.2592623789370056,0.2837918073182568,0.14603787408898714,0.43992535411853045,0.18066297518152485,2,weak_or_no_descriptive_association,descriptive_small_n_only
HET4,ob index proxy vs history abs effect,ob,4121_history_abs_effect,19,-0.21228070175438596,0.3829369333210927,-0.3023735810113519,-0.07739938080495357,0.1348813209494324,18,weak_or_no_descriptive_association,descriptive_small_n_only
