ob,observation_class,route_positive_score,408x_pass_class,408x_robustness,failure_boundary_class,signed_class,recording_condition,recording_condition_verification_status,boundary_flags
1,fragile_408x_boundary,1.0,t1_not_event_conditioned_after_local_affine,,fragile_narrow_setting_rescue,,mainly_dusk,UNVERIFIED,408x_failure_or_boundary;history_beats_median_shuffle
2,robust_survivor_diffuse_positive,6.0,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,,mirror_symmetric_opposite_sign,mainly_dusk,UNVERIFIED,history_beats_median_shuffle
3,fragile_408x_boundary,1.0,t1_not_event_conditioned_after_local_affine,,fragile_narrow_setting_rescue,,mainly_dusk,UNVERIFIED,408x_failure_or_boundary;history_beats_median_shuffle
4,fragile_survivor,1.0,t1_local_nonaffine_survives_one_k,fragile_or_boundary,,,mainly_dusk,UNVERIFIED,scale_lag_fragile
5,robust_survivor_diffuse_positive,6.0,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,,mirror_symmetric_opposite_sign,mainly_dusk,UNVERIFIED,history_beats_median_shuffle
6,stable_408x_failure,0.0,t1_not_event_conditioned_after_local_affine,,stable_failure_under_predefined_sensitivity,,daytime,UNVERIFIED,daytime_annotation_unverified;408x_failure_or_boundary
7,robust_survivor_without_diffuse_gate,4.0,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,,no_signed_gate,mainly_dusk,UNVERIFIED,history_beats_median_shuffle
8,stable_408x_failure,1.0,t1_not_event_conditioned_after_local_affine,,stable_failure_under_predefined_sensitivity,,mainly_dusk,UNVERIFIED,408x_failure_or_boundary;history_beats_median_shuffle
9,robust_survivor_diffuse_positive,5.0,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,,mirror_symmetric_opposite_sign,mainly_dusk,UNVERIFIED,history_beats_median_shuffle
10,robust_survivor_diffuse_positive,5.0,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,,no_signed_gate,mainly_dusk,UNVERIFIED,history_beats_median_shuffle
11,robust_survivor_diffuse_positive,5.0,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,,mirror_symmetric_opposite_sign,daytime,UNVERIFIED,daytime_annotation_unverified;history_beats_median_shuffle
12,robust_survivor_diffuse_positive,5.0,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,,low_to_high_dominant,mainly_dusk,UNVERIFIED,history_beats_median_shuffle
13,robust_survivor_diffuse_positive,4.0,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,,low_to_high_dominant,mainly_dusk,UNVERIFIED,
14,robust_survivor_diffuse_positive,5.0,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,,mirror_symmetric_opposite_sign,mainly_dusk,UNVERIFIED,history_beats_median_shuffle
15,robust_survivor_diffuse_positive,6.0,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,,mirror_symmetric_opposite_sign,mainly_dusk,UNVERIFIED,history_beats_median_shuffle
16,robust_survivor_diffuse_positive,5.0,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,,low_to_high_dominant,mainly_dusk,UNVERIFIED,history_beats_median_shuffle
17,robust_survivor_diffuse_positive,5.0,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,,no_signed_gate,mainly_dusk,UNVERIFIED,history_beats_median_shuffle
18,robust_survivor_diffuse_positive,4.0,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,,no_signed_gate,mainly_dusk,UNVERIFIED,
19,robust_survivor_diffuse_positive,4.0,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,,opposite_sign_but_imbalanced,mainly_dusk,UNVERIFIED,
