ob,dataset,raw_metadata_status,raw_metadata_source,raw_row_count,raw_n_frames,raw_n_tracks,dataset_length_sec,mean_swarm_size,mean_track_length_frames,mean_track_length_sec,dt_sec,transition_count,n_events,t1_survival_any_k,t1_survival_both_k,scale_lag_robust,diffuse_all_tangential_gate,localized_or_gradient_candidate,edge_core_phase_gate,edge_core_event_centered_gate,history_real_beats_shuffle_median_abs,history_real_beats_shuffle_q95_abs,history_effect_direction,ob_route_a_class,robustness_class,ob_spatial_class,phase_class,t1_median_local_to_b3_ratio,t1_median_local_event_minus_non_event_z,scale_pass_fraction,timing_pass_fraction,median_scale_gap,best_spatial_variable,best_spatial_gap_z,peak_phase,median_signed_axis_delta_A_z,real_minus_null_median_abs_effect,t1_survival_any_binary,t1_survival_both_binary,scale_lag_robust_binary,diffuse_gate_binary,edge_phase_binary,history_beats_median_binary,4084_diffuse_effect,4084_diffuse_abs_direction_contrast,4084_edge_core_effect,4084_edge_core_abs_direction_contrast,4085_near_pre_abs_effect,4085_near_pre_signed_effect,signed_class,signed_separation_z,mirror_balance,4090_first_moment_gain,4090_first_moment_real_minus_shift,4090_second_moment_gain,4090_second_moment_real_minus_shift,4100_event_local_effect,4100_event_local_fraction_positive,4100_event_match_distance,4121_history_signed_effect,4121_null_gap,4121_shuffle_median_abs_effect,4121_selected_pairs,4121_paired_frame_fraction,4121_history_abs_effect,failure_boundary_class,any_rescue,recording_condition,recording_condition_source,recording_condition_verification_status,recording_condition_allowed_use,ob_index_order_proxy_status,ob_index_order_proxy_allowed_use,408x_T1_effect,408x_pass_class,408x_robustness,route_positive_score,stable_408x_failure,fragile_408x_boundary,robust_survivor,fragile_survivor,observation_class
1,Ob1.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob1.txt,1028316,10989,4588,109.88,93.57684957684958,224.13164777680907,2.2413164777680907,0.0099999999999997,10979,28,False,False,,,,,,True,False,axis_negative_higher,t1_not_event_conditioned_after_local_affine,,,,0.3081339642852859,-0.018902812176996,,,,,,,-0.0656886448888043,0.0150861498389452,0.0,0.0,,,,1.0,,,,,,,,,,-0.0010369116095005,-0.0010759396255266,-0.0015115976104309,-0.0013068030718041,-0.0328873764328652,0.4814814814814814,0.1929448152502259,-0.0656886448888043,0.0150861498389452,0.0506024950498591,2040,0.7150786308973173,0.0656886448888043,fragile_narrow_setting_rescue,True,mainly_dusk,idea/413x_phenomenon_boundary_evidence_synthesis_roadmap.md,UNVERIFIED,descriptive_annotation_only,UNVERIFIED,descriptive_rank_proxy_only,-0.018902812176996,t1_not_event_conditioned_after_local_affine,,1.0,False,True,False,False,fragile_408x_boundary
2,Ob2.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob2.txt,1014756,14859,5242,148.58,68.29234807187564,193.58183899275085,1.9358183899275083,0.0099999999999997,14849,43,True,True,True,True,True,True,True,True,False,axis_negative_higher,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,localized_or_gradient_signal_candidate,post_transition_response_candidate,0.890504380495587,0.3595533481787678,1.0,1.0,0.3466057431349748,shell_edge_minus_core,0.2815936107348822,near_post,-0.1000820546367158,0.0635809187932799,1.0,1.0,1.0,1.0,1.0,1.0,0.4646090745016965,0.6955338296326994,0.2815936107348822,0.4616133973859761,0.1173701388963546,-0.1974536729372195,mirror_symmetric_opposite_sign,-0.6194138289702739,0.899175126825695,0.0002587883589948,0.0010637328403222,0.0001517646773735,0.0003640919846389,0.0966745370438774,0.5813953488372093,0.2036828447132284,-0.1000820546367158,0.0635809187932799,0.0365011358434359,3392,0.7687028140013726,0.1000820546367158,,,mainly_dusk,idea/413x_phenomenon_boundary_evidence_synthesis_roadmap.md,UNVERIFIED,descriptive_annotation_only,UNVERIFIED,descriptive_rank_proxy_only,0.3595533481787678,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,6.0,False,False,True,False,robust_survivor_diffuse_positive
3,Ob3.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob3.txt,684649,14990,4228,149.89,45.67371581054036,161.93211920529802,1.6193211920529802,0.0099999999999997,14980,40,False,False,,,,,,True,False,axis_positive_higher,t1_not_event_conditioned_after_local_affine,,,,0.4611895505491381,-0.1775016418704972,,,,,,,0.0851350617390656,0.0411726426792496,0.0,0.0,,,,1.0,,,,,,,,,,-0.000810400565232,-0.0008355896527953,-0.0009988824750255,-0.0025184540296954,-0.0939041102925522,0.4,0.1475604503730898,0.0851350617390656,0.0411726426792496,0.043962419059816,4064,0.7981029810298103,0.0851350617390656,fragile_narrow_setting_rescue,True,mainly_dusk,idea/413x_phenomenon_boundary_evidence_synthesis_roadmap.md,UNVERIFIED,descriptive_annotation_only,UNVERIFIED,descriptive_rank_proxy_only,-0.1775016418704972,t1_not_event_conditioned_after_local_affine,,1.0,False,True,False,False,fragile_408x_boundary
4,Ob4.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob4.txt,439216,14952,1054,149.89,29.37506688068486,416.7134724857685,4.167134724857685,0.0099999999999997,14942,58,True,False,False,,,,,False,False,axis_negative_higher,t1_local_nonaffine_survives_one_k,fragile_or_boundary,,,0.5666515091459132,0.0384929074301147,0.5,0.0,0.0903329107100708,,,,-0.0186058210252973,-0.022878931327586,1.0,0.0,0.0,,,0.0,,,,,,,,,,-0.0006327793192029,0.0004916140658726,-0.0007529335013478,0.0001129489483369,-0.3365096642605071,0.3636363636363636,0.1651078085420798,-0.0186058210252973,-0.022878931327586,0.0414847523528833,3831,0.8045580110497238,0.0186058210252973,,,mainly_dusk,idea/413x_phenomenon_boundary_evidence_synthesis_roadmap.md,UNVERIFIED,descriptive_annotation_only,UNVERIFIED,descriptive_rank_proxy_only,0.0384929074301147,t1_local_nonaffine_survives_one_k,fragile_or_boundary,1.0,False,False,False,True,fragile_survivor
5,Ob5.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob5.txt,334044,14957,639,149.89,22.33362305275122,522.7605633802817,5.227605633802817,0.0099999999999997,14947,93,True,True,True,True,True,True,False,True,True,axis_negative_higher,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,localized_or_gradient_signal_candidate,broad_state_or_offcenter_profile_candidate,0.8399072463582962,0.1828365509568869,1.0,1.0,0.1828365509568869,shell_radius_corr_tangential,0.4046435719284095,early_pre,-0.1737648207372661,0.1240834860975213,1.0,1.0,1.0,1.0,1.0,1.0,0.4220928204424337,0.5961415223951312,0.07605399459936,0.2405004356644145,0.0885815105540831,-0.1313251392309635,mirror_symmetric_opposite_sign,-0.4249881292739433,0.7096843821861009,-0.0009467881502962,-0.0014665078075591,0.0002587043395546,-0.0014409189255433,-0.0580468901921626,0.4673913043478261,0.1823535694393012,-0.1737648207372661,0.1240834860975213,0.0496813346397448,4269,0.8391608391608392,0.1737648207372661,,,mainly_dusk,idea/413x_phenomenon_boundary_evidence_synthesis_roadmap.md,UNVERIFIED,descriptive_annotation_only,UNVERIFIED,descriptive_rank_proxy_only,0.1828365509568869,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,6.0,False,False,True,False,robust_survivor_diffuse_positive
6,Ob6.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob6.txt,362189,19991,711,199.9,18.117602921314592,509.407876230661,5.09407876230661,0.009999999999998,19980,112,False,False,,,,,,False,False,axis_positive_higher,t1_not_event_conditioned_after_local_affine,,,,37.25323411707858,-0.1298789351925797,,,,,,,0.0048543036698936,-0.0228240714325226,0.0,0.0,,,,0.0,,,,,,,,,,-0.0002591781807592,0.0002369484333442,-0.0001394372383602,7.795118247022614e-05,0.0320143457750318,0.5267857142857143,0.1470543676155802,0.0048543036698936,-0.0228240714325226,0.0276783751024162,5998,0.8527131782945736,0.0048543036698936,stable_failure_under_predefined_sensitivity,False,daytime,idea/413x_phenomenon_boundary_evidence_synthesis_roadmap.md,UNVERIFIED,descriptive_annotation_only,UNVERIFIED,descriptive_rank_proxy_only,-0.1298789351925797,t1_not_event_conditioned_after_local_affine,,0.0,True,False,False,False,stable_408x_failure
7,Ob7.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob7.txt,582768,9992,2688,99.91,58.32345876701361,216.80357142857144,2.1680357142857143,0.0099999999999997,9981,33,True,True,True,False,False,False,False,True,False,axis_negative_higher,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,no_clear_t1_spatial_signal_in_this_node,no_clear_phase_gate,1.096657561758254,0.1723070072627825,1.0,1.0,0.1723070072627825,shell_edge_minus_core,0.4216272056202435,near_post,-0.1024840444805227,0.0461364523600298,1.0,1.0,1.0,0.0,0.0,1.0,0.05906007059362,0.3878602969920827,0.4216272056202435,0.6622309264506907,-0.0663588866340781,0.0054641782458899,no_signed_gate,0.0277267582099301,0.6626277170394411,-0.0008227585904869,-0.0006697338390277,-0.0008258489552823,-0.0008491523439533,0.0555885035365898,0.5454545454545454,0.2187387874283614,-0.1024840444805227,0.0461364523600298,0.0563475921204929,1964,0.709349593495935,0.1024840444805227,,,mainly_dusk,idea/413x_phenomenon_boundary_evidence_synthesis_roadmap.md,UNVERIFIED,descriptive_annotation_only,UNVERIFIED,descriptive_rank_proxy_only,0.1723070072627825,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,4.0,False,False,True,False,robust_survivor_without_diffuse_gate
8,Ob8.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob8.txt,512138,18989,2639,189.88,26.970245931855285,194.06517620310723,1.9406517620310724,0.009999999999998,18979,84,False,False,,,,,,True,True,axis_negative_higher,t1_not_event_conditioned_after_local_affine,,,,1.605223127920028,-0.0912807042528876,,,,,,,-0.2213504078630247,0.185454115319049,0.0,0.0,,,,1.0,,,,,,,,,,-0.0015256483731616,-0.0008860449182641,-0.0019328467907651,-0.0008349578794593,-0.1387961317162235,0.4578313253012048,0.1384205058473167,-0.2213504078630247,0.185454115319049,0.0358962925439756,5634,0.8228602383531961,0.2213504078630247,stable_failure_under_predefined_sensitivity,False,mainly_dusk,idea/413x_phenomenon_boundary_evidence_synthesis_roadmap.md,UNVERIFIED,descriptive_annotation_only,UNVERIFIED,descriptive_rank_proxy_only,-0.0912807042528876,t1_not_event_conditioned_after_local_affine,,1.0,True,False,False,False,stable_408x_failure
9,Ob9.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob9.txt,491095,9949,2239,99.88,49.361242335913154,219.3367574810183,2.1933675748101837,0.0099999999999997,9922,36,True,True,True,True,True,False,False,True,True,axis_negative_higher,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,localized_or_gradient_signal_candidate,no_clear_phase_gate,2.1000030105476,0.4660869183335864,1.0,1.0,0.7066655999359976,shell_radius_corr_tangential,0.6202769612693295,near_pre,-0.2191351687792161,0.1700213243347989,1.0,1.0,1.0,1.0,0.0,1.0,0.5420530418767597,0.8529912021003809,0.1853709931347865,0.4673521695826634,0.176053159918634,-0.2622565680819004,mirror_symmetric_opposite_sign,-0.7266337133448191,0.9248844096170274,3.671139177352512e-05,0.0002578684375315,-0.0004605830052779,6.199431439934955e-05,-0.1619261068871316,0.4722222222222222,0.2860896521082157,-0.2191351687792161,0.1700213243347989,0.0491138444444171,1804,0.7448347107438017,0.2191351687792161,,,mainly_dusk,idea/413x_phenomenon_boundary_evidence_synthesis_roadmap.md,UNVERIFIED,descriptive_annotation_only,UNVERIFIED,descriptive_rank_proxy_only,0.4660869183335864,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,5.0,False,False,True,False,robust_survivor_diffuse_positive
10,Ob10.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob10.txt,1061152,14991,3937,149.89999999999998,70.78593822960443,269.53314706629413,2.695331470662941,0.0099999999999997,14980,36,True,True,True,True,True,False,False,True,False,axis_negative_higher,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,localized_or_gradient_signal_candidate,no_clear_phase_gate,1.2016592501472534,0.3630220071523223,1.0,0.6666666666666666,0.3004379983829556,shell_radius_corr_tangential,0.5862737721754849,near_pre,-0.0665209450156896,0.0302901210961281,1.0,1.0,1.0,1.0,0.0,1.0,0.8550546921592723,1.1012459867582876,0.136573983584844,0.33401742020402,0.0008022580333623,-0.1229889045105984,no_signed_gate,-0.3098337499325831,0.5902296510943748,-0.0004189106806198,8.548225970850254e-05,-0.0002535914508285,-0.0001703644828539,0.0590318321190366,0.5277777777777778,0.1297716789934425,-0.0665209450156896,0.0302901210961281,0.0362308239195614,3655,0.7720488466757124,0.0665209450156896,,,mainly_dusk,idea/413x_phenomenon_boundary_evidence_synthesis_roadmap.md,UNVERIFIED,descriptive_annotation_only,UNVERIFIED,descriptive_rank_proxy_only,0.3630220071523223,t1_local_nonaffine_survives_both_k,robust_scale_and_timing,5.0,False,False,True,False,robust_survivor_diffuse_positive
