ob,dataset,raw_metadata_status,raw_metadata_source,raw_row_count,raw_n_frames,raw_n_tracks,dataset_length_sec,mean_swarm_size,mean_track_length_frames,mean_track_length_sec
1,Ob1.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob1.txt,1028316,10989,4588,109.88000000000001,93.57684957684958,224.13164777680907,2.2413164777680907
2,Ob2.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob2.txt,1014756,14859,5242,148.58,68.29234807187564,193.58183899275085,1.9358183899275085
3,Ob3.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob3.txt,684649,14990,4228,149.89,45.67371581054036,161.93211920529802,1.6193211920529802
4,Ob4.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob4.txt,439216,14952,1054,149.89,29.37506688068486,416.7134724857685,4.167134724857685
5,Ob5.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob5.txt,334044,14957,639,149.89,22.33362305275122,522.7605633802817,5.227605633802817
6,Ob6.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob6.txt,362189,19991,711,199.89999999999998,18.117602921314592,509.40787623066103,5.09407876230661
7,Ob7.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob7.txt,582768,9992,2688,99.91,58.32345876701361,216.80357142857142,2.1680357142857143
8,Ob8.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob8.txt,512138,18989,2639,189.88,26.970245931855285,194.06517620310723,1.9406517620310724
9,Ob9.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob9.txt,491095,9949,2239,99.88000000000001,49.361242335913154,219.3367574810183,2.1933675748101833
10,Ob10.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob10.txt,1061152,14991,3937,149.89999999999998,70.78593822960443,269.53314706629413,2.6953314706629414
11,Ob11.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob11.txt,284772,19990,277,199.89,14.245722861430716,1028.057761732852,10.28057761732852
12,Ob12.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob12.txt,377509,19990,1126,199.89,18.884892446223112,335.26554174067496,3.3526554174067495
13,Ob13.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob13.txt,547504,19989,1042,199.88,27.390264645555057,525.4357005758158,5.254357005758158
14,Ob14.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob14.txt,1082199,19989,5112,199.88,54.13972684976737,211.69776995305165,2.1169776995305165
15,Ob15.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob15.txt,406547,19990,740,199.89,20.33751875937969,549.3878378378379,5.493878378378379
16,Ob16.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob16.txt,682755,19990,1222,199.89,34.154827413706855,558.7193126022913,5.587193126022913
17,Ob17.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob17.txt,296270,19991,202,199.89999999999998,14.820169076084238,1466.6831683168316,14.666831683168317
18,Ob18.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob18.txt,384756,19989,780,199.88,19.24838661263695,493.2769230769231,4.932769230769231
19,Ob19.txt,VERIFIED_FROM_RAW_COLUMNS_0_AND_4,data/raw\Ob19.txt,873844,29991,1081,299.9,29.13687439565203,808.3663274745606,8.083663274745607
